entloss,TimestepsSoFar,AttC,MtR,entropy,meankl,optimgain,EpisodesSoFar,AttNC,TtR,Fce,surrgain,TimeElapsed
0.0,9884,2.171875,14.27245494061072,1.4178562,0.005586016,0.00056890846,64,0.828125,72.609375,0.13239672359927823,0.00056890846,39.84299826622009
0.0,19769,2.0517241379310347,15.205493134466966,1.4188203,0.0031425809,0.00058176654,122,0.9482758620689655,78.41379310344827,0.14847907647907652,0.00058176654,79.50517702102661
0.0,29807,2.196969696969697,13.300640662769588,1.4092158,0.0032338714,0.00086775614,188,0.803030303030303,67.45454545454545,0.11655793568831331,0.00086775614,118.86367845535278
0.0,39985,2.074074074074074,16.04804860900028,1.3939216,0.0045243176,0.00084811146,242,0.9259259259259259,82.55555555555556,0.12440678802269292,0.00084811146,158.63046765327454
0.0,49792,1.78,16.04114445765017,1.3885505,0.0011348608,0.0005513565,292,1.22,84.66,0.1351878787878788,0.0005513565,198.66237807273865
0.0,59881,1.8627450980392157,15.942446086506234,1.3883032,0.0016415635,0.0009089757,343,1.1372549019607843,83.52941176470588,0.1476493702376055,0.0009089757,238.3905155658722
0.0,69935,1.6304347826086956,18.147054675311626,1.3840716,0.0027627996,0.0008362208,389,1.3695652173913044,95.08695652173913,0.15535524920466595,0.0008362208,278.23303389549255
0.0,79764,1.826086956521739,18.15976094815836,1.3915244,0.0020744922,0.0006396815,435,1.173913043478261,95.08695652173913,0.13950227466295523,0.0006396815,317.85240173339844
0.0,89957,1.9272727272727272,15.603914074088264,1.3848109,0.0017668463,0.00092836306,490,1.0727272727272728,82.63636363636364,0.14302711514262834,0.00092836306,358.07492303848267
0.0,99987,1.826086956521739,17.49730135361866,1.3959844,0.0016121776,0.00076318055,536,1.173913043478261,91.8913043478261,0.13285172798216277,0.00076318055,397.46620774269104
0.0,109809,1.7346938775510203,15.977171111311646,1.3739401,0.002312486,0.00072043267,585,1.2653061224489797,83.63265306122449,0.11897505668934243,0.00072043267,437.59929513931274
0.0,119874,1.7234042553191489,17.40066331075591,1.3691307,0.0027534368,0.0006732783,632,1.2765957446808511,91.27659574468085,0.12981965552178318,0.0006732783,476.87542510032654
0.0,129755,1.6304347826086956,17.64327609312475,1.3530761,0.0029498502,0.0008012456,678,1.3695652173913044,92.15217391304348,0.14523868300527337,0.0008012456,516.9058613777161
0.0,139791,1.4545454545454546,18.774972399686273,1.3428578,0.0027788468,0.0008379392,722,1.5454545454545454,97.43181818181819,0.13685561497326204,0.0008379392,557.0936121940613
0.0,149889,1.5576923076923077,14.24319513818084,1.3270164,0.0058354014,0.001238738,774,1.4423076923076923,74.88461538461539,0.10514217219095269,0.001238738,597.0507233142853
0.0,159987,1.2954545454545454,18.07924909236276,1.3472924,0.0032129888,0.00093651377,818,1.7045454545454546,94.5,0.13202971083352846,0.00093651377,637.325784444809
0.0,169757,1.8979591836734695,16.29793464070903,1.3089187,0.004712802,0.00085776317,867,1.1020408163265305,84.9795918367347,0.17428571428571427,0.00085776317,677.2002835273743
0.0,179821,1.7234042553191489,18.13389233954389,1.3123782,0.004582064,0.00081085,914,1.2765957446808511,94.08510638297872,0.1406233351154985,0.00081085,717.3784320354462
0.0,189849,1.3571428571428572,18.70439614431188,1.3293451,0.0026602894,0.00086386106,956,1.6428571428571428,98.85714285714286,0.13180952380952382,0.00086386106,757.2962667942047
0.0,199942,1.7450980392156863,16.071384388253126,1.3002924,0.0029270812,0.0008668559,1007,1.2549019607843137,83.70588235294117,0.1316032963910202,0.0008668559,797.1419336795807
0.0,209977,1.255813953488372,17.940031372246168,1.3002099,0.0024654167,0.00089217175,1050,1.744186046511628,95.51162790697674,0.13769907793984404,0.00089217175,838.3605308532715
0.0,219809,1.553191489361702,16.047197226120023,1.3139522,0.0016824077,0.00064565736,1097,1.446808510638298,84.63829787234043,0.14189577551649707,0.00064565736,878.6920683383942
0.0,229946,1.2857142857142858,16.17221559622115,1.3030518,0.0022063635,0.0008189646,1146,1.7142857142857142,83.38775510204081,0.11952614456936946,0.0008189646,918.4328811168671
0.0,239779,1.4893617021276595,15.296281407524962,1.2934159,0.0046391194,0.0009314265,1193,1.5106382978723405,80.29787234042553,0.1255101927001646,0.0009314265,958.0565543174744
0.0,249786,1.3170731707317074,18.228166130916605,1.2818576,0.0027482577,0.0007382853,1234,1.6829268292682926,95.92682926829268,0.12790243902439025,0.0007382853,997.9154932498932
