entloss,meankl,Tmt,Tmc,AttNC,TimeElapsed,AttC,TtR,MpbtN,MpbtA,entropy,TimestepsSoFar,MtR,Tbt,optimgain,surrgain,EpisodesSoFar,Ptt
0.0,0.008726339,74.41476274165203,29.62390158172232,0.0,1350.0820007324219,10.0,-725.9402460456942,97.5675335799997,2.432466420000189,0.68434227,9989,-66.8445883578405,304802.8681898067,0.0031364704,0.0031364704,569,72.62069539392536
0.0,0.00898774,73.73155737704919,30.348360655737704,0.0,2508.0235636234283,10.0,-712.6639344262295,96.66701317184264,3.332986828157336,0.65893626,19977,-64.68766601686993,302004.45901639346,0.0025734147,0.0025734147,1057,71.95535784207918
0.0,0.010703517,72.39268292682927,31.773170731707317,0.0,3453.081964492798,10.0,-690.219512195122,95.3545444324975,4.645455567502505,0.612767,29997,-61.44625051637865,296520.4292682927,0.0043680225,0.0043680225,1467,70.64639677007463
0.0,0.00922355,71.45276872964169,32.82410423452769,0.0,4144.236219167709,10.0,-656.1563517915309,91.86065268422406,8.139347315775938,0.5575091,39989,-56.23356160398735,292670.54071661236,0.004724294,0.004724294,1774,69.6960712497435
0.0,0.0070233513,71.13432835820896,33.159203980099505,0.0,4593.766042232513,10.0,-607.0149253731344,85.37456328636391,14.625436713636098,0.51278806,49965,-48.30682279692793,291366.2089552239,0.0038955167,0.0038955167,1975,69.38772120644973
0.0,0.0073573976,70.18939393939394,34.28030303030303,0.0,4880.642541646957,10.0,-512.8787878787879,72.99731105695322,27.00268894304682,0.4566675,59972,-36.99205300280266,287495.75757575757,0.004495745,0.004495745,2107,68.39377767510328
0.0,0.003242307,64.98666666666666,39.946666666666665,0.8266666666666667,5047.213375329971,9.173333333333334,-292.8,44.713445368437,55.286554631563,0.41132525,69955,-18.989395434173844,266185.38666666666,0.0030504528,0.0030504528,2182,63.226912731067486
0.0,0.003973632,62.69230769230769,42.261538461538464,1.876923076923077,5206.843889951706,8.123076923076923,-220.92307692307693,35.126339081754175,64.87366091824582,0.36689118,79932,-14.66132711051288,256787.6923076923,0.0029915578,0.0029915578,2247,61.05925965185624
0.0,0.0034323577,61.983333333333334,43.0,3.25,5365.668662786484,6.75,-195.5,31.544451129320876,68.45554887067911,0.38303095,89890,-13.710625946854444,253883.73333333334,0.002752143,0.002752143,2307,60.37354763410742
0.0,0.0030678955,62.625,42.328125,1.5,5520.943595647812,8.5,-202.34375,32.17231509695508,67.82768490304493,0.37332907,99891,-13.934086219049819,256512.0,0.0029986359,0.0029986359,2371,60.99756419018032
0.0,0.004106354,62.18032786885246,42.81967213114754,2.2295081967213113,5682.470010519028,7.770491803278689,-194.0983606557377,31.17134383555116,68.82865616444883,0.37524077,109862,-13.181394645744708,254690.62295081967,0.0032034246,0.0032034246,2432,60.55220812615643
0.0,0.0024262278,62.12068965517241,42.91379310344828,2.9827586206896552,5842.24550485611,7.017241379310345,-197.41379310344828,31.67079244005522,68.32920755994478,0.38704827,119823,-13.184232170669299,254446.3448275862,0.0025443502,0.0025443502,2490,60.475279702767665
0.0,0.003217209,62.306451612903224,42.70967741935484,2.6774193548387095,6007.9019429683685,7.32258064516129,-191.61290322580646,30.625425603621448,69.37457439637853,0.3826407,129921,-13.094878460589156,255207.2258064516,0.003305017,0.003305017,2552,60.661220935893496
0.0,0.0035165334,63.40677966101695,41.57627118644068,2.8135593220338984,6172.342487573624,7.186440677966102,-203.22033898305085,32.003337491210274,67.99666250878971,0.39981577,139889,-13.387355300377159,259714.16949152542,0.0033425463,0.0033425463,2611,61.71396821452914
0.0,0.0024425418,62.9344262295082,42.049180327868854,2.2950819672131146,6329.628173828125,7.704918032786885,-192.29508196721312,30.485832014424783,69.51416798557521,0.41070765,149927,-12.755334706432405,257779.40983606558,0.0025499177,0.0025499177,2672,61.26943280466706
0.0,0.0026121845,63.71186440677966,41.271186440677965,2.152542372881356,6494.232896089554,7.8474576271186445,-211.864406779661,33.15400940322517,66.84599059677484,0.4215591,159854,-13.790137987965016,260963.7966101695,0.002343878,0.002343878,2731,62.00114829217729
