AttNC,AttC,Fce,EpisodesSoFar,TimestepsSoFar,TtR,optimgain,entropy,TimeElapsed,meankl,MtR,entloss,surrgain
1.5,1.5,0.12220860255213195,11008,2339987,79.62,0.00032475966,1.7234197,30680.22975540161,0.0038718653,15.49194587399309,0.0,0.00032475966
1.553191489361702,1.446808510638298,0.1178110854394942,11055,2349826,82.08510638297872,0.0001857371,1.70292,30825.507186174393,0.0030528733,15.883864258931144,0.0,0.0001857371
1.5833333333333333,1.4166666666666667,0.12265175890175889,11103,2359942,83.25,0.00025038657,1.68688,30959.6915974617,0.0042121443,15.825019780665734,0.0,0.00025038657
1.5,1.5,0.1270833333333333,11151,2369976,79.75,0.00023159408,1.6415706,31084.014637470245,0.0046878955,15.074732834353123,0.0,0.00023159408
1.6666666666666667,1.3333333333333333,0.12895238095238096,11193,2379980,96.71428571428571,0.00034493205,1.6510339,31220.897900104523,0.006783887,18.373422708075186,0.0,0.00034493205
1.6521739130434783,1.3478260869565217,0.11614340198321896,11239,2389767,80.15217391304348,0.00026161296,1.6170985,31346.99984240532,0.0046191,15.174913236073868,0.0,0.00026161296
1.627906976744186,1.372093023255814,0.12152151831061214,11282,2399860,89.44186046511628,0.00070715335,1.6353781,31474.420800685883,0.004421273,16.84525525704165,0.0,0.00070715335
1.3777777777777778,1.6222222222222222,0.12375018155410314,11327,2409923,89.2,0.00034341737,1.6401677,31612.09496974945,0.0014875625,16.85508622726588,0.0,0.00034341737
1.574468085106383,1.425531914893617,0.11504511564086031,11374,2419771,79.72340425531915,0.00047574006,1.670767,31757.979993104935,0.0022255848,15.15570609171508,0.0,0.00047574006
1.38,1.62,0.13937650279545016,11424,2429885,79.02,0.00031510263,1.6652813,31890.35436105728,0.0017614126,15.091325504059684,0.0,0.00031510263
1.4130434782608696,1.5869565217391304,0.13928211154298115,11470,2439947,86.28260869565217,0.00063557026,1.6510313,32029.810258626938,0.0029791952,16.439063892813415,0.0,0.00063557026
1.4318181818181819,1.5681818181818181,0.14036363636363633,11514,2449971,88.29545454545455,0.0005875791,1.6434307,32162.421107292175,0.0020807646,16.65951164977724,0.0,0.0005875791
1.4893617021276595,1.5106382978723405,0.11635769349367871,11561,2459755,81.38297872340425,0.00025612538,1.6091282,32280.993821144104,0.00532099,15.575492837021056,0.0,0.00025612538
1.5777777777777777,1.4222222222222223,0.13697777777777775,11606,2469764,86.13333333333334,0.0009994507,1.6133226,32429.294558525085,0.004389946,16.55038614374207,0.0,0.0009994507
1.7727272727272727,1.2272727272727273,0.13754545454545455,11650,2479774,86.18181818181819,0.00048931653,1.5682714,32561.86718773842,0.0027383012,16.524947329200785,0.0,0.00048931653
1.425531914893617,1.574468085106383,0.11359003725548114,11697,2489833,80.61702127659575,0.00038101146,1.5516701,32694.112382650375,0.0060239136,15.261096748575628,0.0,0.00038101146
1.52,1.48,0.10601539685764967,11747,2499914,69.9,0.00045649312,1.5640969,32812.28762292862,0.001638414,13.496127004815111,0.0,0.00045649312
1.6170212765957446,1.3829787234042554,0.11974826675202146,11794,2509989,80.74468085106383,0.0005731222,1.4998888,32939.93553137779,0.0077232383,15.56430562194771,0.0,0.0005731222
1.8863636363636365,1.1136363636363635,0.11018573292735973,11838,2519782,79.5,0.0010680961,1.481159,33081.2078537941,0.0053181583,15.168269184980705,0.0,0.0010680961
1.6363636363636365,1.3636363636363635,0.12488109293304096,11882,2529850,87.81818181818181,0.0005379374,1.4400729,33207.907733917236,0.0065479744,16.749213739506192,0.0,0.0005379374
1.8043478260869565,1.1956521739130435,0.13244054370330363,11928,2539998,75.06521739130434,0.00071602146,1.4272816,33345.34074139595,0.0016587534,14.549558003508903,0.0,0.00071602146
1.7045454545454546,1.2954545454545454,0.11233333333333338,11972,2549783,83.18181818181819,0.00040745444,1.3976581,33487.03294920921,0.002845766,15.718889621622905,0.0,0.00040745444
1.653061224489796,1.346938775510204,0.11786489141110992,12021,2559982,70.28571428571429,0.00055173645,1.3947368,33619.53682374954,0.010423358,13.453697547955082,0.0,0.00055173645
1.5510204081632653,1.4489795918367347,0.12457598240716988,12070,2569843,76.65306122448979,0.0007981979,1.3856679,33758.09410738945,0.0029739435,14.807756883574553,0.0,0.0007981979
1.7826086956521738,1.2173913043478262,0.11194373044085923,12116,2579989,76.04347826086956,0.0007975927,1.3633188,33888.038051605225,0.0027612671,14.538512572051363,0.0,0.0007975927
1.930232558139535,1.069767441860465,0.10731780002428232,12159,2589847,75.62790697674419,0.00035946502,1.3452054,34020.16043615341,0.0015600397,14.787380781763455,0.0,0.00035946502
1.8863636363636365,1.1136363636363635,0.11582896467081617,12203,2599955,80.04545454545455,0.00043422647,1.3424065,34145.43831348419,0.0015912278,15.293904091513381,0.0,0.00043422647
1.7555555555555555,1.2444444444444445,0.10877789535567314,12248,2609998,77.06666666666666,0.0002634552,1.3348396,34289.26738238335,0.00042045416,14.68146252994539,0.0,0.0002634552
1.7826086956521738,1.2173913043478262,0.10775781447255467,12294,2619967,71.41304347826087,0.0005536774,1.2923099,34406.17046904564,0.00252398,13.695994445546342,0.0,0.0005536774
1.58,1.42,0.1006420512820513,12344,2629836,67.32,0.00060131325,1.2570902,34536.532262802124,0.0025424801,13.053161454456838,0.0,0.00060131325
2.090909090909091,0.9090909090909091,0.09971852983617695,12388,2639870,68.72727272727273,0.00052639464,1.2514548,34672.2837498188,0.0069786874,13.142472219917977,0.0,0.00052639464
1.8695652173913044,1.1304347826086956,0.11953481301307389,12434,2649932,80.41304347826087,0.0011502116,1.2375926,34802.67901968956,0.0031449518,15.224540622084263,0.0,0.0011502116
1.6734693877551021,1.3265306122448979,0.10572125634639064,12483,2659788,69.12244897959184,0.00069773075,1.1890836,34942.56135773659,0.003506902,13.452808656713204,0.0,0.00069773075
1.9111111111111112,1.0888888888888888,0.09633131313131317,12528,2669837,70.93333333333334,0.00038299765,1.1441206,35074.72757101059,0.0038832636,13.516732111454871,0.0,0.00038299765
1.9767441860465116,1.0232558139534884,0.10330996181881297,12571,2679914,75.76744186046511,0.00055461883,1.156081,35215.961973667145,0.0017421285,14.408734411030673,0.0,0.00055461883
1.9333333333333333,1.0666666666666667,0.09443722697056034,12616,2689973,67.6,0.00061840616,1.1783456,35336.238840818405,0.0035360504,13.03531119984521,0.0,0.00061840616
