MtR,AttC,Fce,TimeElapsed,entropy,optimgain,entloss,EpisodesSoFar,AttNC,surrgain,meankl,TtR,TimestepsSoFar
5.880837715541624,0.7533333333333333,0.09783204145053169,37.418768644332886,1.4167472,0.0018869019,0.0,150,0.24666666666666667,0.0018869019,0.0076155625,9.78,9967
9.73086391026866,0.5,0.08203729603729602,73.12656688690186,1.3997767,0.0015478864,0.0,228,0.5,0.0015478864,0.008159688,17.064102564102566,19852
8.349208090367851,0.5604395604395604,0.09005661005661007,110.86932182312012,1.366742,0.0013467186,0.0,319,0.43956043956043955,0.0013467186,0.007031894,14.582417582417582,29947
9.795986385516498,0.4868421052631579,0.1325474992843414,148.04109025001526,1.3426654,0.0006121643,0.0,395,0.5131578947368421,0.0006121643,0.0010411221,16.986842105263158,39776
13.654875881913274,0.2727272727272727,0.09942036910457965,186.36947584152222,1.2940671,0.0013238342,0.0,450,0.7272727272727273,0.0013238342,0.005878973,23.78181818181818,49825
13.666464630463667,0.24528301886792453,0.11464150943396226,223.59428691864014,1.2539252,0.00034780044,0.0,503,0.7547169811320755,0.00034780044,0.0031543034,23.962264150943398,59844
12.211179475169926,0.2727272727272727,0.0938943722943723,256.11625719070435,1.1615165,0.00027591287,0.0,558,0.7272727272727273,0.00027591287,0.009115221,21.345454545454544,69871
11.965586840601885,0.3103448275862069,0.08337931034482761,292.3077642917633,1.2210528,0.0002846405,0.0,616,0.6896551724137931,0.0002846405,0.006244227,20.844827586206897,79897
13.411225595674006,0.24528301886792453,0.10192936623125302,331.32929730415344,1.2038782,0.0004467018,0.0,669,0.7547169811320755,0.0004467018,0.0011268673,23.58490566037736,89926
12.613385393718358,0.3220338983050847,0.09828248587570622,366.04940390586853,1.1398361,0.00059673574,0.0,728,0.6779661016949152,0.00059673574,0.0067646927,21.779661016949152,99955
14.197322971313913,0.23076923076923078,0.11830769230769231,404.82697463035583,1.1596667,0.0010914489,0.0,780,0.7692307692307693,0.0010914489,0.007182316,24.78846153846154,109973
12.823709809453819,0.3157894736842105,0.0919142300194932,443.05571937561035,1.1218868,0.0015163233,0.0,837,0.6842105263157895,0.0015163233,0.0077622635,22.50877192982456,119757
13.227796396622931,0.3333333333333333,0.12373333333333332,476.71297955513,1.1446087,0.0020001112,0.0,897,0.6666666666666666,0.0020001112,0.0074367533,22.666666666666668,129801
11.649618723893974,0.3939393939393939,0.10217552144824871,512.8214862346649,1.1201781,0.0005724243,0.0,963,0.6060606060606061,0.0005724243,0.0016093594,20.28787878787879,139885
11.380020655803559,0.42857142857142855,0.12160382775119612,548.4499266147614,1.0760719,0.0017902511,0.0,1033,0.5714285714285714,0.0017902511,0.0058440873,19.742857142857144,149993
13.662111728091364,0.23529411764705882,0.09545098039215688,588.2210025787354,1.0688465,0.0009426875,0.0,1084,0.7647058823529411,0.0009426875,0.0011722764,23.862745098039216,159757
12.231541912494933,0.375,0.09012477106227107,627.8192384243011,1.0132389,0.0013328614,0.0,1148,0.625,0.0013328614,0.0061226403,21.3125,169849
13.261558352521325,0.2982456140350877,0.10073517126148705,663.6235303878784,0.9514373,0.0017330017,0.0,1205,0.7017543859649122,0.0017330017,0.0060707945,22.80701754385965,179920
11.425467995173596,0.3442622950819672,0.09148055287688844,697.8099482059479,0.8787161,0.00087086373,0.0,1266,0.6557377049180327,0.00087086373,0.0067260223,19.721311475409838,189973
15.435376075820386,0.1111111111111111,0.11288888888888896,733.8990588188171,0.8561083,0.0018445686,0.0,1311,0.8888888888888888,0.0018445686,0.013076831,27.133333333333333,199984
14.068031229805065,0.21568627450980393,0.11780392156862746,771.6233665943146,0.82247764,0.003127144,0.0,1362,0.7843137254901961,0.003127144,0.0072070044,24.568627450980394,209999
15.505150691346648,0.15217391304347827,0.10608695652173916,810.306492805481,0.7766434,0.0010740448,0.0,1408,0.8478260869565217,0.0010740448,0.00418935,26.52173913043478,219756
13.542019388495689,0.21568627450980393,0.09545098039215688,847.4413006305695,0.83907443,0.0020819337,0.0,1459,0.7843137254901961,0.0020819337,0.0077545843,23.862745098039216,229775
13.279057530555743,0.23076923076923078,0.11115384615384617,882.3966414928436,0.79251885,0.0018785836,0.0,1511,0.7692307692307693,0.0018785836,0.007924957,23.0,239795
14.905754661583488,0.1111111111111111,0.12471111111111113,920.4309573173523,0.8239501,0.0014026135,0.0,1556,0.8888888888888888,0.0014026135,0.0056224177,25.644444444444446,249800
14.472689909609306,0.21568627450980393,0.10810457516339872,955.3702290058136,0.8618178,0.0017311127,0.0,1607,0.7843137254901961,0.0017311127,0.0040092315,25.41176470588235,259815
13.464558320290498,0.2727272727272727,0.11500700511609606,993.4342880249023,0.8041366,0.0011130664,0.0,1662,0.7272727272727273,0.0011130664,0.0061901556,23.036363636363635,269872
15.294541050072171,0.14893617021276595,0.12697872340425528,1032.7996368408203,0.8426499,0.0016446908,0.0,1709,0.851063829787234,0.0016446908,0.0026562577,26.4468085106383,279879
15.374054682680802,0.1111111111111111,0.1089777777777778,1068.3614621162415,0.8991704,0.00059945986,0.0,1754,0.8888888888888888,0.00059945986,0.0036290702,27.244444444444444,289894
15.047753142866503,0.16666666666666666,0.10694444444444447,1103.5094344615936,0.9355074,0.0006700981,0.0,1802,0.8333333333333334,0.0006700981,0.00212152,26.083333333333332,299920
15.456285213934171,0.16666666666666666,0.10683333333333335,1137.7768821716309,0.9628085,0.0017239136,0.0,1850,0.8333333333333334,0.0017239136,0.008558502,26.708333333333332,309928
