TimeElapsed,optimgain,EpisodesSoFar,AttC,TtR,Fce,entloss,MtR,surrgain,TimestepsSoFar,entropy,meankl,AttNC
52.57447075843811,0.000373703,82,2.4878048780487805,52.31707317073171,0.11810801810723283,0.0,10.36370354155562,0.000373703,9751,1.4068135,0.0070161857,0.5121951219512195
101.65746569633484,0.00041041058,143,2.0491803278688523,75.88524590163935,0.1474535519125683,0.0,14.57640912483923,0.00041041058,19844,1.3968533,0.006726078,0.9508196721311475
152.05586743354797,0.00077719626,194,1.7058823529411764,82.41176470588235,0.12041605745411975,0.0,16.087859922307388,0.00077719626,29947,1.3528659,0.00780494,1.2941176470588236
199.30622243881226,0.0007839503,238,1.3636363636363635,92.79545454545455,0.12372727272727274,0.0,17.53341950451998,0.0007839503,39963,1.3142091,0.0047601964,1.6363636363636365
249.2096483707428,0.0001872509,280,1.3095238095238095,89.0,0.12333333333333336,0.0,16.78283839346149,0.0001872509,49981,1.2935789,0.0011350407,1.6904761904761905
298.8457496166229,0.00032405803,322,1.0952380952380953,81.71428571428571,0.10895238095238101,0.0,15.545398010758433,0.00032405803,59985,1.2840062,0.00848928,1.9047619047619047
348.42238211631775,0.00069664663,364,1.4047619047619047,92.35714285714286,0.12314285714285715,0.0,17.7240691044951,0.00069664663,69987,1.3256428,0.008528395,1.5952380952380953
394.4375002384186,0.0002739853,410,1.6521739130434783,86.8695652173913,0.11884472049689443,0.0,16.38869873907656,0.0002739853,79780,1.3079867,0.004488505,1.3478260869565217
443.74640464782715,0.00038553873,453,1.3488372093023255,89.65116279069767,0.11953488372093024,0.0,17.07415923330937,0.00038553873,89785,1.3165252,0.0017401939,1.6511627906976745
491.78355503082275,0.00029637452,503,1.42,77.64,0.10780444444444447,0.0,14.793117414243367,0.00029637452,99815,1.3040774,0.0018977341,1.58
541.157534122467,0.0004602763,548,1.4222222222222223,86.93333333333334,0.13804444444444444,0.0,16.29519007752357,0.0004602763,109828,1.3441539,0.0036895538,1.5777777777777777
587.0848162174225,0.0015643361,593,1.511111111111111,85.26666666666667,0.14326349206349204,0.0,16.263383965513977,0.0015643361,119843,1.3689727,0.008018226,1.488888888888889
637.0971262454987,0.0011331843,644,1.803921568627451,83.3529411764706,0.12110372264847968,0.0,16.19990637988246,0.0011331843,129932,1.3518093,0.0064360797,1.196078431372549
689.4102373123169,0.0006535909,706,2.129032258064516,68.95161290322581,0.14477742356731252,0.0,13.337020280692053,0.0006535909,139768,1.3499854,0.0017580907,0.8709677419354839
739.1250238418579,0.0002729487,761,1.9454545454545455,85.63636363636364,0.13646835546165695,0.0,16.410098756697735,0.0002729487,149929,1.3782505,0.0016206071,1.0545454545454545
783.4271495342255,0.00039297892,822,2.098360655737705,76.62295081967213,0.12270355530053528,0.0,14.808428958729765,0.00039297892,159842,1.3848395,0.006317466,0.9016393442622951
833.1909766197205,0.00053389865,874,1.8076923076923077,82.26923076923077,0.15976697376697374,0.0,15.588577379428644,0.00053389865,169916,1.4130949,0.0049256114,1.1923076923076923
887.1870973110199,0.00046884106,919,1.5777777777777777,92.0,0.13477863245248126,0.0,17.637402751854705,0.00046884106,179806,1.4256124,0.0039536348,1.4222222222222223
937.0643742084503,0.00044681143,972,1.9245283018867925,90.0,0.14616091063806574,0.0,17.20369089615807,0.00044681143,189874,1.434248,0.0027098588,1.0754716981132075
986.048905134201,0.0006603737,1023,1.7058823529411764,87.29411764705883,0.13362492273814222,0.0,16.93701361965834,0.0006603737,199874,1.4587858,0.0050171,1.2941176470588236
1032.118407011032,0.00050668436,1069,1.7391304347826086,88.3695652173913,0.13947826086956522,0.0,16.842901965219028,0.00050668436,209904,1.4707911,0.004826292,1.2608695652173914
1083.079662322998,0.00063084,1133,2.25,69.9375,0.14450434822358812,0.0,13.37780465820468,0.00063084,219957,1.4580077,0.0048658065,0.75
1129.604234457016,0.0007173434,1192,2.0338983050847457,72.2542372881356,0.12747227873722075,0.0,13.654608899691103,0.0007173434,229935,1.4535005,0.0077937576,0.9661016949152542
1181.3916499614716,0.0004037801,1235,1.302325581395349,92.5813953488372,0.13110077519379848,0.0,17.688476985734756,0.0004037801,239962,1.4684947,0.0019580112,1.697674418604651
1229.5078492164612,0.0006638957,1279,1.7272727272727273,94.43181818181819,0.14191037308065169,0.0,18.06298013644523,0.0006638957,249805,1.4800919,0.007919478,1.2727272727272727
1284.31298995018,0.0005927745,1331,1.8269230769230769,83.25,0.13826473526473526,0.0,15.700362448212816,0.0005927745,259855,1.4670404,0.005631198,1.1730769230769231
1327.671385526657,0.00027057878,1383,2.1153846153846154,87.6923076923077,0.1382483155099328,0.0,17.117240895698394,0.00027057878,269929,1.4749732,0.0023511488,0.8846153846153846
1378.4305672645569,0.0007038157,1436,1.8867924528301887,82.98113207547169,0.15564155995385662,0.0,15.981645356184778,0.0007038157,279814,1.4529594,0.0055637555,1.1132075471698113
1426.588404417038,0.0014673035,1487,1.7647058823529411,79.23529411764706,0.11791251885369536,0.0,15.269326272517015,0.0014673035,289901,1.446091,0.009431956,1.2352941176470589
1482.4043164253235,0.0002120514,1533,1.5434782608695652,82.69565217391305,0.17743793320730936,0.0,15.763198387768172,0.0002120514,299943,1.4499944,0.0027424041,1.4565217391304348
1527.7263312339783,0.00048272044,1575,1.2857142857142858,89.42857142857143,0.142952380952381,0.0,16.921278936790504,0.00048272044,309945,1.4776505,0.0029595427,1.7142857142857142
1574.550068616867,0.00035585594,1615,1.225,89.85,0.11980000000000002,0.0,16.777853325100796,0.00035585594,319945,1.508265,0.002554684,1.775
