TimeElapsed,TimestepsSoFar,EpisodesSoFar,meankl,optimgain,TtR,Fce,surrgain,AttNC,entropy,AttC,MtR,entloss
5465.900362491608,669925,3579,0.0031167264,0.0033129593,31.785714285714285,0.12714285714285717,0.0033129593,0.9523809523809523,0.45917007,0.047619047619047616,17.882746413408565,0.0
5553.577874660492,679928,3622,0.004208798,0.0026016831,30.953488372093023,0.12381395348837211,0.0026016831,0.9302325581395349,0.4136163,0.06976744186046512,17.644888197284303,0.0
5633.274124145508,689933,3667,0.0033987756,0.0018142639,30.08888888888889,0.12035555555555556,0.0018142639,0.8888888888888888,0.45085308,0.1111111111111111,16.99945573126033,0.0
5722.287937879562,699964,3714,0.00422531,0.0033443589,28.74468085106383,0.11682785299806579,0.0033443589,0.851063829787234,0.40998837,0.14893617021276595,16.40737040398896,0.0
5804.240966558456,709966,3756,0.0029859364,0.0018968811,30.976190476190474,0.12390476190476193,0.0018968811,0.9523809523809523,0.44221613,0.047619047619047616,17.87892450043998,0.0
5892.4967703819275,719977,3801,0.0052719624,0.0025064813,29.933333333333334,0.12281904761904763,0.0025064813,0.8888888888888888,0.42642203,0.1111111111111111,17.145040530305984,0.0
5981.055889844894,729831,3844,0.004823749,0.0037305527,30.069767441860463,0.12218652601294656,0.0037305527,0.9069767441860465,0.4018518,0.09302325581395349,17.307882472199474,0.0
6064.223988056183,739844,3887,0.0031150247,0.0018505913,31.511627906976745,0.13008879492600425,0.0018505913,0.9302325581395349,0.38566685,0.06976744186046512,18.017090171547302,0.0
6153.5500745773315,749848,3931,0.0037870824,0.0010831642,30.25,0.12100000000000001,0.0010831642,0.9090909090909091,0.36488765,0.09090909090909091,17.31561918839063,0.0
6233.8466947078705,759851,3974,0.0048554186,0.0028142014,29.186046511627907,0.11674418604651166,0.0028142014,0.9302325581395349,0.33015803,0.06976744186046512,16.622075204223272,0.0
6322.3145225048065,769857,4016,0.003699777,0.0019650864,29.642857142857142,0.1185714285714286,0.0019650864,0.9523809523809523,0.33539885,0.047619047619047616,16.873915179905374,0.0
6391.999031305313,779860,4059,0.005859939,0.0026567841,29.72093023255814,0.11888372093023256,0.0026567841,0.9302325581395349,0.2934611,0.06976744186046512,17.017947805854877,0.0
6483.007913827896,789874,4105,0.004002504,0.0023191292,26.847826086956523,0.10971980676328508,0.0023191292,0.8695652173913043,0.25509068,0.13043478260869565,14.995652822632154,0.0
6573.190097332001,799875,4146,0.0030441447,0.0032446869,31.48780487804878,0.12595121951219515,0.0032446869,0.975609756097561,0.27989188,0.024390243902439025,18.099478394605082,0.0
6644.883957386017,809888,4187,0.002120013,0.0013325971,31.70731707317073,0.1303864915572233,0.0013325971,0.975609756097561,0.28313202,0.024390243902439025,18.10904816104535,0.0
6735.951153993607,819890,4229,0.002826359,0.0024803414,28.642857142857142,0.11457142857142862,0.0024803414,0.9523809523809523,0.2933402,0.047619047619047616,16.494448197099036,0.0
6812.2101328372955,829893,4270,0.0035154342,0.0027165962,28.853658536585368,0.1154146341463415,0.0027165962,0.975609756097561,0.31066862,0.024390243902439025,16.41066976557083,0.0
6895.963289022446,839893,4310,0.007678536,0.004171692,30.5,0.12200000000000007,0.004171692,1.0,0.35633495,0.0,17.782525703172,0.0
6981.7999658584595,849896,4353,0.0037370212,0.0024194352,30.348837209302324,0.1213953488372093,0.0024194352,0.9302325581395349,0.38017276,0.06976744186046512,17.51157056662836,0.0
7056.877701997757,859898,4395,0.0053762323,0.002904071,29.61904761904762,0.1184761904761905,0.002904071,0.9523809523809523,0.34489438,0.047619047619047616,17.130212639483148,0.0
7145.80505156517,869901,4438,0.005654647,0.003940783,30.837209302325583,0.12334883720930237,0.003940783,0.9302325581395349,0.31045148,0.06976744186046512,17.533024956243313,0.0
7230.3061718940735,879907,4480,0.002474274,0.0011595614,30.285714285714285,0.12580952380952382,0.0011595614,0.9523809523809523,0.30906776,0.047619047619047616,17.33097424515486,0.0
7319.084241390228,889908,4521,0.0056048147,0.0025174355,32.170731707317074,0.1286829268292683,0.0025174355,0.975609756097561,0.27322522,0.024390243902439025,18.319334688679646,0.0
