MpbtN,AttC,entloss,meankl,optimgain,TtR,Tbt,Tmt,Ptt,Tmc,AttNC,TimestepsSoFar,TimeElapsed,MpbtA,MtR,EpisodesSoFar,entropy,surrgain
97.40078180369864,10.0,0.0,0.006845649,0.002301539,-726.6783831282953,305637.90509666083,74.61862917398946,72.80969137984206,29.423550087873462,0.0,9994,1297.232100725174,2.599218196301244,-66.90856342473805,569,0.68634236,0.002301539
96.74187357737148,10.0,0.0,0.010132756,0.003385514,-712.2967479674796,301613.7886178862,73.63617886178862,71.86354393129999,30.447154471544714,0.0,19991,2435.8337581157684,3.258126422628502,-64.70216187612212,1061,0.66051656,0.003385514
95.1340335877363,10.0,0.0,0.010237196,0.0051456783,-689.1645569620254,296737.053164557,72.44556962025317,70.67951508460557,31.746835443037973,0.0,29991,3337.2438044548035,4.865966412263727,-61.102733499648465,1456,0.61742955,0.0051456783
91.97195893716096,10.0,0.0,0.00835157,0.00471792,-661.9377162629758,294982.8650519031,72.01730103806229,70.24704855437143,32.22491349480969,0.0,39980,3971.534611225128,8.028041062839094,-56.23918314220615,1745,0.5696762,0.00471792
82.13662760073784,10.0,0.0,0.0066535827,0.0038955798,-584.3790849673203,291538.82352941175,71.17647058823529,69.4237668996363,33.12418300653595,0.0,49873,4314.543571233749,17.86337239926216,-44.322136740222184,1898,0.5466886,0.0038955798
57.00827012365821,9.6,0.0,0.008233104,0.0024253163,-395.38461538461536,283065.1076923077,69.1076923076923,67.32012631168065,35.46153846153846,0.4,59840,4482.759921073914,42.9917298763418,-24.37886551238625,1963,0.4993284,0.0024253163
35.01063127539635,4.0,0.0,0.0108069545,0.0047389506,-228.7719298245614,267461.6140350877,65.29824561403508,63.52513201747811,39.63157894736842,6.0,69876,4639.539484262466,64.98936872460365,-15.152847753862359,2020,0.42347258,0.0047389506
51.084667160058615,9.120689655172415,0.0,0.00532164,0.0014995045,-345.17241379310343,275491.3103448276,67.25862068965517,65.41361759478214,37.58620689655172,0.8793103448275862,79938,4793.751649618149,48.915332839941385,-20.601940908142055,2078,0.4950593,0.0014995045
34.70460458279527,4.0,0.0,0.003264646,0.0008184656,-226.36363636363637,266016.58181818185,64.94545454545455,63.216506171984996,39.945454545454545,6.0,89884,4949.85337805748,65.29539541720473,-14.681196295762154,2133,0.35507172,0.0008184656
33.779595805925894,3.9473684210526314,0.0,0.0067125196,0.001444209,-221.05263157894737,267533.4736842105,65.3157894736842,63.5637132183476,39.578947368421055,6.052631578947368,99980,5109.820556879044,66.22040419407412,-14.64336230053844,2190,0.4115932,0.001444209
38.38808069180675,8.410714285714286,0.0,0.0071094586,0.0017768994,-253.03571428571428,267922.28571428574,65.41071428571429,63.64189967313676,39.5,1.5892857142857142,109899,5250.261805772781,61.611919308193215,-15.181358654327637,2246,0.435524,0.0017768994
30.569818057248007,3.694915254237288,0.0,0.004477795,0.00085364503,-193.05084745762713,258533.9661016949,63.11864406779661,61.44204890038913,41.86440677966102,6.305084745762712,119999,5407.5336854457855,69.43018194275197,-13.493652424590096,2305,0.36688024,0.00085364503
30.287196394673547,6.262295081967213,0.0,0.0023079077,0.0009292761,-188.36065573770492,255160.65573770492,62.295081967213115,60.640990148363535,42.73770491803279,3.737704918032787,129999,5549.862672567368,69.71280360532644,-12.947034125186772,2366,0.39847234,0.0009292761
29.869575720750966,6.491525423728813,0.0,0.006136607,0.0010855255,-185.25423728813558,253952.0,62.0,60.38010622393526,43.0,3.5084745762711864,139902,5695.528159618378,70.13042427924903,-12.484803901236559,2425,0.37746933,0.0010855255
28.01148191927157,5.333333333333333,0.0,0.0069121965,0.0019412688,-173.17460317460316,252651.68253968254,61.682539682539684,60.08232754382124,43.317460317460316,4.666666666666667,149941,5842.993226289749,71.98851808072844,-12.24910768730829,2488,0.4029247,0.0019412688
40.032834093827425,8.898305084745763,0.0,0.007809077,0.0016150338,-260.1694915254237,264573.83050847455,64.59322033898304,62.87914924912053,40.30508474576271,1.1016949152542372,159973,5988.417878627777,59.967165906172575,-15.61050859245889,2547,0.39785334,0.0016150338
27.42731633661909,3.3934426229508197,0.0,0.0027216754,0.0006208349,-167.70491803278688,250594.62295081967,61.18032786885246,59.58118825789179,43.868852459016395,6.60655737704918,169842,6143.655713796616,72.57268366338089,-12.064530269417205,2608,0.33059937,0.0006208349
27.732442282673702,5.0,0.0,0.0069064735,0.00095485535,-172.09677419354838,252828.90322580645,61.725806451612904,60.10711703590794,43.306451612903224,5.0,179933,6299.351961374283,72.2675577173263,-11.849289198324904,2670,0.4095915,0.00095485535
41.11633859201014,8.947368421052632,0.0,0.0052962843,0.0012258508,-272.10526315789474,270910.8771929825,66.14035087719299,64.35746174981182,38.719298245614034,1.0526315789473684,189953,6444.840742111206,58.883661407989855,-16.18513543868101,2727,0.39006805,0.0012258508
27.96817583737775,4.278688524590164,0.0,0.0048468327,0.0011560876,-172.78688524590163,251937.5737704918,61.50819672131148,59.9157827488981,43.49180327868852,5.721311475409836,199899,6605.411023139954,72.03182416262223,-11.929518506992038,2788,0.36651754,0.0011560876
27.57016545027788,6.741935483870968,0.0,0.0047112224,0.0011540346,-167.09677419354838,247675.87096774194,60.46774193548387,58.91279029574982,44.58064516129032,3.2580645161290325,209984,6748.480886697769,72.42983454972212,-11.418535449580522,2850,0.3295178,0.0011540346
29.329313860457404,3.7096774193548385,0.0,0.009527341,0.002890932,-175.80645161290323,245826.06451612903,60.016129032258064,58.50289571428348,45.0,6.290322580645161,219903,6904.740296840668,70.6706861395426,-12.901028058632555,2912,0.3754894,0.002890932
