MtR,AttC,TimeElapsed,AttNC,EpisodesSoFar,TimestepsSoFar,meankl,optimgain,entloss,TtR,Fce,surrgain,entropy
22.03480970112457,6.488372093023256,9231.930196523666,3.511627906976744,3908,949838,0.008933196,2.1736145e-07,0.0,380.93023255813955,0.16154084675014913,2.1736145e-07,4.18921
23.450927010947797,6.225,9325.667867660522,3.775,3948,959838,0.008933067,6.994629e-07,0.0,409.25,0.16369999999999998,6.994629e-07,4.2868476
23.265947703338007,6.3,9424.018052816391,3.7,3988,969838,0.008933204,4.6875e-07,0.0,407.5,0.163,4.6875e-07,4.3844485
24.284146302612786,6.414634146341464,9525.468039512634,3.5853658536585367,4029,979887,0.008929219,1.361084e-07,0.0,420.2439024390244,0.17049875559980088,1.361084e-07,4.4819474
23.31963609686038,6.454545454545454,9632.14629817009,3.5454545454545454,4073,989947,0.010174387,2.746582e-07,0.0,407.27272727272725,0.18032351982826364,2.746582e-07,4.384347
21.54457292631097,6.906976744186046,9728.227590084076,3.0930232558139537,4116,999980,0.010174751,2.2766113e-07,0.0,371.3953488372093,0.15687503194479943,2.2766113e-07,4.286808
24.61311194505618,6.2926829268292686,9832.972468137741,3.707317073170732,4157,1009997,0.008933102,3.4240722e-07,0.0,433.1707317073171,0.17727977044476328,3.4240722e-07,4.384347
21.38851722750981,6.609756097560975,9930.18787741661,3.3902439024390243,4198,1019807,0.008933102,5.090332e-07,0.0,371.9512195121951,0.14912638580931262,5.090332e-07,4.4819474
24.632447076029376,6.170731707317073,10034.0047352314,3.8292682926829267,4239,1029824,0.008933196,1.8539428e-07,0.0,430.4878048780488,0.1748694404591105,1.8539428e-07,4.5795856
23.718172728319892,6.926829268292683,10137.090369701385,3.073170731707317,4280,1039881,0.010174863,4.5959473e-07,0.0,413.6585365853659,0.16711510483525888,4.5959473e-07,4.4819474
23.485058579292055,6.785714285714286,10236.424650907516,3.2142857142857144,4322,1049893,0.008933077,2.2094727e-07,0.0,409.5238095238095,0.16380952380952382,2.2094727e-07,4.5795856
25.119242688086967,6.4,10329.094767332077,3.6,4362,1059893,0.010174751,1.5655517e-07,0.0,433.5,0.17339999999999997,1.5655517e-07,4.4819474
22.577285365829255,7.095238095238095,10436.271550893784,2.9047619047619047,4404,1069925,0.008933034,2.109146e-07,0.0,391.1904761904762,0.16023602484472052,2.109146e-07,4.579577
23.343541896026856,6.609756097560975,10527.488366603851,3.3902439024390243,4445,1079942,0.010174751,3.3863068e-07,0.0,409.7560975609756,0.16791391678622672,3.3863068e-07,4.4819474
22.06367401626534,6.7,10632.725083827972,3.3,4485,1089942,0.010174639,2.4581908e-07,0.0,385.25,0.15410000000000004,2.4581908e-07,4.384347
21.849648210040105,6.682926829268292,10735.538456439972,3.317073170731707,4526,1099955,0.01017476,3.6468506e-07,0.0,378.0487804878049,0.15477673545966233,3.6468506e-07,4.286808
22.397068873787163,6.928571428571429,10827.873242378235,3.0714285714285716,4568,1109995,0.010174863,5.276489e-07,0.0,390.0,0.16609143942477275,5.276489e-07,4.189208
24.054215595407616,6.05,10925.5854139328,3.95,4608,1119782,0.008933416,4.234314e-07,0.0,413.25,0.16702702702702704,4.234314e-07,4.286808
23.164007338434054,6.72093023255814,11023.854463815689,3.2790697674418605,4651,1129807,0.0101046255,4.7302247e-08,0.0,403.95348837209303,0.17267277425416958,4.7302247e-08,4.189512
23.031331755924548,6.365853658536586,11122.202383518219,3.6341463414634148,4692,1139826,0.008933196,9.335327e-07,0.0,401.4634146341463,0.16295763799743257,9.335327e-07,4.2871103
22.485733952101832,6.375,11221.106060504913,3.625,4732,1149826,0.008933416,3.1311035e-07,0.0,389.25,0.1557,3.1311035e-07,4.3847475
24.33853457085131,6.317073170731708,11320.652928829193,3.682926829268293,4773,1159829,0.008933196,5.4168703e-07,0.0,420.4878048780488,0.17622764227642274,5.4168703e-07,4.482249
25.70116683945863,6.1,11411.130699157715,3.9,4813,1169829,0.008933102,2.9617308e-07,0.0,447.75,0.17909999999999998,2.9617308e-07,4.579851
20.864282754000303,6.933333333333334,11515.59585237503,3.066666666666667,4858,1179940,0.010174863,3.4362793e-07,0.0,362.22222222222223,0.16072919995243046,3.4362793e-07,4.482249
24.78700746464915,6.2682926829268295,11609.335193872452,3.731707317073171,4899,1189951,0.008933204,2.4368285e-07,0.0,430.2439024390244,0.17421729490022175,2.4368285e-07,4.579851
24.19522941450338,6.35,11707.675774335861,3.65,4939,1199951,0.008933067,1.0559082e-07,0.0,423.25,0.16929999999999995,1.0559082e-07,4.677489
21.370710436382776,7.0476190476190474,11802.865420341492,2.9523809523809526,4981,1209981,0.008931977,6.820679e-08,0.0,372.3809523809524,0.15509145880574451,6.820679e-08,4.7750916
21.848246354041763,6.45,11902.867957115173,3.55,5021,1219778,0.008933204,1.8440247e-07,0.0,377.0,0.1538234042553192,1.8440247e-07,4.872612
24.706386950567882,5.95,11994.85967040062,4.05,5061,1229778,0.008933067,1.2481689e-07,0.0,429.5,0.17180000000000004,1.2481689e-07,4.9702187
22.099603184847144,7.309523809523809,12094.883803129196,2.6904761904761907,5103,1239826,0.010174781,1.9668579e-07,0.0,381.1904761904762,0.15647330447330446,1.9668579e-07,4.872612
22.41499903377351,7.024390243902439,12188.018700122833,2.975609756097561,5144,1249877,0.010174781,1.9668579e-07,0.0,386.8292682926829,0.15701578192252513,1.9668579e-07,4.872612
23.48900347588965,6.25,12281.366803646088,3.75,5184,1259877,0.008933204,2.016449e-07,0.0,406.5,0.1626,2.016449e-07,4.9702187
22.652765850680552,6.738095238095238,12379.589056253433,3.261904761904762,5226,1269957,0.008933196,6.996155e-08,0.0,390.7142857142857,0.1570989010989011,6.996155e-08,5.067858
22.184393459224903,7.25,12475.38270187378,2.75,5266,1279957,0.008933204,4.66156e-08,0.0,385.5,0.1542,4.66156e-08,5.1654663
23.641558653517883,6.428571428571429,12575.401183128357,3.5714285714285716,5308,1289977,0.008933034,4.9209596e-08,0.0,409.76190476190476,0.165974025974026,4.9209596e-08,5.262986
23.468535840987702,6.512195121951219,12668.42105126381,3.4878048780487805,5349,1299769,0.010174781,8.026123e-08,0.0,409.7560975609756,0.16689895470383276,8.026123e-08,5.1654663
22.92057251221094,6.595238095238095,12774.042994976044,3.4047619047619047,5391,1309795,0.008933204,4.7607422e-08,0.0,400.23809523809524,0.16365656565656567,4.7607422e-08,5.262986
