optimgain,TimestepsSoFar,AttC,MtR,meankl,AttNC,surrgain,entropy,TtR,Fce,TimeElapsed,entloss,EpisodesSoFar
0.0037996017,3169774,0.047619047619047616,19.180052857316475,0.006167119,0.9523809523809523,0.0037996017,0.29844266,33.57142857142857,0.13428571428571429,25949.14617705345,0.0,14303
0.0034323493,3179782,0.13043478260869565,16.883047471292087,0.006253451,0.8695652173913043,0.0034323493,0.28701264,29.5,0.11800000000000004,26025.244426250458,0.0,14349
0.003135717,3189783,0.024390243902439025,19.775984142307614,0.01009521,0.975609756097561,0.003135717,0.26612404,34.90243902439025,0.139609756097561,26104.110919952393,0.0,14390
0.003931247,3199797,0.047619047619047616,20.2815082181775,0.0056100674,0.9523809523809523,0.003931247,0.25320908,35.333333333333336,0.1465421245421246,26185.419600486755,0.0,14432
0.0043559065,3209802,0.06976744186046512,18.94694080472648,0.0078265015,0.9302325581395349,0.0043559065,0.23230876,33.06976744186046,0.13227906976744186,26274.32184624672,0.0,14475
0.0039528715,3219802,0.0,19.843307380918457,0.004893707,1.0,0.0039528715,0.26145944,33.925,0.13570000000000002,26353.6354534626,0.0,14515
0.0043047806,3229804,0.047619047619047616,18.098123554826408,0.0043374626,0.9523809523809523,0.0043047806,0.28420883,32.30952380952381,0.1292380952380953,26432.84462618828,0.0,14557
0.0027334595,3239805,0.024390243902439025,18.557734798791948,0.0049993102,0.975609756097561,0.0027334595,0.30250677,32.4390243902439,0.12975609756097567,26508.940376520157,0.0,14598
0.0030050948,3249807,0.047619047619047616,19.570084874688668,0.0054869247,0.9523809523809523,0.0030050948,0.29589844,34.38095238095238,0.13752380952380955,26587.30600810051,0.0,14640
0.0047464445,3259808,0.024390243902439025,18.48030253895315,0.008194804,0.975609756097561,0.0047464445,0.30103666,32.0,0.12800000000000006,26672.49466919899,0.0,14681
0.003977338,3269808,0.0,19.623791309979907,0.006790202,1.0,0.003977338,0.32462686,34.325,0.13730000000000003,26746.132288455963,0.0,14721
0.0031600525,3279851,0.06976744186046512,18.97830059105986,0.0054745404,0.9302325581395349,0.0031600525,0.32120118,33.116279069767444,0.13578445830969937,26829.105849266052,0.0,14764
0.0047969026,3289852,0.024390243902439025,20.132691625258126,0.0078314785,0.975609756097561,0.0047969026,0.2664127,35.073170731707314,0.14029268292682928,26909.575224161148,0.0,14805
0.0037974152,3299852,0.0,20.98383035468021,0.0074191764,1.0,0.0037974152,0.2973165,37.25,0.14900000000000005,26992.663254737854,0.0,14845
0.004235274,3309880,0.047619047619047616,20.056404974502115,0.007976231,0.9523809523809523,0.004235274,0.28918868,34.95238095238095,0.14216931216931217,27069.56681060791,0.0,14887
0.0060336916,3319882,0.047619047619047616,20.637246246201283,0.009649684,0.9523809523809523,0.0060336916,0.2903137,35.88095238095238,0.14352380952380953,27152.869785785675,0.0,14929
0.00304023,3329941,0.1111111111111111,18.50635923246364,0.004693737,0.8888888888888888,0.00304023,0.28646412,32.31111111111111,0.13753265353265354,27236.193803548813,0.0,14974
0.0045542023,3339764,0.11363636363636363,18.321589878853633,0.0067196707,0.8863636363636364,0.0045542023,0.32136992,31.84090909090909,0.1399704961860406,27318.42742538452,0.0,15018
0.0042400407,3349827,0.06976744186046512,19.384965056145287,0.0073297913,0.9302325581395349,0.0042400407,0.30640036,34.27906976744186,0.14057491422035834,27395.122183322906,0.0,15061
0.004786776,3359836,0.06976744186046512,18.661093847545427,0.006741451,0.9302325581395349,0.004786776,0.3118847,32.53488372093023,0.1333687707641196,27485.98624563217,0.0,15104
