meankl,EpisodesSoFar,Ptt,AttNC,AttC,surrgain,entloss,TtR,optimgain,entropy,MtR,Tmt,Tmc,Tbt,TimeElapsed,MpbtN,TimestepsSoFar,MpbtA
0.009278114,845,82.04630573186306,0.0,1.0,0.023081668,0.0,-80.29349112426036,0.023081668,0.68413043,-76.11561953681286,84.3621301775148,19.473372781065088,345547.2852071006,2055.1423370838165,95.18127823728595,9990,4.818721762713652
0.010087163,1573,82.04577911151189,0.0,1.0,0.015726669,0.0,-80.35714285714286,0.015726669,0.65553933,-75.48779027832003,84.36538461538461,19.475274725274726,345560.6153846154,3824.8109390735626,95.2548134296051,19993,4.745186570394631
0.010183,2196,82.06210846856422,0.0,1.0,0.017150307,0.0,-80.49117174959872,0.017150307,0.6086862,-74.79662330476712,84.38362760834671,19.457463884430176,345635.33868378814,5333.167949914932,95.39627289439389,29991,4.603727105605884
0.010198477,2720,81.78185175373832,0.0,1.0,0.01871917,0.0,-80.29580152671755,0.01871917,0.5440661,-73.5902076593185,84.09541984732824,19.76145038167939,344454.8396946565,6642.120699167252,95.49046768711226,39985,4.509532312887562
0.009970434,3082,81.85473377696131,0.0,1.0,0.0206511,0.0,-80.10220994475138,0.0206511,0.4667448,-70.76237337872651,84.18232044198895,19.685082872928177,344810.78453038674,7546.822155237198,95.16664451889397,49982,4.833355481106083
0.009637826,3330,81.56188301826337,0.0,1.0,0.01932482,0.0,-79.40725806451613,0.01932482,0.3893985,-66.73325408282447,83.88709677419355,20.004032258064516,343601.5483870968,8156.297210454941,94.65964290888958,59980,5.340357091110454
0.008928683,3476,81.5703026732261,0.0273972602739726,0.9726027397260274,0.018629871,0.0,-77.84931506849315,0.018629871,0.31402388,-60.79963031653424,83.88356164383562,19.993150684931507,343587.0684931507,8527.529381990433,92.79094250437896,69892,7.209057495621044
0.008845219,3568,81.39849844941175,0.10869565217391304,0.8913043478260869,0.01648564,0.0,-76.03260869565217,0.01648564,0.24259682,-54.081250735972695,83.72826086956522,20.184782608695652,342950.95652173914,8763.690859794617,90.78673625621049,79981,9.213263743789543
0.00636495,3617,80.9880604270498,0.3877551020408163,0.6122448979591837,0.006675094,0.0,-73.79591836734694,0.006675094,0.19273087,-44.263522834748336,83.3061224489796,20.632653061224488,341221.8775510204,8899.810158967972,88.56422994777424,89795,11.43577005222573
0.0025631415,3656,81.2419764025755,0.717948717948718,0.28205128205128205,0.003173993,0.0,-74.12820512820512,0.003173993,0.19686499,-41.20107005966843,83.58974358974359,20.358974358974358,342383.58974358975,9008.87501692772,88.64959180183881,99958,11.350408198161189
0.001831565,3693,80.7719231251478,0.8648648648648649,0.13513513513513514,0.0025654205,0.0,-74.72972972972973,0.0025654205,0.18453276,-41.16725835135465,83.08108108108108,20.864864864864863,340300.1081081081,9120.897907495499,89.92126059935845,109708,10.078739400641544
0.0087570865,3729,81.20997859659569,0.9444444444444444,0.05555555555555555,0.0053801043,0.0,-75.77777777777777,0.0053801043,0.25991344,-41.13167289179924,83.52777777777777,20.38888888888889,342129.77777777775,9221.018299818039,90.69108864609312,119810,9.308911353906854
0.0056072557,3771,80.9103708222165,0.6428571428571429,0.35714285714285715,0.005020356,0.0,-71.66666666666667,0.005020356,0.19768162,-41.30619823852368,83.21428571428571,20.714285714285715,340845.71428571426,9337.228017807007,86.09137787303072,129931,13.90862212696926
0.0036985497,3808,81.72247317674416,0.8108108108108109,0.1891891891891892,0.004495267,0.0,-74.75675675675676,0.004495267,0.16017786,-41.608956484488814,84.08108108108108,19.83783783783784,344396.1081081081,9447.457896709442,88.8731890564705,139810,11.126810943529517
0.00688398,3844,81.78739609681094,0.9722222222222222,0.027777777777777776,0.0045791566,0.0,-76.02777777777777,0.0045791566,0.24285786,-41.49864886118694,84.05555555555556,19.75,344291.55555555556,9550.999748945236,90.3989166514595,149826,9.601083348540465
0.003855897,3882,80.79856433615178,0.8157894736842105,0.18421052631578946,0.003168216,0.0,-73.1842105263158,0.003168216,0.17774959,-40.69602474944681,83.13157894736842,20.842105263157894,340506.94736842107,9659.867809057236,88.00814026253211,159984,11.991859737467882
0.0077490904,3917,81.61206259466894,0.9714285714285714,0.02857142857142857,0.007595648,0.0,-74.77142857142857,0.007595648,0.26490748,-40.11305352787906,83.88571428571429,19.942857142857143,343595.8857142857,9765.079997062683,89.08213732395012,169908,10.917862676049872
0.009709463,3955,80.50152272394803,0.868421052631579,0.13157894736842105,0.005596077,0.0,-70.92105263157895,0.005596077,0.31760332,-40.08069888229626,82.78947368421052,21.157894736842106,339105.6842105263,9875.950592041016,85.6419674064781,179849,14.358032593521907
0.007172556,4004,80.94767985303082,0.4489795918367347,0.5510204081632653,0.006271245,0.0,-71.24489795918367,0.006271245,0.22402368,-42.71255460467201,83.24489795918367,20.6734693877551,340971.10204081633,10010.714596748352,85.54065699384502,190000,14.459343006154958
0.0034470127,4042,80.21168739486124,0.8157894736842105,0.18421052631578946,0.0034052276,0.0,-70.60526315789474,0.0034052276,0.26641974,-39.585737019273495,82.5,21.473684210526315,337920.0,10120.282332658768,85.55990217373729,199769,14.440097826262699
0.0032387376,4083,80.03937145644412,0.7073170731707317,0.2926829268292683,0.0043147295,0.0,-70.02439024390245,0.0043147295,0.23883007,-40.043417386591805,82.3170731707317,21.658536585365855,337170.73170731706,10236.81887435913,85.02117154779407,209902,14.978828452205933
0.002927958,4119,80.23181388684007,0.8333333333333334,0.16666666666666666,0.003132544,0.0,-69.41666666666667,0.003132544,0.2617218,-38.551783451583994,82.5,21.444444444444443,337920.0,10346.335569858551,84.04135205754764,219815,15.958647942452368
0.0044327653,4158,80.82426262481545,0.8717948717948718,0.1282051282051282,0.0041529452,0.0,-71.66666666666667,0.0041529452,0.2703876,-41.07795270886561,83.17948717948718,20.82051282051282,340703.1794871795,10453.659658670425,86.15975843342224,229818,13.840241566577761
0.005001805,4198,80.87834693203595,0.8,0.2,0.004429437,0.0,-69.55,0.004429437,0.25369376,-39.91775786434784,83.175,20.75,340684.8,10563.47526049614,83.60215286526463,239979,16.397847134735336
0.0049007544,4237,80.52316481495977,0.5641025641025641,0.4358974358974359,0.005225428,0.0,-70.41025641025641,0.005225428,0.2758795,-39.40146930520779,82.7948717948718,21.128205128205128,339127.7948717949,10673.33258986473,85.03986674557856,249828,14.96013325442144
0.007988664,4275,80.15569165687573,0.7368421052631579,0.2631578947368421,0.00453788,0.0,-68.23684210526316,0.00453788,0.3367683,-38.485482370828606,82.39473684210526,21.526315789473685,337488.84210526315,10784.163611888885,82.78828040323192,259861,17.211719596768077
0.0073923357,4324,80.7796405885172,0.4489795918367347,0.5510204081632653,0.008632151,0.0,-69.89795918367346,0.008632151,0.23624417,-42.538613986287395,83.08163265306122,20.857142857142858,340302.36734693876,10917.03744649887,84.05752330936727,269983,15.942476690632724
0.0054319296,4361,80.59673195594227,0.8378378378378378,0.16216216216216217,0.0051674135,0.0,-68.75675675675676,0.0051674135,0.2426978,-38.65069407935347,82.89189189189189,21.054054054054053,339525.1891891892,11022.707000017166,82.95644811903205,279837,17.043551880967957
0.00809231,4399,81.11785282644432,0.8947368421052632,0.10526315789473684,0.0047644265,0.0,-70.13157894736842,0.0047644265,0.3047689,-39.56479326879313,83.47368421052632,20.5,341908.2105263158,11128.668959379196,84.01047180379054,289902,15.989528196209427
0.005905444,4440,79.52275797105571,0.6585365853658537,0.34146341463414637,0.0041842866,0.0,-68.46341463414635,0.0041842866,0.23463368,-39.98039159305407,81.78048780487805,22.21951219512195,334972.8780487805,11250.404204845428,83.73455398022583,299765,16.26544601977418
0.0038657775,4477,80.12393071311371,0.918918918918919,0.08108108108108109,0.0036839722,0.0,-68.70270270270271,0.0036839722,0.27967644,-37.46832952695048,82.4054054054054,21.56756756756757,337532.54054054053,11356.981090545654,83.36192472635341,309921,16.63807527364661
