surrgain,TimestepsSoFar,optimgain,meankl,EpisodesSoFar,entloss,MtR,AttNC,TtR,TimeElapsed,Fce,entropy,AttC
0.0007901965,1879845,0.0007901965,0.0016109076,8769,0.0,15.260829628305265,1.7727272727272727,81.4090909090909,9916.911592721939,0.12600713012477718,1.3955466,1.2272727272727273
0.000316494,1889851,0.000316494,0.0068595572,8811,0.0,16.265483183449305,1.9285714285714286,84.64285714285714,9965.519126415253,0.11285714285714288,1.3902591,1.0714285714285714
0.0010047068,1899886,0.0010047068,0.0017177147,8854,0.0,15.104889281025532,1.9069767441860466,79.25581395348837,10017.890672683716,0.10830307576894224,1.4027107,1.0930232558139534
0.00074613036,1909894,0.00074613036,0.0010103534,8896,0.0,15.342319574458868,1.7142857142857142,81.28571428571429,10068.955985546112,0.13209523809523813,1.3944,1.2857142857142858
0.0010923581,1919942,0.0010923581,0.0039995834,8940,0.0,15.274343425652184,1.8863636363636365,80.18181818181819,10126.335052728653,0.13365512265512267,1.387326,1.1136363636363635
0.00084026513,1929960,0.00084026513,0.0036046915,8984,0.0,16.218536486340927,1.7727272727272727,85.02272727272727,10177.382510900497,0.11336363636363639,1.3924177,1.2272727272727273
0.00072710775,1939785,0.00072710775,0.002399199,9029,0.0,14.852532758040901,1.6222222222222222,76.6,10230.663897514343,0.13149205890614343,1.3856674,1.3777777777777778
0.0010559601,1949853,0.0010559601,0.0044114655,9075,0.0,13.783626860128328,1.7608695652173914,71.73913043478261,10280.29428768158,0.10744566887063382,1.3868794,1.2391304347826086
0.00037962495,1959901,0.00037962495,0.00470672,9121,0.0,16.22696651812563,1.6521739130434783,84.26086956521739,10330.96465086937,0.11547826086956522,1.3698756,1.3478260869565217
0.00128066,1969964,0.00128066,0.006271399,9164,0.0,16.8448723281483,1.7674418604651163,88.88372093023256,10380.702483654022,0.1499145637473198,1.3655609,1.2325581395348837
2.2499593e-05,1979987,2.2499593e-05,0.005688106,9207,0.0,15.948349545150093,1.697674418604651,83.23255813953489,10435.47767162323,0.12465116279069773,1.3639039,1.302325581395349
0.0013037638,1989801,0.0013037638,0.0031916173,9252,0.0,13.749245230116824,1.8,71.73333333333333,10487.164665222168,0.10243809523809524,1.3531032,1.2
0.00048999407,1999854,0.00048999407,0.0036126652,9297,0.0,15.94975506027978,1.5333333333333334,84.13333333333334,10536.915601015091,0.11557740366629259,1.3503796,1.4666666666666666
