MpbtA,Ptt,MtR,TtR,MpbtN,Tmc,TimeElapsed,surrgain,AttC,TimestepsSoFar,Tbt,entloss,Tmt,entropy,optimgain,AttNC,EpisodesSoFar,meankl
2.576062416157047,72.77764663265667,-66.89460547745699,-726.438596491228,97.42393758384291,29.45263157894737,1304.748116016388,0.0033664892,10.0,10000,305453.81052631576,0.0,74.57368421052631,0.68478405,0.0033664892,0.0,570,0.008595105
3.3668499583797002,71.70972929354897,-64.40170711064968,-709.7942386831276,96.63315004162024,30.606995884773664,2439.0631182193756,0.0025479528,10.0,19986,300904.2962962963,0.0,73.46296296296296,0.65841967,0.0025479528,0.0,1056,0.009823055
5.154707716327373,70.74837058468262,-61.029889230803576,-687.525,94.84529228367268,31.665,3370.100885629654,0.004866178,10.0,29996,296970.24,0.0,72.5025,0.610349,0.004866178,0.0,1456,0.011819909
8.23577753793336,69.8247875188141,-56.39028666370408,-656.4856230031949,91.76422246206666,32.670926517571885,4086.9318339824677,0.0048682876,10.0,39984,293106.09584664536,0.0,71.5591054313099,0.553805,0.0048682876,0.0,1769,0.009321729
15.079521208439695,69.47575863133358,-48.33288482850469,-604.829268292683,84.92047879156023,33.078048780487805,4534.018029689789,0.00407564,10.0,49969,291854.98536585364,0.0,71.25365853658536,0.52264124,0.00407564,0.0,1974,0.0057232487
27.161054371381525,68.35121597038804,-36.33527354459841,-510.55555555555554,72.83894562861848,34.301587301587304,4819.86540222168,0.003852815,10.0,60000,287110.09523809527,0.0,70.0952380952381,0.4786651,0.003852815,0.0,2100,0.006712113
54.741884415534955,64.17918843267987,-18.979020273723986,-300.6849315068493,45.258115584465045,38.9041095890411,4986.682077169418,0.0034925381,9.136986301369863,69937,270111.5616438356,0.0,65.94520547945206,0.42068422,0.0034925381,0.863013698630137,2173,0.0045761312
64.96276426243503,62.367788084718526,-15.06099589350295,-225.3125,35.03723573756497,40.875,5156.543341398239,0.0028356842,7.390625,79980,262528.0,0.0,64.09375,0.35438094,0.0028356842,2.609375,2237,0.003877699
68.67728739324934,62.788571547907786,-13.728557268262286,-202.10526315789474,31.322712606750613,40.421052631578945,5313.253549814224,0.0034144307,4.912280701754386,89910,264299.7894736842,0.0,64.52631578947368,0.348551,0.0034144307,5.087719298245614,2294,0.0034590545
68.18946380908993,61.44564215012278,-13.920818303694713,-200.66666666666666,31.81053619091009,41.85,5493.008154153824,0.0030360064,5.65,99898,258457.6,0.0,63.1,0.35415995,0.0030360064,4.35,2354,0.003166669
67.2926114873983,62.09137778277547,-13.925296206382274,-209.672131147541,32.70738851260167,41.16393442622951,5648.8057470321655,0.0027418293,6.885245901639344,109985,261271.0819672131,0.0,63.78688524590164,0.37290874,0.0027418293,3.1147540983606556,2415,0.0024717904
64.8915682558188,62.28126131509937,-14.955293804334186,-224.4262295081967,35.1084317441812,40.967213114754095,5816.960542440414,0.0031016604,7.065573770491803,119961,262144.0,0.0,64.0,0.38637367,0.0031016604,2.9344262295081966,2476,0.0028711755
68.65468065773895,61.561187177643156,-13.13290163675244,-198.9655172413793,31.34531934226107,41.724137931034484,5972.330607175827,0.0027481935,6.172413793103448,129930,258966.06896551725,0.0,63.224137931034484,0.39356965,0.0027481935,3.8275862068965516,2534,0.002588219
67.35614392406427,62.61656957830342,-13.765859174049442,-210.5084745762712,32.643856075935716,40.59322033898305,6142.002935886383,0.0024116216,7.237288135593221,139931,263463.0508474576,0.0,64.32203389830508,0.4032877,0.0024116216,2.76271186440678,2593,0.0019316924
67.49155390722338,61.53921241704439,-13.51291669594353,-205.9322033898305,32.50844609277662,41.76271186440678,6296.877333164215,0.0031628332,6.983050847457627,149959,258950.50847457626,0.0,63.220338983050844,0.40932938,0.0031628332,3.016949152542373,2652,0.003003735
66.98519751938714,61.92008816744972,-13.453284158570566,-210.35087719298247,33.01480248061286,41.35087719298246,6460.544452667236,0.0026732574,7.350877192982456,159952,260563.08771929826,0.0,63.6140350877193,0.42833883,0.0026732574,2.6491228070175437,2709,0.002629884
67.52931838619358,61.93509102550853,-12.862901537500923,-207.85714285714286,32.47068161380639,41.339285714285715,6612.999860525131,0.0039680935,7.875,169917,260681.14285714287,0.0,63.642857142857146,0.44058156,0.0039680935,2.125,2765,0.003569752
66.30954406288646,62.153229970927995,-13.977293655378432,-216.10169491525423,33.69045593711354,41.101694915254235,6770.137975215912,0.0025495857,7.745762711864407,179911,261588.61016949153,0.0,63.86440677966102,0.42707264,0.0025495857,2.2542372881355934,2824,0.00249697
63.52713129622572,62.613497995410064,-14.842201296293462,-235.8181818181818,36.472868703774274,40.6,6933.0362384319305,0.0031463935,8.0,189783,263484.5090909091,0.0,64.32727272727273,0.4325991,0.0031463935,2.0,2879,0.004060983
69.93467559117464,61.59258514743558,-12.596507199729917,-191.1864406779661,30.065324408825344,41.71186440677966,7092.3289585113525,0.0031586057,7.169491525423729,199982,259228.2033898305,0.0,63.28813559322034,0.3783696,0.0031586057,2.830508474576271,2938,0.0042946874
69.3617098111417,61.34794328548875,-13.143218687130055,-193.9655172413793,30.638290188858317,41.96551724137931,7257.1993153095245,0.003149658,6.310344827586207,209840,258118.62068965516,0.0,63.01724137931034,0.38637683,0.003149658,3.689655172413793,2996,0.0031234939
69.7919486910125,60.83522533618525,-12.660790063513327,-188.79310344827587,30.208051308987493,42.51724137931034,7413.308634757996,0.0029552917,6.810344827586207,219813,255929.37931034484,0.0,62.48275862068966,0.4041057,0.0029552917,3.189655172413793,3054,0.0033115125
70.98525599443055,60.92095960527916,-12.150501115614105,-182.3728813559322,29.014744005569444,42.42372881355932,7583.778848648071,0.002536327,7.11864406779661,229830,256312.40677966102,0.0,62.57627118644068,0.41546628,0.002536327,2.8813559322033897,3113,0.0022754008
67.41884423972685,61.923129219721396,-13.678160477245662,-209.16666666666666,32.58115576027314,41.35,7738.230163097382,0.002543793,8.216666666666667,239915,260573.86666666667,0.0,63.61666666666667,0.42066446,0.002543793,1.7833333333333334,3173,0.0024863845
66.86236639642496,61.520719412630434,-13.603026082064565,-210.33333333333334,33.13763360357504,41.78333333333333,7902.865437269211,0.0026982632,8.033333333333333,249921,258867.2,0.0,63.2,0.419936,0.0026982632,1.9666666666666666,3233,0.0024576548
