entropy,surrgain,entloss,AttC,Fce,EpisodesSoFar,TtR,TimestepsSoFar,AttNC,TimeElapsed,meankl,MtR,optimgain
1.4122206,5.3056334e-05,0.0,6.926829268292683,0.18084302689180737,41,433.6585365853659,9814,3.073170731707317,85.2007532119751,0.001655636,25.32204527400332,5.3056334e-05
1.3712807,0.00021210327,0.0,7.659090909090909,0.17457591469856804,85,421.3636363636364,19952,2.340909090909091,166.25910258293152,0.005174314,24.16196337923801,0.00021210327
1.3673087,0.0014882361,0.0,6.8936170212765955,0.2263687804981621,132,524.0425531914893,29998,3.106382978723404,252.42569518089294,0.0018530831,30.96467268399554,0.0014882361
1.3745873,0.00044281373,0.0,7.735849056603773,0.20589504709791032,185,428.8679245283019,39993,2.2641509433962264,336.6545910835266,0.0032973157,25.606009839764194,0.00044281373
1.3791531,0.0008966751,0.0,6.5,0.19423733938019655,227,474.2857142857143,49882,3.5,427.9923188686371,0.008036532,27.43206388452351,0.0008966751
1.3788303,0.0014403467,0.0,7.439024390243903,0.1587967479674797,268,393.1707317073171,59897,2.5609756097560976,522.0763907432556,0.00929104,22.415329933249083,0.0014403467
1.3720713,0.0012504703,0.0,6.15,0.14330000000000004,308,358.25,69897,3.85,611.2840368747711,0.0015171637,20.5213640316391,0.0012504703
1.3666348,0.0014734912,0.0,5.925,0.13400000000000004,348,335.0,79897,4.075,695.8907392024994,0.004448061,19.237181980800294,0.0014734912
1.3622935,0.0012513936,0.0,4.7,0.10790000000000004,388,269.75,89897,5.3,786.8561899662018,0.0017652707,15.557157314668553,0.0012513936
1.3459,0.0009535117,0.0,4.5,0.10080000000000007,428,252.0,99897,5.5,876.4391458034515,0.00196857,14.251273530724323,0.0009535117
1.3218992,0.00024301438,0.0,4.925,0.09600000000000006,468,240.0,109897,5.075,962.5286486148834,0.0007614795,13.5247798341682,0.00024301438
1.3743459,0.00022230987,0.0,4.3,0.08160000000000003,508,204.0,119897,5.7,1046.0956406593323,0.0045837197,11.89192430487184,0.00022230987
1.4492178,0.00030103058,0.0,3.925,0.07660000000000004,548,191.5,129897,6.075,1130.8444921970367,0.0075728716,10.768525460358465,0.00030103058
1.4829531,0.00032522582,0.0,4.775,0.09850000000000006,588,246.25,139897,5.225,1208.4476721286774,0.00722229,14.2955329046852,0.00032522582
1.5522975,0.00026232062,0.0,4.35,0.09480000000000006,628,237.0,149897,5.65,1289.4758231639862,0.008378884,13.367585853283884,0.00026232062
1.6242306,0.00015927055,0.0,4.675,0.09400000000000006,668,235.0,159897,5.325,1369.2280766963959,0.005873243,13.292004287675159,0.00015927055
1.6818756,0.00030080354,0.0,4.975,0.10980000000000001,708,274.5,169897,5.025,1449.126403093338,0.007782654,15.802896764158481,0.00030080354
1.6957892,9.04541e-05,0.0,4.725,0.10680000000000005,748,267.0,179897,5.275,1531.3733322620392,0.009892627,15.052838151548745,9.04541e-05
1.7425567,0.0004224507,0.0,5.075,0.11090000000000004,788,277.25,189897,4.925,1608.6876623630524,0.0068049976,15.757736907679199,0.0004224507
1.81298,0.00020094696,0.0,5.853658536585366,0.12092307692307694,829,293.4146341463415,199910,4.146341463414634,1690.1853449344635,0.005381581,16.795728655805842,0.00020094696
1.8644222,0.00015690552,0.0,5.225,0.12030000000000005,869,300.75,209910,4.775,1767.272370815277,0.004589533,16.93490301784736,0.00015690552
1.8714278,0.00023809304,0.0,5.7,0.12810000000000005,909,320.25,219910,4.3,1847.0695126056671,0.006120717,18.265258566044306,0.00023809304
1.8697181,0.00043987244,0.0,6.3,0.15030000000000002,949,375.75,229910,3.7,1923.696611881256,0.008918734,21.465730489864857,0.00043987244
1.8542906,0.00032178924,0.0,5.863636363636363,0.19652251613121177,993,465.90909090909093,239978,4.136363636363637,2003.427945613861,0.0010522637,27.160853459235696,0.00032178924
1.836629,0.00030009553,0.0,7.043478260869565,0.18427449408936084,1039,437.82608695652175,249802,2.9565217391304346,2082.883508682251,0.0021227102,25.63819560151473,0.00030009553
1.8942472,0.00050529785,0.0,7.304347826086956,0.17737531234382806,1085,399.7826086956522,259904,2.6956521739130435,2158.729648590088,0.004625184,23.31385381909298,0.00050529785
1.9013666,0.0017426715,0.0,6.8,0.16350000000000003,1125,408.75,269904,3.2,2237.911738872528,0.010853113,23.31482153634691,0.0017426715
1.9071456,0.00028374404,0.0,5.825,0.1407,1165,351.75,279904,4.175,2313.9464440345764,0.009509499,20.321238672761233,0.00028374404
1.8653907,0.0002793017,0.0,6.25,0.13010000000000002,1205,325.25,289904,3.75,2395.130273103714,0.0021637937,18.316623309221512,0.0002793017
1.8481792,9.118744e-05,0.0,5.146341463414634,0.12051031894934337,1246,296.8292682926829,299917,4.853658536585366,2472.3582742214203,0.011239501,17.110609251021675,9.118744e-05
1.8473008,5.751175e-05,0.0,5.7,0.12600000000000006,1286,315.0,309917,4.3,2551.8959035873413,0.0020876213,18.115239502789805,5.751175e-05
1.8227538,1.9764137e-05,0.0,5.075,0.12360000000000004,1326,309.0,319917,4.925,2630.589903831482,0.0020282064,17.376662058016674,1.9764137e-05
1.7652678,1.5628052e-06,0.0,5.65,0.12210000000000003,1366,305.25,329917,4.35,2706.503787279129,0.007506034,17.353014431448038,1.5628052e-06
1.7486917,6.106861e-05,0.0,5.025,0.12040000000000002,1406,301.0,339917,4.975,2785.61279129982,0.0029450976,17.121208157185187,6.106861e-05
1.759601,5.2790223e-05,0.0,4.825,0.11390000000000004,1446,284.75,349917,5.175,2861.547339439392,0.0075507457,16.118038271923215,5.2790223e-05
