MtR,entropy,entloss,TimeElapsed,AttC,Fce,TimestepsSoFar,optimgain,meankl,TtR,EpisodesSoFar,surrgain,AttNC
12.031578549786712,1.4139781,0.0,103.29450273513794,2.357142857142857,0.12216172034491019,9763,0.00035218202,0.004695984,61.84285714285714,70,0.00035218202,0.6428571428571429
10.169937911538142,1.4343234,0.0,233.93434166908264,2.606382978723404,0.1389161294638576,19879,0.0008305758,0.005891956,49.755319148936174,164,0.0008305758,0.39361702127659576
12.822047081927595,1.4318497,0.0,381.9207065105438,2.25,0.12568702155544254,29992,0.00057192077,0.006515258,65.20833333333333,236,0.00057192077,0.75
17.39561157806491,1.428545,0.0,506.09613060951233,1.7608695652173914,0.15157048748353094,39783,0.0005119125,0.0052099316,90.65217391304348,282,0.0005119125,1.2391304347826086
15.571584613432622,1.4353397,0.0,636.8226251602173,2.1016949152542375,0.1288532634808899,49925,0.00044720664,0.0016115066,81.2542372881356,341,0.00044720664,0.8983050847457628
13.07111517639467,1.4276495,0.0,772.9697105884552,2.318840579710145,0.12028822054914352,59836,0.000885317,0.0075526573,67.0,410,0.000885317,0.6811594202898551
17.209782522255942,1.4351044,0.0,909.0900228023529,1.816326530612245,0.15836342311219156,69959,0.00060026604,0.0013380646,89.93877551020408,459,0.00060026604,1.183673469387755
14.164730453343392,1.4335175,0.0,1050.6539800167084,2.0677966101694913,0.12873184372801647,79941,0.0008522542,0.0018348971,73.67796610169492,518,0.0008522542,0.9322033898305084
15.0695759943457,1.4321312,0.0,1188.3091979026794,1.7346938775510203,0.11785407052357039,89775,0.0006236501,0.0008877979,80.51020408163265,567,0.0006236501,1.2653061224489797
15.675621183692163,1.4328156,0.0,1339.8982079029083,1.8627450980392157,0.11127365728900258,99842,0.00066431426,0.0017390517,82.29411764705883,618,0.00066431426,1.1372549019607843
19.308522735869914,1.4336374,0.0,1459.3725490570068,1.5121951219512195,0.13975166297117517,109853,0.00068515475,0.0017824423,101.63414634146342,659,0.00068515475,1.4878048780487805
16.224677959375306,1.4211541,0.0,1607.6653382778168,1.84,0.13376000000000002,119885,0.0008688395,0.0022202858,85.38,709,0.0008688395,1.16
18.954198656506943,1.43022,0.0,1759.1347255706787,1.7777777777777777,0.15498743961352662,129920,0.0005115596,0.0014940354,97.66666666666667,754,0.0005115596,1.2222222222222223
14.699483091781667,1.4196806,0.0,1886.1719300746918,1.9285714285714286,0.12770986693797753,139933,0.0012443176,0.0028727693,77.19642857142857,810,0.0012443176,1.0714285714285714
17.05576363496526,1.4166635,0.0,2022.4654309749603,1.6521739130434783,0.1320860649647835,149792,0.0010727269,0.004445923,89.67391304347827,856,0.0010727269,1.3478260869565217
16.95391168316452,1.4058474,0.0,2173.1261150836945,1.8823529411764706,0.15625154566331037,159863,0.0009365451,0.0038475408,87.94117647058823,907,0.0009365451,1.1176470588235294
17.953288291509345,1.4141095,0.0,2305.915454149246,1.7272727272727273,0.1293811585240157,169772,0.0008988983,0.0027004255,94.1590909090909,951,0.0008988983,1.2727272727272727
18.64665435408181,1.4182245,0.0,2451.4138371944427,1.5333333333333334,0.13306388018112159,179829,0.0008026357,0.00237063,97.33333333333333,996,0.0008026357,1.4666666666666666
17.708695107270202,1.4138067,0.0,2570.0477232933044,1.673913043478261,0.12713570487483533,189871,0.00066038285,0.0043878467,91.8913043478261,1042,0.00066038285,1.326086956521739
16.413415483974287,1.4025766,0.0,2731.141384124756,1.6382978723404256,0.12620357342924485,199996,0.00064758706,0.0028979296,86.48936170212765,1089,0.00064758706,1.3617021276595744
16.998710829848335,1.3990573,0.0,2879.126781463623,1.4444444444444444,0.13063188405797105,209794,0.0007800547,0.002401637,89.46666666666667,1134,0.0007800547,1.5555555555555556
15.850083746090228,1.396363,0.0,3016.3677616119385,1.4375,0.13780156831472617,219884,0.0008628159,0.0021261603,82.9375,1182,0.0008628159,1.5625
16.101481456400048,1.3916113,0.0,3144.7978854179382,1.510204081632653,0.12481908131321855,229914,0.0007049342,0.007136725,83.81632653061224,1231,0.0007049342,1.489795918367347
18.13551330497272,1.3808564,0.0,3279.4311032295227,1.2325581395348837,0.1365684754521964,239935,0.00093079836,0.0061666006,94.81395348837209,1274,0.00093079836,1.7674418604651163
15.921462147609903,1.3849978,0.0,3418.7040536403656,1.3555555555555556,0.1124649572649573,249980,0.0011751567,0.006289806,81.93333333333334,1319,0.0011751567,1.6444444444444444
15.633818717001006,1.3974245,0.0,3553.5391232967377,1.3777777777777778,0.11233015873015871,259754,0.0005877996,0.0011821595,81.93333333333334,1364,0.0005877996,1.6222222222222222
15.47788594985079,1.3985958,0.0,3688.670211315155,1.3829787234042554,0.11649505800078631,269979,0.0003937134,0.0066127605,81.38297872340425,1411,0.0003937134,1.6170212765957446
15.144647309534516,1.4009256,0.0,3837.7467501163483,1.391304347826087,0.1205879917184265,279756,0.0011622295,0.0064684143,80.54347826086956,1457,0.0011622295,1.608695652173913
15.115900397199205,1.3843995,0.0,3980.797582626343,1.1956521739130435,0.15375865128660157,289834,0.0008079193,0.00347178,79.3695652173913,1503,0.0008079193,1.8043478260869565
16.686246047658887,1.3650384,0.0,4132.0129244327545,1.048780487804878,0.12229810298102983,299861,0.0010533275,0.0013282603,88.09756097560975,1544,0.0010533275,1.951219512195122
15.384540801275348,1.3510767,0.0,4277.3233342170715,1.1363636363636365,0.11898989898989902,309875,0.0006512388,0.0033426227,79.97727272727273,1588,0.0006512388,1.8636363636363635
