AttNC,AttC,EpisodesSoFar,entloss,MtR,optimgain,Fce,TimeElapsed,entropy,TtR,TimestepsSoFar,surrgain,meankl
1.2127659574468086,1.7872340425531914,3541,0.0,18.010450513512392,0.00064489135,0.13835138330369262,3555.1375641822815,1.3653958,92.36170212765957,699906,0.00064489135,0.0047621196
1.3555555555555556,1.6444444444444444,3586,0.0,18.342979671950015,0.00043332012,0.15488143575627478,3608.622133255005,1.3975836,95.33333333333333,709942,0.00043332012,0.0037758292
1.1224489795918366,1.8775510204081634,3635,0.0,17.600486051027303,0.00062323915,0.14499418179574416,3660.321403503418,1.4434906,89.81632653061224,719819,0.00062323915,0.0044159344
0.8928571428571429,2.107142857142857,3691,0.0,15.89907010480158,0.0006848251,0.1382321010070068,3708.506847143173,1.4680182,81.96428571428571,729974,0.0006848251,0.005479692
1.0384615384615385,1.9615384615384615,3743,0.0,16.86479924031354,0.00048823014,0.1324826261678262,3762.3014113903046,1.4383552,85.96153846153847,739938,0.00048823014,0.008127756
1.6428571428571428,1.3571428571428572,3785,0.0,19.02799813742287,0.0004341746,0.13240441683919943,3814.8123347759247,1.4420139,98.92857142857143,749771,0.0004341746,0.007084445
1.1111111111111112,1.8888888888888888,3839,0.0,16.400104424999782,0.00024744874,0.13189896460543216,3866.987364053726,1.4073932,86.16666666666667,759890,0.00024744874,0.0038442255
0.8620689655172413,2.1379310344827585,3897,0.0,15.65918551783602,0.00062775065,0.1365193964349553,3915.676335811615,1.4301403,80.01724137931035,769869,0.00062775065,0.0029573918
1.0175438596491229,1.9824561403508771,3954,0.0,16.063761771962433,0.00086811575,0.1745479767447806,3968.2572338581085,1.4371693,83.0,779865,0.00086811575,0.007997018
1.511111111111111,1.488888888888889,3999,0.0,18.137667729107417,0.00027024944,0.13032156862745098,4019.9826023578644,1.4378669,95.4,789938,0.00027024944,0.002774882
1.5714285714285714,1.4285714285714286,4041,0.0,18.51461975011585,0.00034474538,0.1321904761904762,4070.0203309059143,1.4397066,97.21428571428571,799968,0.00034474538,0.0030102208
1.5813953488372092,1.4186046511627908,4084,0.0,17.03178296894724,0.00037865943,0.12104472271914136,4119.1986882686615,1.4333606,89.65116279069767,809764,0.00037865943,0.0028378342
1.813953488372093,1.186046511627907,4127,0.0,15.730090911247148,0.00037546846,0.11041860465116284,4170.265157699585,1.4131329,82.81395348837209,819769,0.00037546846,0.0074941516
1.5813953488372092,1.4186046511627908,4170,0.0,16.141349768943403,0.00023647054,0.11348837209302327,4221.505468845367,1.3572966,85.11627906976744,829784,0.00023647054,0.008306783
1.8372093023255813,1.1627906976744187,4213,0.0,14.302084201213757,0.00037686666,0.09906976744186052,4272.353271961212,1.3830575,74.30232558139535,839791,0.00037686666,0.0053071636
1.6341463414634145,1.3658536585365855,4254,0.0,17.798215759832313,0.0004799258,0.12370731707317076,4318.315639972687,1.4463654,92.78048780487805,849798,0.0004799258,0.004494379
1.7173913043478262,1.2826086956521738,4300,0.0,16.4199284233917,0.00042446086,0.12481987577639754,4371.5081923007965,1.4067374,85.8913043478261,859824,0.00042446086,0.0029818893
1.7380952380952381,1.2619047619047619,4342,0.0,15.306228925843087,0.0012643115,0.11028571428571432,4422.831500530243,1.4396949,82.71428571428571,869838,0.0012643115,0.009654322
1.8095238095238095,1.1904761904761905,4384,0.0,16.213533880918565,0.000636322,0.12050793650793652,4476.476190090179,1.4772841,84.5,879852,0.000636322,0.0065346733
1.4285714285714286,1.5714285714285714,4433,0.0,14.65768104689116,0.00055384624,0.10952769679300291,4525.001550912857,1.5080544,77.0204081632653,889891,0.00055384624,0.0037215343
1.5348837209302326,1.4651162790697674,4476,0.0,18.163127015579587,0.0014276432,0.1366985654459592,4573.79208779335,1.5328802,96.06976744186046,899944,0.0014276432,0.00797793
1.1568627450980393,1.8431372549019607,4527,0.0,16.583505083897986,0.00045892684,0.1742752314867363,4627.822585344315,1.5495197,86.05882352941177,909830,0.00045892684,0.004528835
1.3043478260869565,1.6956521739130435,4573,0.0,17.865589023526642,0.0004379959,0.13417911755632594,4681.662947893143,1.5741388,93.65217391304348,919954,0.0004379959,0.003812819
1.1020408163265305,1.8979591836734695,4622,0.0,17.383104939292096,0.00019266891,0.1712124794168538,4729.0879418849945,1.5931399,89.75510204081633,929916,0.00019266891,0.0023860896
0.8059701492537313,2.1940298507462686,4689,0.0,12.824890722873187,0.0010144317,0.12786468611660506,4778.47249174118,1.5953391,67.16417910447761,939901,0.0010144317,0.0083809635
1.12,1.88,4739,0.0,15.657834057007847,0.00042255453,0.1410899290780142,4833.90415930748,1.5738844,81.42,949884,0.00042255453,0.0048146765
1.6744186046511629,1.3255813953488371,4782,0.0,18.579741788577365,0.00035307364,0.13474640088593579,4886.183758974075,1.5845922,97.25581395348837,959911,0.00035307364,0.0073298123
0.9166666666666666,2.0833333333333335,4842,0.0,12.846931632043054,0.000658994,0.13979152354484356,4934.939969301224,1.55421,67.6,969946,0.000658994,0.0034316499
1.5909090909090908,1.4090909090909092,4886,0.0,17.15358071205177,0.0006714783,0.1434545454545455,4984.156790018082,1.5555763,90.61363636363636,979950,0.0006714783,0.008561991
1.7674418604651163,1.2325581395348837,4929,0.0,16.883887041662096,0.0002449234,0.1270077519379845,5036.242530345917,1.5419027,89.51162790697674,989955,0.0002449234,0.0026724346
1.8333333333333333,1.1666666666666667,4971,0.0,16.688448306382128,0.00021888835,0.11676190476190476,5090.708159685135,1.5563858,87.57142857142857,999965,0.00021888835,0.007567397
1.880952380952381,1.119047619047619,5013,0.0,15.958381939471632,7.169749e-05,0.11247619047619051,5136.980908632278,1.5544351,84.35714285714286,1009969,7.169749e-05,0.0020508885
1.6428571428571428,1.3571428571428572,5055,0.0,16.750924342415225,0.00029748052,0.11428571428571432,5185.345490694046,1.6244807,85.71428571428571,1019977,0.00029748052,0.0050170617
1.6428571428571428,1.3571428571428572,5097,0.0,17.43618126552878,0.00019413656,0.1250695970695971,5238.227290153503,1.6527,92.5,1029991,0.00019413656,0.0021871012
1.744186046511628,1.255813953488372,5140,0.0,16.57022936217869,0.0005644165,0.11581395348837215,5288.622419118881,1.7033324,86.86046511627907,1040000,0.0005644165,0.0083780745
1.5,1.5,5186,0.0,16.48924178180913,0.00066594465,0.14687922705314008,5339.781086683273,1.7048724,86.80434782608695,1049771,0.00066594465,0.010059377
