AttNC,entloss,TtR,TimestepsSoFar,Fce,optimgain,AttC,meankl,MtR,EpisodesSoFar,surrgain,TimeElapsed,entropy
1.975609756097561,0.0,89.48780487804878,1519914,0.11931707317073169,0.0009661936,1.024390243902439,0.005617411,17.07466555865063,7026,0.0009661936,9034.17580461502,1.4997561
1.7272727272727273,0.0,89.38636363636364,1529998,0.1247841464498356,0.0011904745,1.2727272727272727,0.002768631,17.21353611203235,7070,0.0011904745,9098.33432841301,1.5127817
1.5714285714285714,0.0,87.92857142857143,1539817,0.1194065934065934,0.0010444819,1.4285714285714286,0.0031215753,16.93603192439638,7112,0.0010444819,9152.117700099945,1.4815677
1.4901960784313726,0.0,75.88235294117646,1549960,0.12076992288756994,0.00074447837,1.5098039215686274,0.0027818237,14.74443833302891,7163,0.00074447837,9211.970235586166,1.4731
1.7555555555555555,0.0,81.73333333333333,1559973,0.11629629629629634,0.0004746343,1.2444444444444445,0.004773046,15.666590818753441,7208,0.0004746343,9273.202353715897,1.4670063
1.4680851063829787,0.0,80.74468085106383,1569885,0.14062963330409245,0.0005638743,1.5319148936170213,0.0006550687,15.262114816537855,7255,0.0005638743,9336.090004444122,1.4721317
1.4,0.0,91.33333333333333,1579980,0.12877696924303098,0.0008426951,1.6,0.0017674617,17.861069241910673,7300,0.0008426951,9391.707523345947,1.4493058
1.608695652173913,0.0,80.41304347826087,1589793,0.13413448336560466,5.953471e-05,1.391304347826087,0.0064431275,15.357540965971838,7346,5.953471e-05,9453.840280294418,1.4175253
1.52,0.0,74.22,1599861,0.10825014985014986,0.00090858055,1.48,0.004303807,14.075622439805915,7396,0.00090858055,9512.504444360733,1.4081942
1.697674418604651,0.0,86.02325581395348,1609870,0.11469767441860466,0.001710525,1.302325581395349,0.0030789403,16.256182522779078,7439,0.001710525,9579.63905453682,1.4090607
1.6666666666666667,0.0,73.25,1619982,0.11060998877665545,0.0009509674,1.3333333333333333,0.0024406682,13.984915364348794,7487,0.0009509674,9630.641999006271,1.4012815
1.5208333333333333,0.0,73.5625,1629756,0.12689995750747043,0.0019201657,1.4791666666666667,0.003937938,13.95803287693613,7535,0.0019201657,9692.367913722992,1.3834198
1.7674418604651163,0.0,79.81395348837209,1639781,0.11287707641196018,0.0006719513,1.2325581395348837,0.0070811776,15.229467937838946,7578,0.0006719513,9761.64944434166,1.3816286
1.4166666666666667,0.0,81.25,1649818,0.1189820371274794,0.00087624614,1.5833333333333333,0.0041994206,15.843825975426212,7626,0.00087624614,9814.618373394012,1.3512341
1.5555555555555556,0.0,78.66666666666667,1659893,0.10997762017336489,0.0004348831,1.4444444444444444,0.0033059444,15.151090753725763,7671,0.0004348831,9879.267693281174,1.3397315
1.7234042553191489,0.0,74.42553191489361,1669982,0.10820938872002703,0.0009207892,1.2765957446808511,0.0020736803,14.074167053935286,7718,0.0009207892,9936.334996461868,1.3445557
1.8048780487804879,0.0,87.8048780487805,1679770,0.12679924953095686,0.00064752705,1.1951219512195121,0.0028727895,16.930690829183387,7759,0.00064752705,9990.79303097725,1.3465698
1.6444444444444444,0.0,87.4,1689835,0.12710970017636683,0.0011673538,1.3555555555555556,0.0029786695,16.473877015674177,7804,0.0011673538,10056.686478614807,1.3389776
1.8863636363636365,0.0,77.72727272727273,1699806,0.11214593646651067,0.0014179342,1.1136363636363635,0.0049865716,14.769071912537173,7848,0.0014179342,10115.334315538406,1.3436278
1.7727272727272727,0.0,86.72727272727273,1709858,0.12282002208317998,0.00089575094,1.2272727272727273,0.0036784918,16.756856264052658,7892,0.00089575094,10169.660806894302,1.3280028
