EpisodesSoFar,entloss,TimeElapsed,MtR,AttC,Fce,TtR,entropy,AttNC,surrgain,meankl,TimestepsSoFar,optimgain
125,0.0,31.19119358062744,6.59989023635758,0.704,0.09803737905255182,11.232,1.4220756,0.296,0.0009596237,0.0007951888,9854,0.0009596237
264,0.0,62.863152742385864,6.065611937719747,0.7338129496402878,0.09356072931229083,10.136690647482014,1.4158901,0.26618705035971224,0.0031970246,0.007920709,19832,0.0031970246
343,0.0,93.48936152458191,10.375530971364304,0.5063291139240507,0.10705073928305497,17.79746835443038,1.3935684,0.4936708860759494,0.0014491928,0.0047304477,29756,0.0014491928
409,0.0,125.3027856349945,12.286126135166462,0.3939393939393939,0.15996465422271863,21.045454545454547,1.3654212,0.6060606060606061,0.0016838913,0.0055468306,39858,0.0016838913
474,0.0,157.19604635238647,12.031326482542893,0.38461538461538464,0.11250793650793652,21.076923076923077,1.3555306,0.6153846153846154,0.0010837669,0.0030850063,49909,0.0010837669
542,0.0,187.26564121246338,11.692076874529956,0.4117647058823529,0.0986459553518377,20.485294117647058,1.3328708,0.5882352941176471,0.0013975815,0.0047676545,59999,0.0013975815
612,0.0,218.78306531906128,10.652049093393233,0.44285714285714284,0.08093951762523192,18.785714285714285,1.3143129,0.5571428571428572,0.001731636,0.0043992605,69894,0.001731636
689,0.0,248.57614874839783,10.678285445223445,0.4805194805194805,0.11073216507802972,18.506493506493506,1.2590746,0.5194805194805194,0.0015832275,0.004852692,79995,0.0015832275
754,0.0,279.91918206214905,11.555454558265026,0.4,0.09433964043619214,19.923076923076923,1.2282106,0.6,0.0016515289,0.003385085,89843,0.0016515289
815,0.0,310.4528419971466,12.511365984532606,0.3442622950819672,0.09723114044425522,22.065573770491802,1.1868907,0.6557377049180327,0.0016058296,0.0044179056,99906,0.0016058296
875,0.0,340.9431140422821,12.218636846726696,0.3333333333333333,0.09523898635477586,21.383333333333333,1.1831664,0.6666666666666666,0.0017202484,0.0067571504,109958,0.0017202484
933,0.0,372.44415974617004,12.899391300585574,0.3103448275862069,0.09239408866995077,22.5,1.1826769,0.6896551724137931,0.0022553871,0.0075768693,120000,0.0022553871
989,0.0,402.88821744918823,14.23119095029078,0.30357142857142855,0.10170515574650915,24.625,1.1923817,0.6964285714285714,0.0015130234,0.002867778,129829,0.0015130234
1048,0.0,434.8534879684448,13.024197866027688,0.3389830508474576,0.09575590511183733,22.677966101694917,1.1400148,0.6610169491525424,0.0025748454,0.005808304,139807,0.0025748454
1101,0.0,465.6810038089752,15.022080629557271,0.24528301886792453,0.1153344768439108,26.71698113207547,1.1249781,0.7547169811320755,0.0013567734,0.0024856522,149846,0.0013567734
