entloss,TtR,meankl,MpbtA,AttNC,Tmt,MpbtN,entropy,EpisodesSoFar,TimeElapsed,AttC,MtR,Tmc,surrgain,optimgain,TimestepsSoFar,Ptt,Tbt
0.0,-228.22434017595307,0.008391626,5.147458821124162,0.0,80.22140762463343,94.85254117887578,0.6847349,682,1570.9707643985748,3.0,-71.09419957111903,23.769794721407624,0.009401178,0.009401178,9992,78.07634562655892,328586.8856304985
0.0,-226.640625,0.008081298,6.1861403731382385,0.0,80.55208333333333,93.81385962686176,0.66159445,1258,2879.4958589076996,3.0,-69.6845414507873,23.44097222222222,0.005860965,0.005860965,19988,78.38224619325307,329941.3333333333
0.0,-225.20523138833,0.0093198465,7.412532339849884,0.0,81.102615694165,92.58746766015007,0.6212459,1755,4032.0827538967133,3.0,-68.33991525752262,22.89134808853119,0.010424192,0.010424192,29985,78.89556523940522,332196.3138832998
0.0,-223.00255102040816,0.009395636,8.45703399674913,0.0,81.22448979591837,91.54296600325095,0.5697745,2147,4919.689646244049,3.0,-66.00794429327179,22.760204081632654,0.010300958,0.010300958,39992,79.01493024561098,332695.51020408166
0.0,-218.90513833992094,0.008886419,10.352457637264383,0.0,81.41106719367589,89.6475423627356,0.5236374,2400,5501.608675479889,3.0,-61.36801390636292,22.561264822134387,0.009453561,0.009453561,49990,79.1990887672503,333459.73122529645
0.0,-210.2054794520548,0.008521908,13.860125546365357,0.00684931506849315,81.34246575342466,86.1398744536346,0.4800405,2546,5829.117965459824,2.993150684931507,-53.26960637016427,22.643835616438356,0.009394148,0.009394148,59972,79.12475150456639,333178.7397260274
0.0,-191.43478260869566,0.0067709987,21.685804666060324,0.10144927536231885,81.46376811594203,78.31419533393968,0.4597923,2615,5992.835476636887,2.898550724637681,-41.398728531007144,22.52173913043478,0.0061252993,0.0061252993,69834,79.24002720788864,333675.59420289856
0.0,-182.0,0.006652775,24.730454017157804,0.35294117647058826,80.54901960784314,75.2695459828422,0.40695533,2666,6121.452236413956,2.6470588235294117,-35.49148509240148,23.431372549019606,0.004496942,0.004496942,79862,78.39400128357218,329928.7843137255
0.0,-181.95,0.0038431122,25.431079397369743,1.225,81.325,74.56892060263026,0.38796386,2706,6228.4630246162415,1.775,-33.825913079962774,22.6,0.0050484943,0.0050484943,89747,79.16086470678131,333107.2
0.0,-161.07142857142858,0.003499353,32.89381117429995,1.119047619047619,80.02380952380952,67.10618882570006,0.3476417,2748,6340.393178224564,1.880952380952381,-31.27524591893631,23.976190476190474,0.0037832393,0.0037832393,99874,77.89199848816334,327777.5238095238
0.0,-155.5,0.0034228512,34.59863403485085,1.2380952380952381,79.21428571428571,65.40136596514913,0.35560724,2790,6454.687577724457,1.7619047619047619,-30.209092377630938,24.785714285714285,0.0040616067,0.0040616067,109950,77.13554201090803,324461.71428571426
0.0,-155.72093023255815,0.0030469538,34.63527653253533,1.186046511627907,79.37209302325581,65.36472346746464,0.31801283,2833,6566.3990046978,1.813953488372093,-31.02836841850049,24.6046511627907,0.0033236207,0.0033236207,119872,77.30161262457491,325108.0930232558
0.0,-149.25,0.0024907568,36.13200850163274,1.375,77.825,63.86799149836726,0.33438104,2873,6681.172478437424,1.625,-29.131393472282873,26.15,0.0028251933,0.0028251933,129808,75.8575283938259,318771.2
0.0,-149.85714285714286,0.0057381764,36.58243029465285,1.8095238095238095,78.69047619047619,63.41756970534712,0.3662125,2915,6796.479386329651,1.1904761904761905,-30.21279502044143,25.30952380952381,0.004825584,0.004825584,139920,76.64754306281903,322316.1904761905
0.0,-145.67441860465115,0.0033865694,37.98768498852624,1.2790697674418605,78.20930232558139,62.012315011473746,0.35580802,2958,6909.603635072708,1.7209302325581395,-29.2701307136602,25.790697674418606,0.0033912892,0.0033912892,149923,76.19792106498342,320345.3023255814
0.0,-148.0,0.0043769577,36.692354408847905,1.3095238095238095,77.85714285714286,63.30764559115212,0.3547737,3000,7023.686316251755,1.6904761904761905,-29.646173144539052,26.142857142857142,0.0040333695,0.0040333695,159844,75.87036363114632,318902.85714285716
0.0,-139.1860465116279,0.0028581377,40.21250018151877,1.4186046511627908,77.6046511627907,59.78749981848122,0.3368115,3043,7140.250648021698,1.5813953488372092,-28.678103123298797,26.3953488372093,0.0033812916,0.0033812916,169885,75.63479211682028,317868.6511627907
0.0,-143.3181818181818,0.0021157262,38.69910639867499,1.5454545454545454,77.8409090909091,61.30089360132499,0.34782252,3087,7255.617145776749,1.4545454545454546,-29.458025426538118,26.15909090909091,0.003036441,0.003036441,179808,75.85843724433386,318836.36363636365
0.0,-140.38636363636363,0.0041838633,39.55081352096752,1.7045454545454546,77.36363636363636,60.4491864790325,0.354412,3131,7368.1566343307495,1.2954545454545454,-28.693236973105297,26.636363636363637,0.0041840496,0.0041840496,189920,75.41113801741272,316881.45454545453
0.0,-140.8,0.0035406621,39.51298953123596,1.2222222222222223,77.5111111111111,60.487010468764026,0.35860565,3176,7484.700611829758,1.7777777777777777,-28.10767120580531,26.488888888888887,0.0042191255,0.0042191255,199972,75.54720612027468,317485.5111111111
0.0,-141.0,0.0037897537,39.068044444113156,1.0454545454545454,77.1590909090909,60.93195555588682,0.34887496,3220,7597.988348245621,1.9545454545454546,-28.28126911934073,26.84090909090909,0.0038750651,0.0038750651,209951,75.21872192269787,316043.63636363635
0.0,-135.0681818181818,0.0035797346,41.63210647196413,1.4545454545454546,77.1590909090909,58.367893528035864,0.34443447,3264,7713.777858495712,1.5454545454545454,-27.405894879834513,26.84090909090909,0.0037731908,0.0037731908,219798,75.21994834882962,316043.63636363635
