meankl,AttNC,surrgain,AttC,TtR,TimeElapsed,TimestepsSoFar,Fce,MtR,entropy,EpisodesSoFar,entloss,optimgain
0.0009805035,2.86046511627907,0.00013411377,7.1395348837209305,386.27906976744185,107.84433126449585,9870,0.1616640826873385,22.09960272961233,1.4414756,43,0.0,0.00013411377
0.0064229467,2.933333333333333,0.0004256717,7.066666666666666,413.77777777777777,206.7938356399536,19918,0.17799240096505306,24.325957801462494,1.4277797,88,0.0,0.0004256717
0.004447893,3.2439024390243905,0.00021710708,6.7560975609756095,395.8536585365854,309.14748072624207,29933,0.15986991869918696,22.73937549820192,1.4368231,129,0.0,0.00021710708
0.0012231364,2.6744186046511627,5.7750854e-05,7.325581395348837,386.51162790697674,409.16783905029297,39988,0.1622843434643827,22.390693848888642,1.4703505,172,0.0,5.7750854e-05
0.007480898,3.372093023255814,0.00023678849,6.627906976744186,401.16279069767444,502.7917492389679,49860,0.1674118009175163,23.180921553690364,1.4682183,215,0.0,0.00023678849
0.0055751605,3.75,0.00023020264,6.25,402.25,605.3972592353821,59860,0.1609,22.89640017388786,1.476576,255,0.0,0.00023020264
0.0035532343,2.707317073170732,8.258972e-05,7.2926829268292686,405.1219512195122,702.9985671043396,69867,0.16543554006968642,23.335644718035162,1.5175078,296,0.0,8.258972e-05
0.0063913185,2.511111111111111,8.742714e-05,7.488888888888889,389.1111111111111,800.938328742981,79863,0.16893930883234448,22.695280913141158,1.5368644,341,0.0,8.742714e-05
0.00057157676,3.5434782608695654,0.00029939148,6.456521739130435,565.2173913043479,910.5356543064117,89908,0.24259784195492226,33.402555995997275,1.5332731,387,0.0,0.00029939148
0.006851868,3.0,0.00024425934,7.0,461.3333333333333,1012.2053482532501,99823,0.19646458996255656,27.02803515014157,1.5529778,432,0.0,0.00024425934
0.003586137,3.642857142857143,0.00018767457,6.357142857142857,462.6190476190476,1111.8393399715424,109935,0.1903004248709397,26.956286951509735,1.5522565,474,0.0,0.00018767457
0.004797991,3.119047619047619,0.0014057824,6.880952380952381,379.04761904761904,1213.480176448822,119973,0.15676190476190474,21.77714493255222,1.542642,516,0.0,0.0014057824
0.0012079227,4.175,0.0010691559,5.825,334.25,1316.329240322113,129973,0.13369999999999999,19.10923832987464,1.5348606,556,0.0,0.0010691559
0.0015125391,4.725,0.0011037003,5.275,309.5,1414.1887290477753,139973,0.12380000000000006,17.384754565284243,1.5239364,596,0.0,0.0011037003
0.0016371481,4.95,0.00073142943,5.05,274.0,1523.4990408420563,149973,0.10960000000000006,15.430102381359669,1.5034305,636,0.0,0.00073142943
0.00055109285,5.325,0.00019235199,4.675,245.5,1622.6270081996918,159973,0.09820000000000005,14.028448842435676,1.4846603,676,0.0,0.00019235199
0.009260365,5.2,5.82576e-05,4.8,247.75,1723.8367838859558,169973,0.09910000000000005,14.344464254727237,1.461985,716,0.0,5.82576e-05
0.002602453,5.5,0.00010203339,4.5,245.0,1830.1358222961426,179973,0.09800000000000006,14.240328736215318,1.4675184,756,0.0,0.00010203339
0.005121728,5.55,0.00012194168,4.45,235.5,1928.2950966358185,189973,0.09420000000000005,13.516920492834739,1.5278716,796,0.0,0.00012194168
0.0023822912,5.125,0.00015214112,4.875,235.0,2027.9803009033203,199973,0.09400000000000006,13.43649326719073,1.573893,836,0.0,0.00015214112
0.0020693198,5.325,2.2517128e-05,4.675,256.5,2135.8903892040253,209973,0.10260000000000005,14.835137816174859,1.5970458,876,0.0,2.2517128e-05
0.006069962,4.95,0.00012677627,5.05,266.75,2230.7484476566315,219973,0.10670000000000006,15.329826124062862,1.6619872,916,0.0,0.00012677627
0.0036812131,5.475,0.00015307136,4.525,260.75,2326.2719175815582,229973,0.10430000000000003,14.778715226277559,1.7159863,956,0.0,0.00015307136
0.0056860936,4.7,0.00036440094,5.3,289.75,2422.421179294586,239973,0.11590000000000003,16.418431500013266,1.7674563,996,0.0,0.00036440094
0.009046399,4.325,0.0007529254,5.675,332.25,2519.0426197052,249973,0.13290000000000002,18.943098997041965,1.7744119,1036,0.0,0.0007529254
0.0065782713,3.825,0.00047424622,6.175,402.75,2617.223156452179,259973,0.16110000000000002,22.971556873835567,1.7665566,1076,0.0,0.00047424622
0.0032884881,2.9285714285714284,0.0005068222,7.071428571428571,446.6666666666667,2716.9063313007355,269791,0.1841697147831753,26.306549283019518,1.7174073,1118,0.0,0.0005068222
0.0058469744,2.7857142857142856,5.769989e-05,7.214285714285714,437.6190476190476,2808.3511984348297,279939,0.17903196466832827,25.394800918150363,1.6698025,1160,0.0,5.769989e-05
0.0028258741,2.660377358490566,0.00082616485,7.339622641509434,440.37735849056605,2910.5731716156006,289979,0.20381811594911325,25.779695306395165,1.659105,1213,0.0,0.00082616485
0.005433695,2.8048780487804876,0.0006249725,7.195121951219512,454.6341463414634,3009.079298019409,299825,0.18615994878425368,26.142436594103557,1.713135,1254,0.0,0.0006249725
0.006432992,3.825,0.002541018,6.175,418.75,3109.86483502388,309825,0.1675,24.06061765512775,1.7280272,1294,0.0,0.002541018
0.0119991,4.4,0.0037014654,5.6,357.5,3208.793272256851,319825,0.14300000000000004,20.333757608736214,1.728071,1334,0.0,0.0037014654
0.0087252,4.175,0.00048537797,5.825,288.5,3312.4840688705444,329825,0.11540000000000002,16.49787080778503,1.7104864,1374,0.0,0.00048537797
0.002548975,5.725,0.00011003296,4.275,264.5,3409.2496078014374,339825,0.10580000000000005,15.291640366539701,1.6932372,1414,0.0,0.00011003296
