AttNC,MpbtN,MpbtA,Ptt,entropy,meankl,surrgain,EpisodesSoFar,MtR,Tmt,entloss,Tmc,TtR,AttC,TimestepsSoFar,TimeElapsed,Tbt,optimgain
0.0,94.83675749509361,5.1632425049062896,78.00731818241535,0.68494064,0.008261109,0.009049737,679,-71.00709899629383,80.15463917525773,0.0,23.84536082474227,-227.9955817378498,3.0,9979,1588.2207868099213,328313.40206185565,0.009049737
0.0,93.90088293641124,6.099117063588763,78.38083549124991,0.6613478,0.0082682725,0.007206587,1272,-69.9057493482759,80.55143338954468,0.0,23.443507588532885,-226.84148397976392,3.0,19987,2973.1299242973328,329938.671163575,0.007206587
0.0,92.52532891776825,7.474671082231716,78.66577991639709,0.6211273,0.009064316,0.011036401,1768,-68.05862489917315,80.85483870967742,0.0,23.137096774193548,-224.35282258064515,3.0,29998,4136.531688213348,331181.4193548387,0.011036401
0.0,91.4308080919822,8.569191908017833,79.17644321811596,0.5711019,0.009139613,0.012703596,2144,-65.83093498352977,81.39627659574468,0.0,22.58776595744681,-223.20478723404256,3.0,39989,4995.879140615463,333399.1489361702,0.012703596
0.0,89.25203154079777,10.747968459202207,79.23777806148539,0.51583445,0.008937093,0.012107367,2393,-60.811228640838095,81.46184738955823,0.0,22.522088353413654,-218.04819277108433,3.0,49978,5567.098429918289,333667.7269076305,0.012107367
0.10204081632653061,84.05540224935895,15.944597750641075,78.5018803397883,0.490616,0.0051568276,0.004618848,2491,-47.96774392566925,80.68367346938776,0.0,23.316326530612244,-203.4795918367347,2.8979591836734695,59960,5800.074254751205,330480.32653061225,0.004618848
0.09722222222222222,79.59993175394362,20.400068246056367,78.52703172745406,0.41310993,0.0072951466,0.0062846425,2563,-41.08442919712181,80.70833333333333,0.0,23.291666666666668,-192.66666666666666,2.9027777777777777,69886,5970.735776901245,330581.3333333333,0.0062846425
0.782608695652174,73.61151556050974,26.388484439490234,77.8468884625656,0.3499378,0.005102405,0.002909255,2609,-34.424921155022915,79.97826086956522,0.0,24.02173913043478,-176.47826086956522,2.217391304347826,79817,6093.929238796234,327590.95652173914,0.002909255
1.4285714285714286,72.04783649358924,27.952163506410756,78.5509618532686,0.30602273,0.004134314,0.0032759765,2651,-33.7179643591157,80.71428571428571,0.0,23.261904761904763,-174.78571428571428,1.5714285714285714,89766,6211.095787525177,330605.71428571426,0.0032759765
2.175,71.12803964380245,28.871960356197558,77.75039504019925,0.30004415,0.004954004,0.0034935963,2691,-32.810460172788915,79.875,0.0,24.125,-170.625,0.825,99848,6328.138335227966,327168.0,0.0034935963
0.8979591836734694,70.20491699333716,29.795083006662814,77.60326715077647,0.2932406,0.004924775,0.0037785727,2740,-33.238217538195705,79.71428571428571,0.0,24.285714285714285,-168.0612244897959,2.1020408163265305,109956,6453.562144994736,326509.71428571426,0.0037785727
2.0952380952380953,66.52836071816049,33.471639281839515,77.95392626863521,0.33120248,0.0072738323,0.0070141805,2782,-31.587466168494124,80.07142857142857,0.0,23.904761904761905,-160.0,0.9047619047619048,119989,6568.866459608078,327972.5714285714,0.0070141805
0.9090909090909091,65.82248668474176,34.17751331525824,76.4714760983952,0.3242983,0.003499771,0.0034828808,2826,-30.63899864102423,78.5,0.0,25.5,-155.04545454545453,2.090909090909091,129895,6691.5785965919495,321536.0,0.0034828808
1.2142857142857142,64.59907545009706,35.40092454990291,77.04921255483893,0.37341776,0.0046460344,0.004533467,2868,-29.943217005645597,79.11904761904762,0.0,24.88095238095238,-153.35714285714286,1.7857142857142858,139894,6805.934760570526,324071.61904761905,0.004533467
0.9285714285714286,66.85902210043857,33.14097789956144,77.28789989893919,0.33209258,0.004029655,0.003095823,2910,-30.521963906200227,79.35714285714286,0.0,24.61904761904762,-159.35714285714286,2.0714285714285716,149855,6917.95098233223,325046.85714285716,0.003095823
1.3170731707317074,65.51428700973254,34.485712990267466,76.57090856323437,0.3600138,0.005936998,0.004801426,2951,-29.777306372472058,78.60975609756098,0.0,25.390243902439025,-154.609756097561,1.6829268292682926,159845,7031.854474782944,321985.56097560975,0.004801426
0.7555555555555555,63.75876133062704,36.24123866937295,76.81215971128412,0.35706577,0.003831276,0.0031086807,2996,-29.827382987405645,78.86666666666666,0.0,25.133333333333333,-150.8,2.2444444444444445,169977,7148.1283802986145,323037.86666666664,0.0031086807
0.34,68.3206467249073,31.679353275092712,76.6180406561065,0.33031943,0.0055167954,0.0047277017,3046,-31.921687820848383,78.66,0.0,25.34,-161.46,2.66,179898,7275.1915419101715,322191.36,0.0047277017
0.8604651162790697,62.31091367597185,37.68908632402818,76.30699015383402,0.3475141,0.0040520015,0.0042104237,3089,-29.106216277138486,78.32558139534883,0.0,25.674418604651162,-146.4418604651163,2.13953488372093,189843,7390.593330144882,320821.5813953488,0.0042104237
0.8666666666666667,62.72083028070734,37.279169719292675,76.83926183202054,0.34962946,0.003310743,0.0038745282,3134,-29.866334111608733,78.91111111111111,0.0,25.11111111111111,-148.4,2.1333333333333333,199827,7506.643110275269,323219.9111111111,0.0038745282
1.0444444444444445,60.99047373399863,39.00952626600137,76.31644471386538,0.35104868,0.0022810877,0.0033826751,3179,-28.674914925897877,78.33333333333333,0.0,25.666666666666668,-143.26666666666668,1.9555555555555555,209883,7619.509194135666,320853.3333333333,0.0033826751
0.8666666666666667,60.61788843731268,39.38211156268733,76.62574565836077,0.31484735,0.004337889,0.0034637623,3224,-28.573688033907917,78.66666666666667,0.0,25.333333333333332,-143.2,2.1333333333333333,219987,7735.613125801086,322218.6666666667,0.0034637623
