Tmc,AttC,MpbtN,Ptt,entropy,entloss,TtR,MpbtA,TimeElapsed,AttNC,EpisodesSoFar,TimestepsSoFar,meankl,optimgain,Tbt,MtR,surrgain,Tmt
29.24956063268893,10.0,97.47964997776207,72.96998043107733,0.6842291,0.0,-728.9455184534271,2.520350022237916,1350.2707703113556,0.0,569,9999,0.008891231,0.0032858998,306314.57293497364,-67.1216401294365,0.0032858998,74.78383128295255
30.70186335403727,10.0,96.6264407279038,71.62951152352771,0.6611789,0.0,-709.1097308488613,3.373559272096182,2470.3289201259613,0.0,1052,19992,0.008146745,0.0024306655,300636.22360248445,-64.29241314432666,0.0024306655,73.3975155279503
31.706855791962173,10.0,95.57962402371777,70.70704143071386,0.61835724,0.0,-692.4349881796691,4.420375976282144,3432.2059783935547,0.0,1475,30000,0.009729264,0.0051940763,296771.1773049645,-61.8720516406746,0.0051940763,72.45390070921985
33.351351351351354,10.0,92.39295892641171,69.21875370620735,0.55976135,0.0,-655.5555555555555,7.607041073588304,4203.613420248032,0.0,1808,39988,0.009952185,0.0053066686,290742.1981981982,-56.809401904993344,0.0053066686,70.98198198198199
33.58371040723982,10.0,85.55243388233893,69.00562553426361,0.5136534,0.0,-605.0678733031674,14.447566117661065,4682.2735233306885,0.0,2029,49999,0.007525688,0.0044196155,289852.23529411765,-48.99505581960902,0.0044196155,70.76470588235294
35.75892857142857,9.910714285714286,67.77067181050441,67.0414551738764,0.46410286,0.0,-469.2857142857143,32.229328189495604,4936.586049556732,0.08928571428571429,2141,59889,0.0053251977,0.0037014454,281892.5714285714,-33.32036138792684,0.0037014454,68.82142857142857
39.93150684931507,8.780821917808218,42.342554177759695,63.23211165845753,0.37236476,0.0,-278.7671232876712,57.6574458222403,5118.9892382621765,1.2191780821917808,2214,69947,0.004433769,0.0027340637,266127.7808219178,-18.006242576463766,0.0027340637,64.97260273972603
41.564516129032256,6.435483870967742,33.10740594271628,61.71713298269365,0.3243858,0.0,-210.32258064516128,66.89259405728374,5274.238534927368,3.564516129032258,2276,79853,0.0024456596,0.0026660077,259699.61290322582,-14.33140233912217,0.0026660077,63.403225806451616
43.03225806451613,6.354838709677419,31.575510275623323,60.344717306826,0.35268274,0.0,-195.48387096774192,68.42448972437664,5447.031268119812,3.6451612903225805,2338,89983,0.003046929,0.0023792277,253753.8064516129,-14.034429879714418,0.0023792277,61.95161290322581
41.92307692307692,7.6923076923076925,36.920161847787405,61.38929902367557,0.358711,0.0,-235.53846153846155,63.07983815221259,5613.146461009979,2.3076923076923075,2403,99899,0.0045420714,0.00385009,258300.06153846154,-15.491047364558368,0.00385009,63.06153846153846
