entloss,meankl,TtR,TimeElapsed,Tmt,surrgain,MtR,Ptt,AttNC,AttC,EpisodesSoFar,entropy,MpbtA,optimgain,Tmc,TimestepsSoFar,Tbt,MpbtN
0.0,0.0089147035,-228.24927113702623,1557.590588569641,80.24344023323616,0.0095879575,-71.12860604810642,78.09338066903545,0.0,3.0,686,0.6842795,5.155441543344312,0.0095879575,23.752186588921283,9996,328677.1311953353,94.8445584566557
0.0,0.010577614,-226.92163543441225,2935.8543071746826,80.57921635434413,0.006423166,-69.87388966562077,78.40725895767157,0.0,3.0,1273,0.6553483,6.101804027752899,0.006423166,23.415672913117547,19998,330052.47018739354,93.89819597224718
0.0,0.010123602,-224.90425531914894,4033.070390701294,81.00638297872341,0.0065017086,-67.88362596617098,78.80689444190399,0.0,3.0,1743,0.61057085,7.4278644717225095,0.0065017086,22.985106382978724,29993,331802.1446808511,92.5721355282775
0.0,0.009166714,-223.25484764542935,4843.304770946503,81.45429362880887,0.007336033,-65.48159571647943,79.22856242625717,0.0,3.0,2104,0.5579694,8.609213726115923,0.007336033,22.53185595567867,39979,333636.78670360113,91.39078627388407
0.0,0.00928549,-219.52734375,5416.554816007614,81.65625,0.009566673,-61.51173107378006,79.41557573036101,0.0,3.0,2360,0.49969244,10.36610449701628,0.009566673,22.33203125,49980,334464.0,89.63389550298373
0.0,0.007729187,-206.53125,5718.088353633881,81.1484375,0.00766005,-50.840314678465674,78.95829562252409,0.0,3.0,2488,0.45247287,15.155163548097931,0.00766005,22.8203125,59973,332384.0,84.84483645190205
0.0,0.006303505,-176.25,5857.820505619049,79.80357142857143,0.0034394162,-35.72139468807798,77.69782367769865,0.5178571428571429,2.482142857142857,2544,0.4003164,26.444753037613566,0.0034394162,24.178571428571427,69950,326875.4285714286,73.55524696238645
0.0,0.0052743685,-168.27272727272728,5973.48722410202,80.1590909090909,0.0025137167,-32.75161376924209,78.01505712601177,1.6136363636363635,1.3863636363636365,2588,0.3696674,30.037009382590316,0.0025137167,23.84090909090909,79986,328331.63636363635,69.96299061740969
0.0,0.0064040027,-164.47826086956522,6099.00412774086,79.80434782608695,0.0034743927,-32.85348773575682,77.68622299389538,0.8913043478260869,2.108695652173913,2634,0.34395298,31.387150146695006,0.0034743927,24.195652173913043,89800,326878.60869565216,68.612849853305
0.0,0.009743099,-159.21951219512195,6215.280231714249,79.92682926829268,0.0062490026,-31.253405613633376,77.79846135293567,2.4390243902439024,0.5609756097560976,2675,0.35097858,33.642395805860495,0.0062490026,24.073170731707318,99904,327380.2926829268,66.35760419413951
