surrgain,AttNC,EpisodesSoFar,TimestepsSoFar,MtR,TtR,entropy,TimeElapsed,Fce,meankl,AttC,entloss,optimgain
0.0005147441,0.6197183098591549,71,9887,12.690608834223454,64.01408450704226,1.4095099,61.76961946487427,0.16495404920430143,0.002690593,2.380281690140845,0.0,0.0005147441
0.00069161935,0.9272727272727272,126,19771,15.41982930304486,79.9090909090909,1.3963175,121.68294882774353,0.11920811779118418,0.0045724367,2.0727272727272728,0.0,0.00069161935
0.00076725415,1.0980392156862746,177,29844,16.858752849158485,87.82352941176471,1.4025126,185.59126114845276,0.12233155080213906,0.0013938557,1.9019607843137254,0.0,0.00076725415
0.0006483012,1.08,227,39984,17.25477580256878,90.06,1.39901,247.12667441368103,0.15338116001645413,0.00053426047,1.92,0.0,0.0006483012
0.0011664002,1.0188679245283019,280,49932,15.148022579620521,79.01886792452831,1.4020156,312.0828182697296,0.12390826312199726,0.0017279926,1.9811320754716981,0.0,0.0011664002
0.000860525,1.1458333333333333,328,59769,16.605026726140096,87.875,1.3940549,374.3287172317505,0.14201262626262626,0.0017406255,1.8541666666666667,0.0,0.000860525
0.0008545343,1.558139534883721,371,69784,19.6060264802842,101.37209302325581,1.3733304,441.38921308517456,0.13516279069767442,0.0015168454,1.441860465116279,0.0,0.0008545343
0.0005830409,1.25,415,79930,19.050950028704225,99.0,1.3875282,497.9454393386841,0.13689250419002486,0.00069249247,1.75,0.0,0.0005830409
0.00093326275,1.1568627450980393,466,89858,17.04229712572073,88.82352941176471,1.3819672,562.5693328380585,0.14544629465564665,0.004765985,1.8431372549019607,0.0,0.00093326275
0.0011302492,1.0392156862745099,517,99796,17.930272628619292,88.17647058823529,1.3688508,629.8372671604156,0.1448958303368352,0.004681203,1.9607843137254901,0.0,0.0011302492
0.001075748,1.4222222222222223,562,109865,18.262453428887735,96.06666666666666,1.3553584,683.8122856616974,0.13279107285190497,0.0018535049,1.5777777777777777,0.0,0.001075748
0.001027125,1.511111111111111,607,119928,18.445720486680337,97.66666666666667,1.3542603,751.9715967178345,0.13404520417853755,0.0029398662,1.488888888888889,0.0,0.001027125
0.0011976404,1.1956521739130435,653,129836,19.06163196775425,99.84782608695652,1.3391207,815.7295227050781,0.16696555544058506,0.0057453928,1.8043478260869565,0.0,0.0011976404
0.0010281933,1.6590909090909092,697,139926,19.103471258703635,100.0909090909091,1.3452898,884.5356712341309,0.1356092503987241,0.0017990898,1.3409090909090908,0.0,0.0010281933
0.001236957,1.7674418604651163,740,149818,17.853879556471252,93.97674418604652,1.3586893,949.5134952068329,0.1521323692267605,0.002850355,1.2325581395348837,0.0,0.001236957
0.0016388384,1.6341463414634145,781,159819,20.720441105259493,107.78048780487805,1.3480227,1004.8565011024475,0.14370731707317075,0.0035034143,1.3658536585365855,0.0,0.0016388384
0.0013739853,1.673913043478261,827,169845,17.54838381678926,92.73913043478261,1.3403323,1068.1531085968018,0.12598067632850246,0.002396304,1.326086956521739,0.0,0.0013739853
0.0010642146,1.553191489361702,874,179966,16.986266629443364,90.51063829787235,1.342733,1134.6502757072449,0.12579141095156604,0.0016021817,1.446808510638298,0.0,0.0010642146
0.0009999532,1.7380952380952381,916,189976,18.701225557097995,99.85714285714286,1.3571316,1195.9475629329681,0.13314285714285715,0.0017170773,1.2619047619047619,0.0,0.0009999532
0.0013906443,1.4680851063829787,963,199788,16.449546907064576,86.42553191489361,1.3415627,1262.3747146129608,0.12392177090049432,0.0022040573,1.5319148936170213,0.0,0.0013906443
0.0010866018,1.3529411764705883,1014,209929,16.27988806965726,84.29411764705883,1.3272808,1324.316346168518,0.1489878305837385,0.0020580997,1.6470588235294117,0.0,0.0010866018
0.0012153321,1.7380952380952381,1056,219773,18.90246448274069,98.78571428571429,1.3284069,1378.4993872642517,0.1381100303570567,0.0018216256,1.2619047619047619,0.0,0.0012153321
0.0013374308,1.7272727272727273,1100,229859,17.658751611647077,92.6590909090909,1.3271389,1443.3237636089325,0.12888480053117915,0.0034461303,1.2727272727272727,0.0,0.0013374308
