MpbtN,Ptt,entropy,Tmt,surrgain,Tmc,optimgain,TimeElapsed,MtR,Tbt,MpbtA,TimestepsSoFar,meankl,entloss,TtR,AttC,AttNC,EpisodesSoFar
94.97569210661331,82.24437090612665,0.6836895,84.56129807692308,0.025024738,19.25841346153846,0.025024738,2046.7246153354645,-76.06310272332851,346363.07692307694,5.02430789338636,9987,0.009361632,0.0,-80.30649038461539,1.0,0.0,832
95.26804251343574,81.95741461335587,0.65574926,84.28198074277854,0.013977335,19.572214580467676,0.013977335,3846.023224592209,-75.41044015477101,345218.9931224209,4.731957486564118,19984,0.009622037,0.0,-80.29023383768913,1.0,0.0,1559
95.404308741208,82.0492095603789,0.60689753,84.38461538461539,0.017405521,19.474097331240188,0.017405521,5428.060967206955,-74.92740865831637,345639.3846153846,4.595691258791741,29981,0.010625233,0.0,-80.50078492935636,1.0,0.0,2196
95.49219795589285,82.01180860492957,0.5414324,84.33532934131736,0.018150615,19.512974051896208,0.018150615,6670.743185758591,-73.50987883113794,345437.5089820359,4.507802044106907,39997,0.010514735,0.0,-80.52894211576846,1.0,0.0,2697
95.17010709446602,82.0494924861117,0.4652986,84.37637362637362,0.022127839,19.47252747252747,0.022127839,7575.302352428436,-71.03618271829087,345605.62637362635,4.829892905534091,49996,0.009922848,0.0,-80.29945054945055,1.0,0.0,3061
94.48429817455259,81.97940189041348,0.389031,84.30196078431372,0.023187988,19.54901960784314,0.023187988,8218.57526230812,-67.52512638750213,345300.831372549,5.515701825447335,59986,0.00954629,0.0,-79.64313725490196,0.996078431372549,0.00392156862745098,3316
92.56654738733306,81.65688342661312,0.3099518,83.97122302158273,0.016123328,19.899280575539567,0.016123328,8576.953903913498,-59.79040840917791,343946.12949640286,7.433452612666902,69860,0.008971153,0.0,-77.74820143884892,0.9856115107913669,0.014388489208633094,3455
89.02105078186784,80.00244404188,0.24019445,82.25,0.009306187,21.691176470588236,0.009306187,8767.60111618042,-49.25878455898515,336896.0,10.978949218132158,79748,0.0077930205,0.0,-73.22058823529412,0.75,0.25,3523
86.69502267971016,80.34506795057668,0.20303254,82.62790697674419,0.003957385,21.325581395348838,0.003957385,8888.85551071167,-40.751431190458426,338443.9069767442,13.30497732028985,89870,0.004067779,0.0,-71.67441860465117,0.4418604651162791,0.5581395348837209,3566
87.67649929402373,80.81751340657594,0.26125783,83.10810810810811,0.0046121757,20.81081081081081,0.0046121757,8997.490011692047,-40.537394473860914,340410.8108108108,12.32350070597626,99957,0.0053011808,0.0,-72.89189189189189,0.08108108108108109,0.918918918918919,3603
86.899655734027,81.30159691839792,0.19877706,83.55,0.0036646652,20.275,0.0036646652,9116.367669582367,-41.61904928921516,342220.8,13.100344265973016,109861,0.0045009227,0.0,-72.65,0.275,0.725,3643
89.77128224811422,80.86218007128961,0.24373698,83.17948717948718,0.004424861,20.76923076923077,0.004424861,9228.264782190323,-41.846685115998895,340703.1794871795,10.228717751885778,119992,0.0045840554,0.0,-74.6923076923077,0.15384615384615385,0.8461538461538461,3682
86.49442279472221,80.35316097545106,0.2561561,82.63414634146342,0.005323286,21.317073170731707,0.005323286,9343.487556219101,-41.403056981601935,338469.46341463417,13.505577205277785,129932,0.0038886124,0.0,-71.48780487804878,0.36585365853658536,0.6341463414634146,3723
85.75219542706152,80.21781515897665,0.30882204,82.48780487804878,0.005624376,21.463414634146343,0.005624376,9462.11897277832,-39.74032415474912,337870.0487804878,14.247804572938493,139984,0.0056783236,0.0,-70.73170731707317,0.5365853658536586,0.4634146341463415,3764
85.88052175839093,80.45765054552595,0.21170078,82.72,0.008103665,21.2,0.008103665,9597.499996185303,-42.127529620096254,338821.12,14.119478241609094,149963,0.007870499,0.0,-71.06,0.72,0.28,3814
86.98236397790134,80.77090409310838,0.20764819,83.0,0.0050575915,20.85,0.0050575915,9715.90777349472,-40.56326658520976,339968.0,13.017636022098623,159898,0.0039650034,0.0,-72.2,0.325,0.675,3854
86.54990538087384,80.5166601556637,0.30259892,82.80555555555556,0.0048101814,21.13888888888889,0.0048101814,9820.465325117111,-38.98139142128574,339171.55555555556,13.450094619126153,169930,0.00878024,0.0,-71.69444444444444,0.05555555555555555,0.9444444444444444,3890
84.26306502593482,80.74060814355109,0.24998581,83.04878048780488,0.0034109512,20.902439024390244,0.0034109512,9933.540961265564,-40.160797807466956,340167.8048780488,15.736934974065171,179980,0.0035765297,0.0,-70.02439024390245,0.34146341463414637,0.6585365853658537,3931
85.41790174004747,80.81468529706213,0.23429585,83.10526315789474,0.0041404455,20.81578947368421,0.0041404455,10045.247264146805,-39.83774818329124,340399.15789473685,14.582098259952541,189811,0.005111734,0.0,-70.97368421052632,0.2631578947368421,0.7368421052631579,3969
85.96572722709185,80.26015326105646,0.28020018,82.55263157894737,0.004784418,21.42105263157895,0.004784418,10153.552373409271,-39.17015223319063,338135.5789473684,14.034272772908157,199897,0.007290753,0.0,-70.97368421052632,0.2894736842105263,0.7105263157894737,4007
84.38546483213453,80.41961173719581,0.2646978,82.725,0.0018406219,21.25,0.0018406219,10267.71394777298,-39.88944448774788,338841.6,15.61453516786547,209825,0.0025976277,0.0,-69.825,0.475,0.525,4047
82.26435602318247,79.99234913777981,0.23202395,82.17948717948718,0.0033528495,21.692307692307693,0.0033528495,10375.743200302124,-37.93319263117026,336607.1794871795,17.735643976817514,219911,0.0046496266,0.0,-67.61538461538461,0.38461538461538464,0.6153846153846154,4086
