TtR,TimeElapsed,entropy,optimgain,EpisodesSoFar,meankl,TimestepsSoFar,surrgain,AttC,AttNC,MtR,entloss,Fce
69.234375,52.113630294799805,1.4373778,0.0003728546,64,0.006904953,9784,0.0003728546,2.203125,0.796875,13.779441914402073,0.0,0.14106262311121992
48.56842105263158,100.1423192024231,1.4509275,0.00078105164,159,0.005941959,19812,0.00078105164,2.610526315789474,0.3894736842105263,9.913277705511728,0.0,0.16077590403132494
57.148148148148145,153.52688479423523,1.4414085,0.00075947825,240,0.0074300966,29968,0.00075947825,2.3950617283950617,0.6049382716049383,11.21370987478212,0.0,0.13111395060407685
87.48,201.43440890312195,1.453,0.00020388159,290,0.00060153625,39797,0.00020388159,1.82,1.18,17.35763093573464,0.0,0.15509190635451503
78.05357142857143,257.5393455028534,1.4721229,0.00036688437,346,0.00471696,49883,0.00036688437,2.0357142857142856,0.9642857142857143,14.981261627369888,0.0,0.11949281211687231
80.84745762711864,304.1364710330963,1.460048,0.0005460022,405,0.0067379866,60000,0.0005460022,1.9830508474576272,1.0169491525423728,15.606799015263755,0.0,0.12079608408243557
82.03846153846153,354.33669257164,1.4331497,0.00027844188,457,0.0027648185,69845,0.00027844188,1.8076923076923077,1.1923076923076923,15.517359999799869,0.0,0.13638756262894197
73.8,400.2765426635742,1.3923222,0.00080017495,512,0.0074480358,79777,0.00080017495,1.9090909090909092,1.0909090909090908,14.170779650832658,0.0,0.13365819947375907
84.06521739130434,457.32750844955444,1.3952525,0.00033272145,558,0.0024370681,89817,0.00033272145,1.434782608695652,1.565217391304348,16.19134433977332,0.0,0.13373913043478258
90.90697674418605,505.4040365219116,1.4294457,0.00022764485,601,0.0030440018,99820,0.00022764485,1.6046511627906976,1.3953488372093024,17.2749847938362,0.0,0.12120930232558143
95.06666666666666,555.3309967517853,1.4565539,0.0002679423,646,0.0042114183,109847,0.0002679423,1.6,1.4,18.237263247459076,0.0,0.15706307519640852
68.38095238095238,607.2610569000244,1.4340907,0.00052092044,709,0.0042346437,119777,0.00052092044,2.015873015873016,0.9841269841269841,13.225403112494748,0.0,0.1484043749152775
79.83333333333333,658.8047215938568,1.3992555,0.0002636332,763,0.0032772734,129869,0.0002636332,1.8333333333333333,1.1666666666666667,15.38891237099406,0.0,0.11644452623399992
94.36363636363636,707.045022726059,1.4126335,0.00037678477,807,0.005757427,139887,0.00037678477,1.5454545454545454,1.4545454545454546,18.281097773985394,0.0,0.12581818181818183
87.88235294117646,756.2277233600616,1.4100312,0.00026388423,858,0.00072235777,149960,0.00026388423,1.9607843137254901,1.0392156862745099,16.613455769802115,0.0,0.12892427606494103
92.6086956521739,805.1970474720001,1.4418973,0.00043392513,904,0.0072074695,159787,0.00043392513,1.5,1.5,18.01025502962197,0.0,0.12941409083942165
79.5,859.4981906414032,1.4344476,0.0005510727,958,0.00717219,169861,0.0005510727,1.9074074074074074,1.0925925925925926,15.206675938008825,0.0,0.10789157273215243
87.0,905.5606136322021,1.4127948,0.00057981873,1006,0.008030829,179943,0.00057981873,1.7083333333333333,1.2916666666666667,16.629336172466004,0.0,0.12360810113519094
77.8125,951.6998884677887,1.3643768,0.0004345693,1054,0.004359607,189987,0.0004345693,1.4166666666666667,1.5833333333333333,14.760779569016108,0.0,0.11675925925925927
82.66666666666667,1003.8718008995056,1.3663727,0.00023771304,1099,0.000488351,200000,0.00023771304,1.4666666666666666,1.5333333333333334,15.771203262432866,0.0,0.1323555555555556
86.93181818181819,1056.8956680297852,1.4114518,0.0005456543,1143,0.011843426,209787,0.0005456543,1.4772727272727273,1.5227272727272727,16.377276432860842,0.0,0.11733333333333335
89.08695652173913,1103.551729440689,1.4372646,0.0007658915,1189,0.008892791,219813,0.0007658915,1.326086956521739,1.673913043478261,16.986880854407808,0.0,0.1442134387351779
85.94117647058823,1155.8886108398438,1.44303,0.00048130593,1240,0.0019691184,229892,0.00048130593,1.7843137254901962,1.2156862745098038,16.557330262330492,0.0,0.14343422155186858
81.0,1204.1486704349518,1.4534825,0.0002971901,1293,0.0043720957,239786,0.0002971901,1.9433962264150944,1.0566037735849056,15.68163750887655,0.0,0.1235458796968231
87.6875,1257.0488104820251,1.4969143,0.00025017597,1341,0.003936099,249832,0.00025017597,1.7083333333333333,1.2916666666666667,16.85043499783733,0.0,0.14415594541910334
76.96153846153847,1305.851832151413,1.479944,0.00057499745,1393,0.0038603784,259753,0.00057499745,1.6538461538461537,1.3461538461538463,14.860055074867368,0.0,0.11536683940362868
81.41176470588235,1357.0672097206116,1.4881619,0.00057754084,1444,0.008193421,269806,0.00057754084,1.8627450980392157,1.1372549019607843,15.324621284393567,0.0,0.1717920326501641
87.18,1404.4265491962433,1.4973252,0.00035467936,1494,0.0033368412,279962,0.00035467936,1.82,1.18,16.71683954168813,0.0,0.12260087811501999
76.15,1457.7352318763733,1.5028878,0.00056587067,1554,0.0053980346,289912,0.00056587067,2.0166666666666666,0.9833333333333333,14.690806358406007,0.0,0.14048219137239246
76.39285714285714,1505.2970604896545,1.4800915,0.0005425222,1610,0.0071778554,299837,0.0005425222,1.9285714285714286,1.0714285714285714,14.63381233340901,0.0,0.13340148587300815
95.93023255813954,1555.431643486023,1.4987878,0.00024095294,1653,0.0035463022,309868,0.00024095294,1.5813953488372092,1.4186046511627908,18.306517535647863,0.0,0.12903794369645044
86.0,1601.8101201057434,1.5107442,0.00016169433,1701,0.001403759,319916,0.00016169433,1.6875,1.3125,16.692687648846704,0.0,0.1447222222222222
