TimeElapsed,MpbtN,surrgain,Ptt,AttNC,entropy,Tbt,meankl,entloss,TtR,MpbtA,Tmt,Tmc,AttC,optimgain,MtR,EpisodesSoFar,TimestepsSoFar
57134.308497428894,82.4080973620295,0.009859088,79.79576633383947,0.34146341463414637,0.19147466,336171.7073170732,0.00712946,0.0,-67.65853658536585,17.591902637970477,82.07317073170732,21.926829268292682,0.6585365853658537,0.009859088,-38.483917001293904,17409,3699966
57268.80194759369,82.46557108810387,0.0069278544,78.90754318723702,0.4,0.18306775,332185.6,0.00570635,0.0,-66.875,17.534428911896104,81.1,22.875,0.6,0.0069278544,-38.254401086664494,17449,3709931
57406.552003622055,82.36460694625315,0.0076972474,78.26811074196797,0.4864864864864865,0.19281901,329451.24324324325,0.006012141,0.0,-66.27027027027027,17.63539305374686,80.43243243243244,23.56756756756757,0.5135135135135135,0.0076972474,-36.890505184924116,17486,3719838
57544.34388971329,82.27418927866783,0.006393651,78.64807529872392,0.358974358974359,0.20362765,331040.8205128205,0.0057922257,0.0,-66.48717948717949,17.725810721332174,80.82051282051282,23.153846153846153,0.6410256410256411,0.006393651,-37.71983144469161,17525,3729930
57676.70881533623,81.09466699556032,0.006902382,78.77356273008085,0.35,0.18986861,331673.6,0.0049052187,0.0,-65.65,18.905333004439665,80.975,23.025,0.65,0.006902382,-36.7776291882464,17565,3739925
57829.58092069626,83.05916785968043,0.0058042062,80.06098737810109,0.3488372093023256,0.18038666,337110.32558139536,0.0058626086,0.0,-68.3953488372093,16.940832140319568,82.30232558139535,21.627906976744185,0.6511627906976745,0.0058042062,-40.43084833683787,17608,3749836
57962.9154818058,80.77321046133804,0.005517944,79.72093262047659,0.4146341463414634,0.17772794,335672.1951219512,0.0052674166,0.0,-66.21951219512195,19.226789538661965,81.95121951219512,22.0,0.5853658536585366,0.005517944,-37.91785987560067,17649,3759975
58101.319155693054,82.21943129320094,0.007586737,80.16687777507698,0.35714285714285715,0.17529653,337724.95238095237,0.0058197225,0.0,-67.85714285714286,17.780568706799063,82.45238095238095,21.523809523809526,0.6428571428571429,0.007586737,-39.80005217365746,17691,3769846
58244.66842293739,83.09881635758765,0.008162458,78.92957140649526,0.275,0.16182362,332288.0,0.0060150255,0.0,-67.425,16.901183642412366,81.125,22.85,0.725,0.008162458,-37.3605296930896,17731,3779857
58379.915774822235,82.76645022078552,0.0068833916,79.74466137413691,0.425,0.1619073,335872.0,0.006368011,0.0,-67.875,17.2335497792145,82.0,21.975,0.575,0.0068833916,-37.82818206786415,17771,3789852
58518.58751320839,83.00568062237127,0.005111145,79.2878727396969,0.5789473684210527,0.17120166,333931.7894736842,0.005226419,0.0,-67.65789473684211,16.994319377628738,81.52631578947368,22.473684210526315,0.42105263157894735,0.005111145,-37.88889791229972,17809,3799886
58650.767399311066,81.81716847993088,0.0077400636,79.5464322006321,0.7368421052631579,0.19519675,334901.8947368421,0.0059887306,0.0,-66.92105263157895,18.18283152006909,81.76315789473684,22.18421052631579,0.2631578947368421,0.0077400636,-37.36537076855213,17847,3809913
58780.87283873558,81.57465354213713,0.0072165686,79.16855629919718,0.5135135135135135,0.19029717,333325.8378378378,0.006218525,0.0,-66.4054054054054,18.425346457862855,81.37837837837837,22.594594594594593,0.4864864864864865,0.0072165686,-37.1253301848991,17884,3819742
58927.16690444946,82.21269912103536,0.007989685,79.76739669980218,0.4523809523809524,0.16627546,335969.5238095238,0.0069016097,0.0,-67.42857142857143,17.787300878964654,82.02380952380952,21.952380952380953,0.5476190476190477,0.007989685,-38.816877858569654,17926,3829948
59058.91994357109,83.0728967266101,0.006297239,80.39500719095217,0.5,0.19555318,338636.8,0.00564068,0.0,-68.675,16.927103273389896,82.675,21.275,0.5,0.006297239,-38.91834272829966,17966,3839943
59191.79946398735,82.456079097081,0.005641942,79.86612681139837,0.6578947368421053,0.19461367,336303.15789473685,0.004131701,0.0,-67.6842105263158,17.543920902918977,82.10526315789474,21.842105263157894,0.34210526315789475,0.005641942,-38.09223146436017,18004,3849832
59328.24941325188,81.884176244909,0.007401042,79.20213474821402,0.5128205128205128,0.18731384,333561.4358974359,0.0055056787,0.0,-66.66666666666667,18.115823755090993,81.43589743589743,22.564102564102566,0.48717948717948717,0.007401042,-36.529640707601274,18043,3859977
59455.58472728729,81.6081204333719,0.0052415947,78.92096497271274,0.5945945945945946,0.16472124,332329.5135135135,0.005080321,0.0,-66.1891891891892,18.391879566628088,81.13513513513513,22.864864864864863,0.40540540540540543,0.0052415947,-36.576558531030614,18080,3869791
59590.80394935608,82.08219580137956,0.006281427,79.50100002275943,0.6052631578947368,0.17147337,334794.1052631579,0.0064551467,0.0,-67.10526315789474,17.91780419862047,81.73684210526316,22.236842105263158,0.39473684210526316,0.006281427,-36.96992817725775,18118,3879847
59731.37107872963,82.17189374671864,0.007526019,79.1762958109907,0.4358974358974359,0.19350573,333456.41025641025,0.0050429343,0.0,-66.8974358974359,17.828106253281334,81.41025641025641,22.58974358974359,0.5641025641025641,0.007526019,-37.11272299638421,18157,3889956
59861.413746356964,82.64638102609099,0.0051422087,79.58530972047254,0.358974358974359,0.18027389,335241.8461538461,0.005454445,0.0,-67.64102564102564,17.353618973908976,81.84615384615384,22.153846153846153,0.6410256410256411,0.0051422087,-38.04782896340358,18196,3899801
59994.17197012901,82.52752315179691,0.005708978,79.42382814140011,0.375,0.15760253,334540.8,0.0070923837,0.0,-67.425,17.472476848203094,81.675,22.325,0.625,0.005708978,-37.83284333062923,18236,3909900
60133.68026423454,83.50598296893286,0.006146347,79.08350058488315,0.5897435897435898,0.15126164,333036.3076923077,0.0059671807,0.0,-67.8974358974359,16.494017031067152,81.3076923076923,22.692307692307693,0.41025641025641024,0.006146347,-38.63980464374846,18275,3919924
60267.64158320427,83.43378511775487,0.010030104,79.01189849366355,0.34210526315789475,0.16440134,332638.3157894737,0.006242083,0.0,-67.73684210526316,16.56621488224512,81.21052631578948,22.763157894736842,0.6578947368421053,0.010030104,-37.272424719059586,18313,3929833
60410.90358829498,82.85070643959757,0.005760425,79.50764350241482,0.28205128205128205,0.15210748,334821.74358974356,0.0053013717,0.0,-67.74358974358974,17.14929356040244,81.74358974358974,22.23076923076923,0.717948717948718,0.005760425,-37.570651416045315,18352,3939817
