meankl,TimestepsSoFar,AttNC,TimeElapsed,TtR,entloss,MtR,EpisodesSoFar,Fce,entropy,AttC,optimgain,surrgain
0.008933095,2069775,1.288888888888889,27711.72064089775,93.13333333333334,0.0,17.70868267295076,9681,0.12726349206349208,2.6502223,1.711111111111111,5.1116945e-06,5.1116945e-06
0.010175057,2079895,1.0357142857142858,27853.03705382347,74.08928571428571,0.0,14.167052990092728,9737,0.12538375350140055,2.5526316,1.9642857142857142,1.847636e-05,1.847636e-05
0.010174776,2089859,1.0980392156862746,27976.90452671051,80.17647058823529,0.0,15.405000454243845,9788,0.14749061880399317,2.455056,1.9019607843137254,3.0476887e-05,3.0476887e-05
0.010175057,2099952,1.2745098039215685,28100.932933092117,82.29411764705883,0.0,15.880145338201533,9839,0.1500352545058427,2.3574276,1.7254901960784315,5.3687287e-05,5.3687287e-05
0.010174776,2109794,1.3777777777777778,28227.911108255386,93.46666666666667,0.0,17.733480308198114,9884,0.1594708443588239,2.2598615,1.6222222222222222,4.9884162e-05,4.9884162e-05
0.010174845,2119854,1.38,28361.82910132408,81.18,0.0,15.411588221238754,9934,0.15742162679425836,2.1622546,1.62,2.622172e-05,2.622172e-05
0.010174845,2129917,1.3673469387755102,28493.74483013153,81.42857142857143,0.0,15.410743090060988,9983,0.11396307094266281,2.0646896,1.6326530612244898,2.5416564e-05,2.5416564e-05
0.008933181,2139961,1.3269230769230769,28620.95909523964,73.21153846153847,0.0,13.911582516490874,10035,0.1486959706959707,2.1622546,1.6730769230769231,4.6843466e-05,4.6843466e-05
0.008933095,2149766,1.4782608695652173,28739.90955877304,84.26086956521739,0.0,15.980097633294394,10081,0.1174087788641565,2.2598612,1.5217391304347827,1.5276337e-05,1.5276337e-05
0.008933181,2159846,1.2407407407407407,28861.408072948456,80.22222222222223,0.0,15.518498503262446,10135,0.11331774228325953,2.3574276,1.7592592592592593,2.8783672e-05,2.8783672e-05
0.010174758,2169960,1.2115384615384615,28982.123136520386,82.5,0.0,15.753311507826083,10187,0.14830801435545263,2.2598615,1.7884615384615385,4.030355e-05,4.030355e-05
0.010174845,2179773,1.18,29104.8091442585,81.66,0.0,15.651730987527143,10237,0.12110729270729269,2.1622546,1.82,9.106242e-05,9.106242e-05
0.008933095,2189812,1.2156862745098038,29220.528434515,77.76470588235294,0.0,14.651054537511955,10288,0.12702000396118043,2.2598615,1.7843137254901962,1.6538366e-05,1.6538366e-05
0.010174845,2199905,1.297872340425532,29339.802894353867,90.44680851063829,0.0,17.185072403128924,10335,0.12956405629626463,2.1622546,1.702127659574468,7.805506e-06,7.805506e-06
0.008933181,2209917,1.434782608695652,29459.84464740753,90.84782608695652,0.0,17.538920289876206,10381,0.12113043478260872,2.2598615,1.565217391304348,6.4697265e-06,6.4697265e-06
0.010174776,2219758,1.1730769230769231,29578.150854825974,75.46153846153847,0.0,14.531302879375346,10433,0.15158891645988423,2.1622546,1.8269230769230769,7.006632e-05,7.006632e-05
0.008933174,2229794,1.34,29694.8579454422,81.66,0.0,15.713296442727989,10483,0.13619636363636364,2.2598615,1.66,1.1946615e-05,1.1946615e-05
0.008933095,2239829,1.2040816326530612,29823.09278845787,81.73469387755102,0.0,15.565844198857024,10532,0.14034925618599087,2.3574276,1.7959183673469388,6.4184314e-05,6.4184314e-05
0.008933181,2249940,1.3018867924528301,29949.664226531982,81.22641509433963,0.0,15.812854623064366,10585,0.1413590580224145,2.455056,1.6981132075471699,1.12828575e-05,1.12828575e-05
0.008933181,2259993,1.3191489361702127,30078.201386213303,91.40425531914893,0.0,17.52795919045723,10632,0.12730939990777945,2.5526311,1.6808510638297873,3.1413776e-05,3.1413776e-05
0.010174776,2269793,1.2244897959183674,30197.743933916092,82.83673469387755,0.0,15.819690086951132,10681,0.13979527048914803,2.455056,1.7755102040816326,7.650248e-06,7.650248e-06
0.008933181,2279880,1.150943396226415,30323.019550561905,78.84905660377359,0.0,14.972877992781429,10734,0.13166457023060799,2.5526311,1.849056603773585,5.9061686e-06,5.9061686e-06
0.010174845,2289940,1.36,30438.605130195618,82.32,0.0,15.626287744447204,10784,0.12453476880607316,2.455056,1.64,4.0759278e-05,4.0759278e-05
0.008933181,2299980,1.38,30572.45519542694,82.5,0.0,15.948132858704922,10834,0.13456888888888888,2.5526311,1.62,1.4439901e-06,1.4439901e-06
0.008933181,2309774,1.1428571428571428,30693.416191339493,81.85714285714286,0.0,15.672823235695809,10883,0.15790864917395525,2.6502223,1.8571428571428572,4.821981e-05,4.821981e-05
0.008933174,2319852,1.28,30816.219011068344,81.66,0.0,15.64961765692836,10933,0.14123936507936505,2.7478032,1.72,7.904053e-07,7.904053e-07
0.010174758,2329751,1.1923076923076923,30953.90663933754,81.46153846153847,0.0,15.991262015261155,10985,0.1224153148438863,2.6502223,1.8076923076923077,3.0281575e-05,3.0281575e-05
0.010174845,2339864,1.0727272727272728,31078.790005922318,74.83636363636364,0.0,14.437218561501748,11040,0.11254747676565861,2.5526311,1.9272727272727272,4.9651084e-05,4.9651084e-05
0.010174845,2349923,1.0727272727272728,31198.727744817734,73.41818181818182,0.0,14.122652890225263,11095,0.1356892561983471,2.455056,1.9272727272727272,8.966573e-06,8.966573e-06
0.008933181,2359973,1.18,31315.770040273666,82.68,0.0,15.657730237723335,11145,0.11279493212669683,2.5526311,1.82,6.822713e-06,6.822713e-06
0.010174776,2369964,1.1964285714285714,31452.377299308777,75.64285714285714,0.0,14.571629338179491,11201,0.13900494336328284,2.455056,1.8035714285714286,3.841858e-05,3.841858e-05
0.010174758,2379770,1.1702127659574468,31581.26951980591,87.63829787234043,0.0,16.610651338697693,11248,0.12177147360126082,2.3574276,1.8297872340425532,5.3670246e-05,5.3670246e-05
0.008933095,2389843,1.489795918367347,31700.11268877983,88.04081632653062,0.0,16.910681965850028,11297,0.12440825340073462,2.455056,1.510204081632653,5.1944226e-05,5.1944226e-05
0.008933095,2399901,1.1,31828.491919755936,83.94,0.0,16.076489558118073,11347,0.15731708587708587,2.5526311,1.9,2.3727416e-06,2.3727416e-06
0.010174752,2409956,1.0196078431372548,31951.61122894287,76.70588235294117,0.0,14.681784631811313,11398,0.1299655377302436,2.455056,1.9803921568627452,3.8450115e-05,3.8450115e-05
