Tbt,TimeElapsed,TtR,entloss,surrgain,meankl,Tmc,EpisodesSoFar,MpbtA,entropy,AttNC,Tmt,AttC,optimgain,Ptt,TimestepsSoFar,MpbtN,MtR
345062.3082437276,2043.4476063251495,-80.10991636798089,0.0,0.022964057,0.008807622,19.615292712066907,837,4.897888445015683,0.6843312,0.0,84.24372759856631,1.0,0.022964057,81.91816055956116,9992,95.10211155498392,-75.89572869857082
345673.14285714284,3836.5003752708435,-80.39423076923077,0.0,0.013874988,0.008801704,19.451923076923077,1565,4.728343097181828,0.658571,0.0,84.39285714285714,1.0,0.013874988,82.0677676867773,19970,95.27165690281794,-75.52795116975972
344971.30016051367,5383.195389032364,-80.31139646869984,0.0,0.018996479,0.00927132,19.619582664526483,2188,4.639969457306166,0.6164425,0.0,84.2215088282504,1.0,0.018996479,81.91145053709333,29998,95.36003054269355,-74.61038910878466
345389.17647058825,6640.866168022156,-80.38627450980393,0.0,0.023300324,0.009955809,19.545098039215688,2698,4.657079590891094,0.5542809,0.0,84.32352941176471,1.0,0.023300324,81.98487280890687,39988,95.34292040910883,-73.49152584603067
344043.6724565757,7643.452035665512,-79.95533498759305,0.0,0.026524497,0.009677283,19.87593052109181,3101,4.804774082941219,0.48118183,0.0,83.99503722084367,1.0,0.026524497,81.67793523892219,49996,95.19522591705879,-71.46052393466665
344644.65900383145,8295.359264612198,-79.34482758620689,0.0,0.02467754,0.009355989,19.731800766283524,3362,5.694034634482106,0.40111646,0.0,84.14176245210729,1.0,0.02467754,81.81265890279454,59987,94.30596536551792,-67.3027885142496
343714.9090909091,8727.366955757141,-78.1590909090909,0.0,0.021087809,0.009029569,19.988636363636363,3538,6.860807004610312,0.32273507,0.0,83.91477272727273,1.0,0.021087809,81.57872284116894,69983,93.1391929953897,-61.930351973234615
343083.7606837607,9027.114597320557,-77.3076923076923,0.0,0.01367649,0.007903852,20.17094017094017,3655,7.694871067199659,0.26402065,0.008547008547008548,83.76068376068376,0.9914529914529915,0.01367649,81.4140427801167,79991,92.30512893280036,-55.86527619303093
342807.2727272727,9255.096341848373,-76.63636363636364,0.0,0.011470105,0.008880298,20.261363636363637,3743,8.42902708557948,0.19636208,0.011363636363636364,83.69318181818181,0.9886363636363636,0.011470105,81.33266571988545,89949,91.57097291442057,-50.71137143108769
343608.8888888889,9425.886619329453,-76.0952380952381,0.0,0.00951102,0.007960887,20.015873015873016,3806,9.306544974913228,0.17426215,0.06349206349206349,83.88888888888889,0.9365079365079365,0.00951102,81.55436472305419,99990,90.69345502508675,-45.917104219588786
343040.0,9568.686319828033,-76.11538461538461,0.0,0.00630927,0.006246019,20.173076923076923,3858,9.134474277038079,0.15620668,0.11538461538461539,83.75,0.8846153846153846,0.00630927,81.41197163920937,109836,90.86552572296189,-44.30370683969204
343412.36363636365,9690.972794771194,-76.63636363636364,0.0,0.004927267,0.0039251666,20.045454545454547,3902,8.614689159023724,0.14308526,0.3181818181818182,83.8409090909091,0.6818181818181818,0.004927267,81.52378163153178,119999,91.38531084097627,-43.44987777840516
344799.1794871795,9801.559260368347,-76.53846153846153,0.0,0.0058895582,0.0042857523,19.71794871794872,3941,9.078381567021257,0.19032024,0.5128205128205128,84.17948717948718,0.48717948717948717,0.0058895582,81.83005778252107,129981,90.92161843297873,-42.10033676054114
342920.93023255817,9925.694347858429,-75.18604651162791,0.0,0.0062805708,0.0057066996,20.13953488372093,3984,10.189615371193758,0.1515193,0.32558139534883723,83.72093023255815,0.6744186046511628,0.0062805708,81.43161778524203,139754,89.81038462880625,-42.37260856488389
341849.9459459459,10030.786531925201,-74.02702702702703,0.0,0.00426037,0.0033785615,20.54054054054054,4021,11.313370812846342,0.22207224,0.7567567567567568,83.45945945945945,0.24324324324324326,0.00426037,81.08212115803055,149951,88.68662918715367,-40.332652546803786
341800.4210526316,10141.637469291687,-73.76315789473684,0.0,0.009273801,0.0063104965,20.526315789473685,4059,11.630787239710454,0.2524375,0.6578947368421053,83.44736842105263,0.34210526315789475,0.009273801,81.09126011730599,159995,88.36921276028954,-41.477356602796306
340992.0,10256.20140171051,-72.95,0.0,0.0036896064,0.0038372632,20.7,4099,12.400554451749656,0.19781552,0.55,83.25,0.45,0.0036896064,80.92768815425492,169990,87.59944554825032,-41.26539022556993
342514.1621621622,10364.104118347168,-73.24324324324324,0.0,0.0076080565,0.007354796,20.35135135135135,4136,12.43314999833611,0.2599592,0.6756756756756757,83.62162162162163,0.32432432432432434,0.0076080565,81.25423343344835,179757,87.56685000166392,-40.68222201502423
339558.4,10475.560597658157,-71.825,0.0,0.004417877,0.0050113765,21.05,4176,13.370440048311774,0.21515884,0.425,82.9,0.575,0.004417877,80.60255635503178,189775,86.62955995168822,-39.85911195584009
336757.6216216216,10582.839382886887,-70.56756756756756,0.0,0.0047170105,0.004753469,21.783783783783782,4213,14.19868677604427,0.22550654,0.6756756756756757,82.21621621621621,0.32432432432432434,0.0047170105,79.92649600557559,199814,85.80131322395573,-39.36219542226944
336554.6666666667,10685.904216527939,-71.77777777777777,0.0,0.0038755143,0.0029707826,21.77777777777778,4249,12.664932623813943,0.22559692,0.9166666666666666,82.16666666666667,0.08333333333333333,0.0038755143,79.92307435282194,209820,87.33506737618605,-39.25340684097843
340309.3333333333,10791.259462356567,-70.91666666666667,0.0,0.007810733,0.005547075,20.805555555555557,4285,14.669738968847177,0.25073868,0.8333333333333334,83.08333333333333,0.16666666666666666,0.007810733,80.81883760776435,219749,85.33026103115282,-39.01535424465867
