optimgain,entloss,meankl,AttNC,AttC,MtR,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,Fce,TimeElapsed,TtR
0.0008978363,0.0,0.004199624,0.2835820895522388,0.7164179104477612,6.20875979100755,1.3982501,0.0008978363,134,9944,0.09307673538679796,34.372140407562256,10.701492537313433
0.00084045256,0.0,0.00091160566,0.3786407766990291,0.6213592233009708,8.185721553903367,1.3899072,0.00084045256,237,19976,0.06498885420111232,71.61901021003723,14.155339805825243
0.0015875275,0.0,0.0068899216,0.37623762376237624,0.6237623762376238,7.969196754633546,1.3650501,0.0015875275,338,29831,0.09700929033187836,108.5075511932373,13.762376237623762
0.0007200035,0.0,0.0027743187,0.49382716049382713,0.5061728395061729,9.989532109578342,1.3343939,0.0007200035,419,39982,0.09844013281722497,143.97243213653564,17.246913580246915
0.0007382019,0.0,0.0033290836,0.4875,0.5125,9.545478713080458,1.2927401,0.0007382019,499,49909,0.09878738358897424,181.91136360168457,16.6
0.0010886551,0.0,0.0019609027,0.48148148148148145,0.5185185185185185,9.730597651097174,1.2660482,0.0010886551,580,59885,0.08081502025704058,220.98909831047058,16.962962962962962
0.0012373261,0.0,0.0045100725,0.5555555555555556,0.4444444444444444,11.669177188460473,1.234685,0.0012373261,652,69973,0.09280325814536344,257.32812571525574,20.083333333333332
0.0014599914,0.0,0.0077394163,0.5735294117647058,0.4264705882352941,11.200565428746177,1.1886389,0.0014599914,720,79830,0.10353443153645993,292.78410387039185,19.323529411764707
0.00053631136,0.0,0.002081307,0.6896551724137931,0.3103448275862069,12.718498026608204,1.1855879,0.00053631136,778,89880,0.09606896551724141,331.67422342300415,22.32758620689655
0.001107904,0.0,0.005157547,0.547945205479452,0.4520547945205479,10.349549724604147,1.1207495,0.001107904,851,99947,0.09554946727549467,364.8639636039734,18.095890410958905
0.00092677306,0.0,0.00505689,0.6724137931034483,0.3275862068965517,12.137223137734864,1.0753785,0.00092677306,909,109762,0.09470876250186597,404.0645568370819,21.086206896551722
0.0012833214,0.0,0.0028281857,0.6666666666666666,0.3333333333333333,11.921768567064104,1.0663456,0.0012833214,969,119790,0.08895555555555558,438.32682943344116,20.866666666666667
0.0024010313,0.0,0.010553492,0.7547169811320755,0.24528301886792453,13.432045288584039,1.0818262,0.0024010313,1022,129835,0.09701596516690858,474.79395842552185,23.566037735849058
0.0017303604,0.0,0.0041230125,0.7358490566037735,0.2641509433962264,14.749946064203485,1.1097635,0.0017303604,1075,139751,0.11937666183036472,510.90049409866333,25.830188679245282
0.0016592026,0.0,0.006703741,0.5063291139240507,0.4936708860759494,9.67874554425962,1.0514528,0.0016592026,1154,149894,0.10230407271313333,546.7830085754395,16.78481012658228
0.0014639084,0.0,0.002315643,0.7547169811320755,0.24528301886792453,14.691683073150637,1.0550119,0.0014639084,1207,159907,0.1220377358490566,585.3615407943726,25.81132075471698
0.0019368653,0.0,0.0059793787,0.6896551724137931,0.3103448275862069,13.174893325622804,1.0175217,0.0019368653,1265,169975,0.10645888820295733,622.559324502945,22.896551724137932
0.0005829376,0.0,0.0012234029,0.7843137254901961,0.21568627450980393,14.000662990156012,1.0073192,0.0005829376,1316,179992,0.0981960784313726,659.2459690570831,24.54901960784314
0.0014334198,0.0,0.0065822266,0.65,0.35,12.076841147256577,1.0208802,0.0014334198,1376,189803,0.12875337690631808,692.4992892742157,21.166666666666668
0.0011001969,0.0,0.0027718234,0.7692307692307693,0.23076923076923078,14.772718147732414,0.9994697,0.0011001969,1428,199823,0.1289230769230769,726.4737362861633,25.557692307692307
0.0008693878,0.0,0.004357485,0.5555555555555556,0.4444444444444444,11.138875935759247,0.97023547,0.0008693878,1500,209925,0.09850352733686063,762.0457322597504,19.291666666666668
0.0019116566,0.0,0.0064803697,0.7142857142857143,0.2857142857142857,13.82275704214936,0.9168715,0.0019116566,1556,219995,0.09942198815009874,802.7975437641144,23.857142857142858
0.0012481156,0.0,0.0052043432,0.7959183673469388,0.20408163265306123,13.634284851324983,0.87072927,0.0012481156,1605,229759,0.09624489795918371,837.6584022045135,24.06122448979592
0.0021592446,0.0,0.009011755,0.7017543859649122,0.2982456140350877,12.386053408888626,0.7832643,0.0021592446,1662,239780,0.08722807017543861,874.691698551178,21.80701754385965
0.00060107576,0.0,0.0018380566,0.9302325581395349,0.06976744186046512,16.636523293895323,0.81481206,0.00060107576,1705,249789,0.11479069767441863,911.121514081955,28.697674418604652
0.0012928788,0.0,0.008520318,0.7692307692307693,0.23076923076923078,13.786988207708,0.75643915,0.0012928788,1757,259821,0.10257342657342662,946.270096540451,23.865384615384617
0.0016219269,0.0,0.0018806087,0.7843137254901961,0.21568627450980393,14.313525488008908,0.7554095,0.0016219269,1808,269850,0.10023529411764708,980.6496436595917,25.058823529411764
0.0017599182,0.0,0.006062642,0.7407407407407407,0.25925925925925924,13.507071040194413,0.7314079,0.0017599182,1862,279892,0.11649735449735452,1017.7992513179779,23.90740740740741
0.002529666,0.0,0.006387461,0.7547169811320755,0.24528301886792453,14.474007962285967,0.73916423,0.002529666,1915,289957,0.10878579356270812,1052.72816324234,25.49056603773585
0.0014138703,0.0,0.0024304623,0.6964285714285714,0.30357142857142855,14.044508367291886,0.7191549,0.0014138703,1971,299972,0.11297464545711441,1090.2674434185028,24.821428571428573
0.0010495482,0.0,0.0048416075,0.7959183673469388,0.20408163265306123,17.021070572126877,0.75449425,0.0010495482,2020,309880,0.1253411078717201,1128.8436691761017,29.367346938775512
