MtR,optimgain,Ptt,Tmt,entloss,AttC,MpbtA,Tbt,AttNC,TtR,meankl,MpbtN,EpisodesSoFar,TimeElapsed,entropy,Tmc,TimestepsSoFar,surrgain
-75.9549626173014,0.024427144,81.99310257487943,84.31686746987951,0.0,1.0,4.863974585553081,345361.8891566265,0.0,-80.21204819277108,0.008888772,95.13602541444654,830,2030.164603471756,0.68422997,19.533734939759036,10000,0.024427144
-75.45839128944222,0.012987388,81.88038602984896,84.20917678812415,0.0,1.0,4.710688127402248,344920.78812415653,0.0,-80.2361673414305,0.008714966,95.28931187259747,1571,3877.919300556183,0.65863997,19.657219973009447,19991,0.012987388
-74.91634800565924,0.019359242,82.02777277656024,84.34316770186335,0.0,1.0,4.631165332525867,345469.6149068323,0.0,-80.43012422360249,0.00908148,95.36883466747383,2215,5471.164256811142,0.6158694,19.493788819875775,29995,0.019359242
-73.77908810219802,0.024345832,82.00524158822724,84.35205992509363,0.0,1.0,4.735961772966921,345506.0374531835,0.0,-80.35205992509363,0.009640088,95.26403822703291,2749,6801.664791345596,0.5568054,19.524344569288388,39994,0.024345832
-71.86570581213638,0.024149437,81.92044215057516,84.24146341463414,0.0,1.0,4.702200414659954,345053.03414634144,0.0,-80.27560975609757,0.009447915,95.29779958534006,3159,7810.118964672089,0.48518947,19.61219512195122,49999,0.024149437
-67.53335031537831,0.018398434,81.74720777912862,84.07224334600761,0.0,1.0,5.441400962065846,344359.9087452472,0.0,-79.49809885931559,0.008582103,94.55859903793423,3422,8465.528037309647,0.40540567,19.802281368821294,59987,0.018398434
-63.54441599960293,0.02129747,81.68954900437593,84.0,0.0,0.9947089947089947,6.24276302432491,344064.0,0.005291005291005291,-78.75132275132275,0.0090039,93.75723697567506,3611,8936.34517288208,0.3340257,19.862433862433864,69946,0.02129747
-56.88197342688152,0.01628564,81.75734289282481,84.07563025210084,0.0,0.9663865546218487,7.832737127186481,344373.781512605,0.03361344537815126,-77.4873949579832,0.008700928,92.16726287281352,3730,9237.669297456741,0.27299818,19.789915966386555,79867,0.01628564
-49.683623235205005,0.0125381565,81.17755720118863,83.51948051948052,0.0,0.935064935064935,9.470201463541466,342095.7922077922,0.06493506493506493,-75.63636363636364,0.00813199,90.52979853645853,3807,9437.757465600967,0.22219077,20.428571428571427,89953,0.0125381565
-46.240328316524895,0.01002398,81.51589657706778,83.80645161290323,0.0,0.9516129032258065,9.614016843934426,343271.22580645164,0.04838709677419355,-75.75806451612904,0.007928623,90.38598315606558,3869,9604.433530807495,0.17554922,20.048387096774192,99742,0.01002398
