AttNC,TimestepsSoFar,meankl,Fce,optimgain,EpisodesSoFar,MtR,AttC,TtR,entropy,TimeElapsed,surrgain,entloss
0.9302325581395349,3939975,0.008210885,0.12725581395348837,0.004036888,17579,18.094213125732896,0.06976744186046512,31.813953488372093,-0.12880722,33022.049631118774,0.004036888,0.0
1.0,3949975,0.008560178,0.12690000000000004,0.004934711,17619,17.89194698654008,0.0,31.725,-0.12515181,33117.3597445488,0.004934711,0.0
1.0,3959975,0.0052568982,0.12480000000000002,0.0045512556,17659,17.769747186515037,0.0,31.2,-0.12042923,33191.62897801399,0.0045512556,0.0
0.975609756097561,3969976,0.006983476,0.12507317073170734,0.005006931,17700,17.727740696208702,0.024390243902439025,31.26829268292683,-0.10871886,33279.24890255928,0.005006931,0.0
1.0,3979976,0.0062319445,0.13290000000000002,0.0043225647,17740,19.02385641495617,0.0,33.225,-0.0945902,33360.950625896454,0.0043225647,0.0
0.975609756097561,3989977,0.0063764383,0.13921951219512196,0.004475087,17781,19.697988816354602,0.024390243902439025,34.80487804878049,-0.085231766,33448.76644158363,0.004475087,0.0
0.9302325581395349,3999980,0.0070850435,0.128,0.0052805375,17824,18.42999348991089,0.06976744186046512,32.0,-0.09087345,33529.17939424515,0.0052805375,0.0
0.975609756097561,4009981,0.0069894,0.13297560975609757,0.004091295,17865,18.98570462419412,0.024390243902439025,33.24390243902439,-0.058415722,33609.84466743469,0.004091295,0.0
0.975,4019760,0.006410123,0.1399965517241379,0.0045663286,17905,19.080606932464633,0.025,33.475,-0.045425415,33690.98755669594,0.0045663286,0.0
0.975609756097561,4029761,0.007559829,0.12946341463414635,0.0049293404,17946,18.122789975724476,0.024390243902439025,32.36585365853659,-0.05501935,33777.13794016838,0.0049293404,0.0
0.975609756097561,4039762,0.006250868,0.13092682926829274,0.004770288,17987,18.877056550835405,0.024390243902439025,32.73170731707317,-0.091579504,33853.47274661064,0.004770288,0.0
0.975609756097561,4049763,0.008799672,0.13609756097560977,0.005877858,18028,19.34270343789614,0.024390243902439025,34.02439024390244,-0.05182079,33933.42600917816,0.005877858,0.0
1.0,4059763,0.009570446,0.1465,0.005459765,18068,20.704654853175327,0.0,36.625,-0.07246654,34017.84274482727,0.005459765,0.0
0.9523809523809523,4069855,0.005178087,0.13842120042120043,0.0033169922,18110,19.36148055248885,0.047619047619047616,33.57142857142857,-0.060490876,34095.66402673721,0.0033169922,0.0
1.0,4079855,0.0067313057,0.1379,0.004237071,18150,19.748524792781545,0.0,34.475,-0.0760638,34178.51825809479,0.004237071,0.0
1.0,4089855,0.006614648,0.1358,0.0038314941,18190,19.235066832571093,0.0,33.95,-0.026235813,34258.781962156296,0.0038314941,0.0
1.0,4099855,0.008729089,0.14050000000000004,0.0046412675,18230,19.921115648060518,0.0,35.125,0.015713667,34335.9937441349,0.0046412675,0.0
