surrgain,TimeElapsed,entloss,AttC,meankl,EpisodesSoFar,entropy,MtR,optimgain,AttNC,TtR,Fce,TimestepsSoFar
0.0012417007,49.2614004611969,0.0,0.7954545454545454,0.00564301,176,1.4196634,4.824948700972689,0.0012417007,0.20454545454545456,8.142045454545455,0.0729580533269011,9788
0.001018898,145.69106483459473,0.0,0.6078431372549019,0.0048058624,278,1.4107798,8.788523041962835,0.001018898,0.39215686274509803,14.686274509803921,0.09544797388141042,19996
0.0028615468,228.5677490234375,0.0,0.7394366197183099,0.009142799,420,1.4011706,5.964387898801115,0.0028615468,0.2605633802816901,10.161971830985916,0.08445053218645086,29937
0.0018186569,311.720498085022,0.0,0.5806451612903226,0.007227693,513,1.3741454,8.37369465391301,0.0018186569,0.41935483870967744,14.688172043010752,0.09706190860735991,39903
0.00071813964,393.8000078201294,0.0,0.47297297297297297,0.001011818,587,1.3535769,10.093925013029786,0.00071813964,0.527027027027027,17.58108108108108,0.07426214711929,49766
0.00092689454,455.40519523620605,0.0,0.42028985507246375,0.0023415484,656,1.3189886,10.93906228663047,0.00092689454,0.5797101449275363,19.130434782608695,0.08030323299888517,59847
0.0012892927,557.2755653858185,0.0,0.4444444444444444,0.0033271087,728,1.2769729,10.474187614675499,0.0012892927,0.5555555555555556,18.27777777777778,0.09809788359788361,69911
0.0011253799,636.4463303089142,0.0,0.2857142857142857,0.004290062,784,1.2581599,14.669818512604351,0.0011253799,0.7142857142857143,25.410714285714285,0.12438775510204077,79947
0.0009525604,713.4845540523529,0.0,0.4264705882352941,0.005119739,852,1.2058913,11.357160339349276,0.0009525604,0.5735294117647058,19.88235294117647,0.1180793186052702,89776
0.0010358833,781.5307257175446,0.0,0.4520547945205479,0.0019966934,925,1.1721148,10.458248474588261,0.0010358833,0.547945205479452,18.356164383561644,0.08910981435074908,99877
0.0010569092,861.8975656032562,0.0,0.3220338983050847,0.0018867451,984,1.180663,13.050750067953826,0.0010569092,0.6779661016949152,22.440677966101696,0.09595480225988699,109940
0.0011828423,962.2781865596771,0.0,0.3157894736842105,0.0019374187,1041,1.1775343,13.918347663214995,0.0011828423,0.6842105263157895,24.45614035087719,0.10529103322569748,119764
0.0007920319,1037.9309213161469,0.0,0.3548387096774194,0.0029392806,1103,1.1547455,12.791464225841347,0.0007920319,0.6451612903225806,22.483870967741936,0.09603672549381277,129878
0.0017491379,1110.630662202835,0.0,0.3103448275862069,0.0054684533,1161,1.1096845,13.211875176133022,0.0017491379,0.6896551724137931,23.362068965517242,0.10256685077374733,139926
0.0007111427,1189.2834150791168,0.0,0.3103448275862069,0.00539541,1219,1.0607487,13.120452172586317,0.0007111427,0.6896551724137931,23.086206896551722,0.09342528735632184,149966
0.0012572891,1274.7815024852753,0.0,0.2,0.00374847,1269,1.0169125,14.153581809976744,0.0012572891,0.8,25.48,0.11509333333333333,159984
0.002113411,1369.9357919692993,0.0,0.2909090909090909,0.0047575138,1324,1.0239856,13.509002470885612,0.002113411,0.7090909090909091,23.545454545454547,0.100169696969697,169754
0.0013819891,1449.707030057907,0.0,0.2,0.0031717734,1374,1.0352542,15.262300560783082,0.0013819891,0.8,26.88,0.11661333333333332,179786
0.00043313904,1530.9236726760864,0.0,0.3220338983050847,0.003757319,1433,1.0038514,13.62356043199639,0.00043313904,0.6779661016949152,23.74576271186441,0.09954890307432682,189863
0.00063566817,1621.400228023529,0.0,0.2727272727272727,0.0023592678,1488,0.98279315,13.545808117196184,0.00063566817,0.7272727272727273,23.78181818181818,0.10910664540138225,199912
0.00082094595,1710.520069360733,0.0,0.23076923076923078,0.001274806,1540,0.9919686,14.62259595124478,0.00082094595,0.7692307692307693,25.78846153846154,0.10455621301775146,209938
0.0007471451,1786.5244281291962,0.0,0.23076923076923078,0.0015330305,1592,1.0107363,14.263288628073164,0.0007471451,0.7692307692307693,24.807692307692307,0.09923076923076926,219956
0.0014114868,1867.510757446289,0.0,0.23076923076923078,0.0031895135,1644,0.9697463,13.64623906027708,0.0014114868,0.7692307692307693,23.826923076923077,0.13994871794871797,229970
0.0011865379,1955.23273396492,0.0,0.390625,0.0023669384,1708,0.93180335,11.200214212594396,0.0011865379,0.609375,19.3125,0.08066826923076925,239761
0.0012844099,2042.9878783226013,0.0,0.23076923076923078,0.0016799176,1760,0.95537704,14.156232715896639,0.0012844099,0.7692307692307693,24.71153846153846,0.11800000000000001,249787
0.001815971,2121.75772356987,0.0,0.3333333333333333,0.004191365,1820,0.9698538,12.253571538634851,0.001815971,0.6666666666666666,21.6,0.09293333333333337,259827
0.0014339852,2204.683399438858,0.0,0.3548387096774194,0.005484681,1882,0.91298956,12.242383452872792,0.0014339852,0.6451612903225806,21.419354838709676,0.09486139666784829,269885
0.0012041844,2287.4067208766937,0.0,0.21568627450980393,0.0015495649,1933,0.9006404,14.879014028478267,0.0012041844,0.7843137254901961,25.666666666666668,0.11035294117647063,279910
0.0014985417,2390.316884994507,0.0,0.2857142857142857,0.0020118984,1989,0.8886788,13.84544113472065,0.0014985417,0.7142857142857143,24.0,0.09791269841269844,289934
0.0022610016,2475.886006116867,0.0,0.21568627450980393,0.004891442,2040,0.86612785,14.2350419395447,0.0022610016,0.7843137254901961,24.88235294117647,0.10162962962962964,299967
0.001988565,2554.065820455551,0.0,0.24528301886792453,0.0048469887,2093,0.83233035,14.969195963774045,0.001988565,0.7547169811320755,26.169811320754718,0.11089308176100628,310000
0.0025574677,2644.460686683655,0.0,0.09302325581395349,0.0056344876,2136,0.8559338,17.31371881519244,0.0025574677,0.9069767441860465,29.813953488372093,0.11925581395348842,319754
0.0018648097,2722.708866596222,0.0,0.3442622950819672,0.005254462,2197,0.8381109,13.46322803292734,0.0018648097,0.6557377049180327,23.540983606557376,0.09680249804839966,329839
0.0025559433,2826.626088619232,0.0,0.16666666666666666,0.0053904825,2245,0.81265885,15.833189619214638,0.0025559433,0.8333333333333334,27.625,0.1105,339847
0.0028525486,2899.9897134304047,0.0,0.06976744186046512,0.005434175,2288,0.83838063,17.762440618762604,0.0028525486,0.9302325581395349,30.651162790697676,0.12260465116279072,349852
0.0029319122,2988.1683008670807,0.0,0.2857142857142857,0.006552309,2344,0.803473,14.76211431554899,0.0029319122,0.7142857142857143,25.053571428571427,0.11153586889301174,359900
0.0034338967,3084.023117542267,0.0,0.2982456140350877,0.0067823515,2401,0.7994311,13.414742346128518,0.0034338967,0.7017543859649122,23.63157894736842,0.12363129268392424,369945
0.0026132935,3167.860509634018,0.0,0.3275862068965517,0.0056647155,2459,0.7513127,12.921438888988233,0.0026132935,0.6724137931034483,22.620689655172413,0.10496637395587921,379774
0.0022219578,3261.4060757160187,0.0,0.2857142857142857,0.0038991012,2515,0.7266847,13.847554695568261,0.0022219578,0.7142857142857143,24.0,0.11639097744360902,389812
0.0017925812,3334.7777585983276,0.0,0.23076923076923078,0.0050367373,2567,0.679809,15.411299892574991,0.0017925812,0.7692307692307693,26.846153846153847,0.12153202653202655,399916
0.002289992,3427.6016306877136,0.0,0.16666666666666666,0.0043164343,2615,0.64590514,16.645983251996313,0.002289992,0.8333333333333334,29.104166666666668,0.11870098039215686,409944
0.0016051002,3515.055122613907,0.0,0.14893617021276595,0.0019132831,2662,0.6372987,16.69931999561606,0.0016051002,0.851063829787234,29.0,0.12017021276595746,419955
0.0025425446,3602.5569303035736,0.0,0.21568627450980393,0.0045046723,2713,0.61172694,15.521413111510148,0.0025425446,0.7843137254901961,26.862745098039216,0.10745098039215689,429970
0.0022172455,3694.1142284870148,0.0,0.1836734693877551,0.0034183906,2762,0.6061803,15.639899247092654,0.0022172455,0.8163265306122449,27.367346938775512,0.11282593037214886,439995
0.0028815179,3777.987999200821,0.0,0.2909090909090909,0.0056873625,2817,0.5785502,15.018297574163444,0.0028815179,0.7090909090909091,26.30909090909091,0.13638861340679523,449813
0.0024723785,3877.8635866642,0.0,0.14893617021276595,0.0038441857,2864,0.55221325,17.05076164764953,0.0024723785,0.851063829787234,29.914893617021278,0.12244376899696048,459844
0.002249121,3960.888282775879,0.0,0.1836734693877551,0.004110778,2913,0.512088,16.444595640525907,0.002249121,0.8163265306122449,28.551020408163264,0.11597773654916511,469871
0.002199672,4041.7958450317383,0.0,0.06976744186046512,0.011038719,2956,0.46950215,18.89120627314602,0.002199672,0.9302325581395349,33.372093023255815,0.14316842847075403,479886
0.002788469,4137.503474235535,0.0,0.06976744186046512,0.0038163124,2999,0.46907568,18.861622898093245,0.002788469,0.9302325581395349,32.51162790697674,0.13004651162790698,489893
0.002519423,4219.089640378952,0.0,0.09090909090909091,0.0034067924,3043,0.45121607,18.022502811620946,0.002519423,0.9090909090909091,31.727272727272727,0.12690909090909092,499901
0.0022018615,4315.087543487549,0.0,0.06976744186046512,0.0034449296,3086,0.46946254,18.818515045521828,0.0022018615,0.9302325581395349,33.51162790697674,0.13404651162790696,509904
0.0026454297,4397.199828147888,0.0,0.1111111111111111,0.0036397332,3131,0.473806,17.50963173410646,0.0026454297,0.8888888888888888,30.822222222222223,0.12566913580246916,519917
0.0037881194,4491.258490085602,0.0,0.1111111111111111,0.00560333,3176,0.42567524,18.228216038513292,0.0037881194,0.8888888888888888,31.4,0.1256,529934
0.0033418303,4578.458370447159,0.0,0.1111111111111111,0.0045696152,3221,0.43753138,17.871181346599126,0.0033418303,0.8888888888888888,31.466666666666665,0.12586666666666668,539939
0.0026324005,4660.438855648041,0.0,0.09090909090909091,0.0061462326,3265,0.4069364,17.712037192072007,0.0026324005,0.9090909090909091,30.772727272727273,0.1267712418300654,549973
0.0038414535,4745.697778701782,0.0,0.024390243902439025,0.006175151,3306,0.4424856,18.64590792372409,0.0038414535,0.975609756097561,33.1219512195122,0.1324878048780488,559974
0.004631038,4835.118362188339,0.0,0.09090909090909091,0.006853664,3350,0.48127997,18.657231851538786,0.004631038,0.9090909090909091,33.0,0.13515584415584414,569986
0.0022404976,4924.789831399918,0.0,0.1702127659574468,0.0039364034,3397,0.47089624,16.640999352931427,0.0022404976,0.8297872340425532,29.148936170212767,0.12360283687943263,579760
0.0024743087,5015.341257572174,0.0,0.06976744186046512,0.005286805,3440,0.45933956,18.639971670126425,0.0024743087,0.9302325581395349,33.116279069767444,0.1556279069767442,589771
0.002647783,5101.6612503528595,0.0,0.1111111111111111,0.003573848,3485,0.44198602,17.98324612293154,0.002647783,0.8888888888888888,31.177777777777777,0.13782356902356901,599788
1.9454288e-05,5181.05890417099,0.0,0.047619047619047616,0.014466799,3527,0.41581333,18.810826677965757,1.9454288e-05,0.9523809523809523,32.95238095238095,0.13180952380952382,609794
0.0041852845,5269.269091367722,0.0,0.09090909090909091,0.004790206,3571,0.44688272,17.169057746941977,0.0041852845,0.9090909090909091,30.477272727272727,0.12190909090909091,619798
0.0030555485,5367.276817083359,0.0,0.09090909090909091,0.0063070874,3615,0.4320509,16.679618421628415,0.0030555485,0.9090909090909091,29.90909090909091,0.11963636363636364,629802
0.0022494018,5451.150766134262,0.0,0.047619047619047616,0.0029490818,3657,0.42479017,17.466875740422307,0.0022494018,0.9523809523809523,31.023809523809526,0.12409523809523809,639804
0.0026244323,5537.569726228714,0.0,0.1111111111111111,0.0055861208,3702,0.44304034,15.83785915787818,0.0026244323,0.8888888888888888,27.933333333333334,0.11173333333333334,649809
0.0034344643,5617.317829608917,0.0,0.024390243902439025,0.0046802894,3743,0.4379892,18.47304809742029,0.0034344643,0.975609756097561,32.73170731707317,0.13092682926829272,659820
0.0028676246,5713.770341396332,0.0,0.1111111111111111,0.0056746923,3788,0.4476955,17.276527614750496,0.0028676246,0.8888888888888888,30.711111111111112,0.12284444444444448,669825
0.0035404,5797.0943338871,0.0,0.14893617021276595,0.005024588,3835,0.47384897,16.910641431071067,0.0035404,0.851063829787234,29.70212765957447,0.14236020377584654,679902
0.0031157085,5885.986998319626,0.0,0.13043478260869565,0.005506263,3881,0.46091798,17.107818231894417,0.0031157085,0.8695652173913043,29.630434782608695,0.1401739130434783,689908
0.004259024,5970.604139328003,0.0,0.0,0.005377451,3921,0.4934261,19.322825920725194,0.004259024,1.0,33.825,0.1353,699908
0.004601778,6047.70853805542,0.0,0.1836734693877551,0.006782392,3970,0.53332585,16.41111163726914,0.004601778,0.8163265306122449,28.918367346938776,0.11567346938775513,709931
0.004069606,6140.860893011093,0.0,0.2,0.0072505623,4020,0.4913941,16.153813731582435,0.004069606,0.8,27.8,0.11633193889541714,719999
0.003541214,6223.317057132721,0.0,0.20408163265306123,0.006195218,4069,0.45094135,17.349604878342376,0.003541214,0.7959183673469388,30.183673469387756,0.12745297224096963,729975
0.0039565284,6310.477369785309,0.0,0.14893617021276595,0.008078046,4116,0.40872195,17.717260000832187,0.0039565284,0.851063829787234,30.914893617021278,0.14670019342359766,739992
0.0041019926,6386.375195980072,0.0,0.15217391304347827,0.0067418013,4162,0.37284532,17.99209304140903,0.0041019926,0.8478260869565217,31.02173913043478,0.15258572600492207,749805
0.0029935974,6472.3489944934845,0.0,0.13043478260869565,0.0051304377,4208,0.3777463,18.488282024389836,0.0029935974,0.8695652173913043,32.41304347826087,0.13755784718713782,759859
0.0021189866,6563.635318279266,0.0,0.13043478260869565,0.0034142102,4254,0.3913414,17.78529335657742,0.0021189866,0.8695652173913043,31.0,0.12611441647597255,769883
0.0035633545,6636.23273229599,0.0,0.09090909090909091,0.005120888,4298,0.41052252,18.696123617937396,0.0035633545,0.9090909090909091,32.75,0.131,779889
0.0025420212,6725.717027902603,0.0,0.1111111111111111,0.0104924785,4343,0.41081244,17.493472528539826,0.0025420212,0.8888888888888888,30.77777777777778,0.12574299516908213,789922
0.0025556793,6812.608468294144,0.0,0.13043478260869565,0.0073909434,4389,0.3763612,17.82146159261099,0.0025556793,0.8695652173913043,30.82608695652174,0.12330434782608694,799936
0.0020158095,6909.350439310074,0.0,0.024390243902439025,0.004226371,4430,0.35323662,19.410807335426927,0.0020158095,0.975609756097561,33.73170731707317,0.13492682926829266,809937
0.0033995537,6990.867734670639,0.0,0.09090909090909091,0.0053558606,4474,0.3186083,17.64554287298461,0.0033995537,0.9090909090909091,30.681818181818183,0.12272727272727275,819941
0.0022752045,7071.474937677383,0.0,0.06976744186046512,0.005909513,4517,0.31735697,17.749751127121712,0.0022752045,0.9302325581395349,31.093023255813954,0.12437209302325587,829944
0.0026292878,7166.345805883408,0.0,0.13043478260869565,0.0037105083,4563,0.3114789,16.364929435799063,0.0026292878,0.8695652173913043,28.543478260869566,0.11417391304347829,839950
0.0026577315,7253.047550201416,0.0,0.024390243902439025,0.0040629385,4604,0.27828977,17.936215309518005,0.0026577315,0.975609756097561,31.682926829268293,0.1267317073170732,849951
0.0032981744,7346.809923171997,0.0,0.06976744186046512,0.0045229844,4647,0.27211004,17.527316959791406,0.0032981744,0.9302325581395349,30.674418604651162,0.12269767441860464,859954
0.0025815612,7422.124797105789,0.0,0.047619047619047616,0.0052850847,4689,0.2705176,18.213845226452676,0.0025815612,0.9523809523809523,31.642857142857142,0.12657142857142856,869956
0.0028743776,7515.625365972519,0.0,0.1111111111111111,0.004480868,4734,0.24507011,16.60567570356898,0.0028743776,0.8888888888888888,29.2,0.11680000000000003,879961
0.004639641,7597.598683357239,0.0,0.047619047619047616,0.005901759,4776,0.2268678,18.173739974475644,0.004639641,0.9523809523809523,32.166666666666664,0.12866666666666668,889963
0.0036860122,7694.384349346161,0.0,0.06976744186046512,0.0067908964,4819,0.18727823,17.859978036928347,0.0036860122,0.9302325581395349,31.372093023255815,0.12548837209302324,899966
0.0030983216,7780.825072050095,0.0,0.09090909090909091,0.0062558744,4863,0.1619362,17.886321038730884,0.0030983216,0.9090909090909091,31.545454545454547,0.1310505050505051,909978
0.003704442,7863.865295410156,0.0,0.047619047619047616,0.007061098,4905,0.13449627,18.459110267140424,0.003704442,0.9523809523809523,32.19047619047619,0.13206802721088434,919986
0.0028464722,7964.340182304382,0.0,0.024390243902439025,0.0051258607,4946,0.123087585,18.950773832521467,0.0028464722,0.975609756097561,32.97560975609756,0.15619512195121954,929987
0.0059658713,8043.855046987534,0.0,0.047619047619047616,0.0070751864,4988,0.094516955,17.822863338219456,0.0059658713,0.9523809523809523,31.476190476190474,0.12590476190476194,939989
0.0048034536,8130.750591754913,0.0,0.024390243902439025,0.007289873,5029,0.11621099,18.66816324780316,0.0048034536,0.975609756097561,32.73170731707317,0.13092682926829272,949990
0.0049248682,8205.948756694794,0.0,0.024390243902439025,0.007267951,5070,0.095438905,17.317698874148636,0.0049248682,0.975609756097561,30.48780487804878,0.12195121951219516,959991
0.0037548011,8292.83043384552,0.0,0.06976744186046512,0.0061326115,5113,0.06863918,16.520285600483668,0.0037548011,0.9302325581395349,29.348837209302324,0.11739534883720933,969994
0.0038980576,8374.94072842598,0.0,0.047619047619047616,0.006964786,5155,0.034921635,17.464571090920657,0.0038980576,0.9523809523809523,31.19047619047619,0.12476190476190478,979996
0.004949102,8468.641456365585,0.0,0.024390243902439025,0.005992139,5196,0.034451894,18.267861751878733,0.004949102,0.975609756097561,32.34146341463415,0.1293658536585366,989997
0.002860463,8558.2442715168,0.0,0.024390243902439025,0.005386621,5237,0.028317364,19.956567743576514,0.002860463,0.975609756097561,35.31707317073171,0.14126829268292684,999998
