EpisodesSoFar,surrgain,AttNC,TtR,Fce,meankl,TimeElapsed,entloss,AttC,MtR,entropy,TimestepsSoFar,optimgain
70,0.0004791082,0.6285714285714286,63.94285714285714,0.15035571888720653,0.0056508896,42.51223349571228,0.0,2.3714285714285714,12.69310657221539,1.388717,9764,0.0004791082
147,0.0007089671,0.6363636363636364,63.116883116883116,0.12782733806270258,0.004608078,82.25204730033875,0.0,2.3636363636363638,12.385173784057375,1.3783793,19985,0.0007089671
207,0.00065158156,0.8,76.45,0.15605039376019764,0.0022703493,123.65752673149109,0.0,2.2,14.695074515554781,1.3737764,29966,0.00065158156
267,0.0006289098,0.7333333333333333,75.8,0.15059800604633422,0.0022048473,163.59167909622192,0.0,2.2666666666666666,14.996496688390543,1.36865,39755,0.0006289098
327,0.00090026954,0.85,74.5,0.11169225061551037,0.003908362,206.46375393867493,0.0,2.15,14.308340310746667,1.3771117,49961,0.00090026954
387,0.0008819888,0.7333333333333333,73.35,0.13210061462746592,0.004594947,245.71181392669678,0.0,2.2666666666666666,14.392366847208901,1.3784089,59811,0.0008819888
435,0.0006863439,1.1875,91.375,0.15317605161722805,0.002231719,286.78138518333435,0.0,1.8125,17.65814069139753,1.3603517,69881,0.0006863439
484,0.0007495382,1.1020408163265305,89.3265306122449,0.13301652399396763,0.0021709602,326.01996874809265,0.0,1.8979591836734695,16.90681092876556,1.3636864,79976,0.0007495382
537,0.00068070274,1.0188679245283019,82.24528301886792,0.13655327146264495,0.0017032484,369.2185251712799,0.0,1.9811320754716981,16.025020938959575,1.3605133,89850,0.00068070274
587,0.0006637609,1.08,90.18,0.12434793650793653,0.0021057532,409.7095286846161,0.0,1.92,17.393233873379426,1.3657321,99944,0.0006637609
635,0.0009858281,1.0833333333333333,97.0625,0.14796804415031434,0.0036979378,450.8607966899872,0.0,1.9166666666666667,18.79103363212904,1.3426521,109867,0.0009858281
682,0.0010748088,1.1914893617021276,95.17021276595744,0.12999672667757775,0.0038801911,491.22806096076965,0.0,1.8085106382978724,18.275575150341822,1.3098532,119912,0.0010748088
732,0.001110785,0.94,88.62,0.1384897262061894,0.0028469088,533.0039098262787,0.0,2.06,17.343546329290945,1.2995999,129981,0.001110785
781,0.0014066655,1.1428571428571428,89.63265306122449,0.13824528197099262,0.0046701557,573.0600872039795,0.0,1.8571428571428572,17.29103377421873,1.2897214,139884,0.0014066655
823,0.0011511061,1.5,106.28571428571429,0.1654285714285714,0.0032024395,614.0648832321167,0.0,1.5,20.248668127770454,1.3209639,149888,0.0011511061
871,0.00092352345,1.2083333333333333,90.5,0.14414285714285716,0.0028746119,656.6115427017212,0.0,1.7916666666666667,17.214359791695703,1.296397,159938,0.00092352345
