meankl,Tmt,MtR,Tmc,EpisodesSoFar,TimeElapsed,surrgain,MpbtA,MpbtN,Tbt,Ptt,entropy,optimgain,entloss,AttC,TimestepsSoFar,TtR,AttNC
0.008753732,84.16626506024096,-75.80159785086727,19.698795180722893,830,2030.860437631607,0.024307486,4.8891282533849,95.11087174661486,344745.021686747,81.84150528297742,0.68445456,0.024307486,0.0,1.0,9995,-80.04819277108433,0.0
0.007931308,84.37735849056604,-75.59443393990442,19.459568733153638,1572,3828.9703483581543,0.014556079,4.733298914188457,95.2667010858113,345609.6603773585,82.05975295083768,0.6615962,0.014556079,0.0,1.0,19997,-80.37601078167116,0.0
0.009703891,84.29346092503987,-74.66246480033395,19.585326953748005,2199,5366.806579113007,0.022952517,4.724308028710794,95.27569197128898,345266.0159489633,81.9488693366494,0.61720765,0.022952517,0.0,1.0,29994,-80.30462519936204,0.0
0.009845153,84.29467680608364,-73.67932306005169,19.55893536121673,2725,6643.504059076309,0.027165813,4.674855555488924,95.32514444451097,345270.9961977186,81.97000834525633,0.554687,0.027165813,0.0,1.0,40000,-80.34790874524715,0.0
0.009667807,84.28346456692914,-71.21928388405202,19.57742782152231,3106,7546.43119764328,0.027759232,4.986533164448253,95.01346683555171,345225.07086614176,81.95348936733826,0.47902396,0.027759232,0.0,1.0,49996,-80.0761154855643,0.0
0.0095052095,84.07407407407408,-67.86084859364031,19.8,3376,8167.034338474274,0.026059704,5.503186883310374,94.49681311668972,344367.4074074074,81.74949676235158,0.39309862,0.026059704,0.0,1.0,59981,-79.44444444444444,0.0
0.00905334,83.93788819875776,-61.610077869521795,19.956521739130434,3537,8541.37064909935,0.022675613,6.53749197654666,93.46250802345335,343809.5900621118,81.60680177589663,0.30750608,0.022675613,0.0,0.9937888198757764,69987,-78.45962732919254,0.006211180124223602
0.008283635,84.2871287128713,-55.15978171668161,19.594059405940595,3638,8771.966835021973,0.018450968,8.005766868893883,91.99423313110613,345240.0792079208,81.94283580924183,0.23465577,0.018450968,0.0,0.9405940594059405,79934,-77.54455445544555,0.0594059405940594
0.0070367293,83.93442622950819,-46.86898079774932,19.950819672131146,3699,8919.008784770966,0.008040531,10.256859289649258,89.7431407103508,343795.40983606555,81.61236114290591,0.18586169,0.008040531,0.0,0.8688524590163934,89849,-75.34426229508196,0.13114754098360656
0.0054024574,83.27450980392157,-44.1926036558823,20.647058823529413,3750,9036.526524305344,0.0061595673,9.071000622839252,90.92899937716071,341092.39215686277,80.9711335192683,0.15018186,0.0061595673,0.0,0.803921568627451,99879,-75.72549019607843,0.19607843137254902
0.004643573,83.4186046511628,-42.81115038072879,20.488372093023255,3793,9137.977509975433,0.0033074429,9.026828571992533,90.97317142800745,341682.6046511628,81.11596541546311,0.11748164,0.0033074429,0.0,0.7209302325581395,109888,-75.88372093023256,0.27906976744186046
0.004055926,83.28947368421052,-41.34741085148825,20.55263157894737,3831,9232.025271892548,0.0044528884,7.976760034298882,92.02323996570114,341153.6842105263,81.04459440923786,0.121977784,0.0044528884,0.0,0.47368421052631576,119974,-76.6842105263158,0.5263157894736842
0.0070074545,84.17142857142858,-42.52846561894113,19.65714285714286,3866,9322.522186994553,0.00689347,6.8062747278213935,93.19372527217861,344766.17142857146,81.87627731459473,0.18287118,0.00689347,0.0,0.11428571428571428,129788,-78.48571428571428,0.8857142857142857
0.0034223895,83.475,-41.107465344265194,20.425,3906,9414.431754112244,0.004367591,10.347232509103296,89.65276749089668,341913.6,81.17420958088965,0.17135099,0.004367591,0.0,0.425,139991,-74.85,0.575
0.005078863,82.6,-39.824932560115954,21.314285714285713,3941,9501.958414554596,0.0045440705,10.485403853712814,89.51459614628719,338329.6,80.34826752382673,0.2290669,0.0045440705,0.0,0.17142857142857143,149889,-73.97142857142858,0.8285714285714286
0.004315854,83.3076923076923,-40.724454766223985,20.58974358974359,3980,9597.374793052673,0.0042494857,12.150637016069364,87.84936298393063,341228.3076923077,81.02143034431086,0.1777159,0.0042494857,0.0,0.48717948717948717,159808,-73.17948717948718,0.5128205128205128
0.0057205954,83.10810810810811,-40.226525910973194,20.89189189189189,4017,9684.763283729553,0.0064606294,12.20316605144007,87.79683394855995,340410.8108108108,80.75520270681469,0.2446927,0.0064606294,0.0,0.32432432432432434,169862,-73.0,0.6756756756756757
0.0039514555,84.25,-41.684574609289065,19.65,4057,9776.355361938477,0.005468512,12.96631774256996,87.03368225743003,345088.0,81.89571161934826,0.21601494,0.005468512,0.0,0.425,179986,-73.325,0.575
0.003957296,82.33333333333333,-38.593272323052446,21.61111111111111,4093,9866.841954946518,0.004981751,14.303573548530856,85.69642645146916,337237.3333333333,80.07792480046606,0.24919395,0.004981751,0.0,0.3333333333333333,189865,-70.55555555555556,0.6666666666666666
0.0054501863,82.2,-39.122666573812,21.8,4133,9961.512119293213,0.0061345063,13.606253262049695,86.3937467379503,336691.2,79.9129495110334,0.22279686,0.0061345063,0.0,0.575,199864,-71.025,0.425
0.007117914,82.4054054054054,-38.962865233833725,21.56756756756757,4170,10052.28785943985,0.007498482,13.822245421632305,86.17775457836768,337532.54054054053,80.12232028301248,0.292282,0.007498482,0.0,0.1891891891891892,209981,-71.05405405405405,0.8108108108108109
0.0035525318,82.60526315789474,-38.659538489171815,21.394736842105264,4208,10149.475456953049,0.0054326537,16.470835303040776,83.52916469695924,338351.15789473685,80.28764183371486,0.2694462,0.0054326537,0.0,0.47368421052631576,219927,-69.0,0.5263157894736842
