optimgain,TimestepsSoFar,Tmc,EpisodesSoFar,Ptt,MpbtN,meankl,AttC,Tbt,entloss,MtR,MpbtA,TtR,surrgain,TimeElapsed,entropy,Tmt,AttNC
0.002520955,2509874,20.846153846153847,13119,80.79303416659936,78.55258830993922,0.008183642,0.02564102564102564,340388.10256410256,0.0,-37.21152434441598,21.447411690060775,-65.3076923076923,0.002520955,35786.81808042526,0.14771326,83.1025641025641,0.9743589743589743
0.0035003235,2519877,21.526315789473685,13157,80.16126949872894,78.6753399424926,0.009709929,0.02631578947368421,337596.63157894736,0.0,-36.64320450172008,21.324660057507437,-64.84210526315789,0.0035003235,35895.00381612778,0.14668843,82.42105263157895,0.9736842105263158
0.0038084106,2529936,21.710526315789473,13195,79.98884498046742,79.02428948050401,0.010545738,0.0,336842.1052631579,0.0,-36.96052495015543,20.97571051949599,-65.0,0.0038084106,36001.342685222626,0.15283237,82.23684210526316,1.0
0.0055898195,2539753,22.324324324324323,13232,79.41524719427265,78.5263009229663,0.009934232,0.02702702702702703,334322.1621621622,0.0,-36.1963411447709,21.4736990770337,-64.13513513513513,0.0055898195,36110.50766706467,0.15519136,81.62162162162163,0.972972972972973
0.0024698533,2549871,21.55,13272,80.14319656233798,77.9366463731573,0.009138199,0.125,337612.8,0.0,-36.47799778998845,22.063353626842687,-64.25,0.0024698533,36221.87613940239,0.14292276,82.425,0.875
0.005811232,2559907,21.558139534883722,13315,80.13578600263594,81.283154201099,0.008991263,0.13953488372093023,337586.6046511628,0.0,-40.663675172980874,18.716845798901012,-67.0,0.005811232,36335.93738555908,0.1334321,82.4186046511628,0.8604651162790697
0.004661578,2569881,20.63157894736842,13353,80.992570817403,78.95685319751877,0.008238343,0.05263157894736842,341261.4736842105,0.0,-37.51311192377246,21.043146802481232,-65.78947368421052,0.004661578,36440.27082490921,0.1515116,83.3157894736842,0.9473684210526315
0.0034544647,2579776,20.609756097560975,13394,81.01374890895089,80.31124749003814,0.0074823988,0.12195121951219512,341366.6341463415,0.0,-39.240004445212996,19.68875250996186,-66.95121951219512,0.0034544647,36552.484867334366,0.1534275,83.34146341463415,0.8780487804878049
0.003931378,2589967,21.763157894736842,13432,79.93035883947655,78.30000833195473,0.010334892,0.02631578947368421,336410.94736842107,0.0,-36.279957121917676,21.699991668045275,-64.34210526315789,0.003931378,36659.173530340195,0.14870071,82.13157894736842,0.9736842105263158
0.0060947174,2599822,22.35135135135135,13469,79.40029233761511,78.24654241767334,0.009630772,0.05405405405405406,334432.86486486485,0.0,-35.86676713056854,21.75345758232665,-63.945945945945944,0.0060947174,36768.613903045654,0.16378105,81.64864864864865,0.9459459459459459
0.004680263,2609977,22.307692307692307,13508,79.44167970007673,78.23150455008147,0.009025834,0.1282051282051282,334611.6923076923,0.0,-35.927844684451806,21.768495449918532,-63.92307692307692,0.004680263,36877.82313704491,0.14577352,81.6923076923077,0.8717948717948718
0.0036685516,2619873,21.657894736842106,13546,80.0426605557069,79.12854765571912,0.0100055225,0.0,337165.4736842105,0.0,-37.4969872436285,20.87145234428085,-65.15789473684211,0.0036685516,36986.09466004372,0.15126622,82.3157894736842,1.0
0.0022000321,2629769,21.564102564102566,13585,80.13347251146814,79.39985767778992,0.008556717,0.05128205128205128,337657.4358974359,0.0,-37.63571937670981,20.600142322210083,-65.46153846153847,0.0022000321,37093.73989510536,0.14945656,82.43589743589743,0.9487179487179487
0.0014071655,2639865,21.68421052631579,13623,80.02272328224025,78.97545391125988,0.008861368,0.0,337165.4736842105,0.0,-36.64963182883006,21.02454608874012,-65.02631578947368,0.0014071655,37196.981508016586,0.14306797,82.3157894736842,1.0
0.0032526504,2649950,22.394736842105264,13661,79.36086056967721,78.88987977240622,0.009830113,0.10526315789473684,334255.15789473685,0.0,-36.58084983503388,21.110120227593786,-64.36842105263158,0.0032526504,37307.95368552208,0.14674596,81.60526315789474,0.8947368421052632
0.0025591492,2659973,23.42105263157895,13699,78.40259657452283,78.32659890679507,0.009313499,0.10526315789473684,330051.36842105264,0.0,-36.260111231194,21.673401093204937,-63.18421052631579,0.0025591492,37422.118992090225,0.14342894,80.57894736842105,0.8947368421052632
0.002661273,2670000,21.91891891891892,13736,79.79760528839692,78.69035090874482,0.009184859,0.02702702702702703,336093.4054054054,0.0,-35.97993120545616,21.30964909125517,-64.5945945945946,0.002661273,37528.51921582222,0.13174412,82.05405405405405,0.972972972972973
0.0027056169,2679852,22.18421052631579,13774,79.55154750400885,80.37661057608854,0.009164123,0.10526315789473684,335009.6842105263,0.0,-36.533007731223215,19.623389423911465,-65.73684210526316,0.0027056169,37636.909440517426,0.13415879,81.78947368421052,0.8947368421052632
0.004114746,2689746,21.973684210526315,13812,79.74405497550117,79.73820702438543,0.0089345155,0.07894736842105263,335764.2105263158,0.0,-37.523379329294265,20.261792975614583,-65.39473684210526,0.004114746,37746.74356722832,0.13288489,81.97368421052632,0.9210526315789473
0.0033822975,2699774,22.175,13852,79.56125189184647,80.57610329881506,0.008677547,0.175,335052.8,0.0,-37.70908583925103,19.42389670118494,-65.925,0.0033822975,37858.20222115517,0.12787305,81.8,0.825
0.0029924987,2709817,22.18421052631579,13890,79.557068662562,79.97607122590288,0.009125845,0.07894736842105263,335117.4736842105,0.0,-36.98494597233315,20.02392877409712,-65.44736842105263,0.0029924987,37964.623396873474,0.13015075,81.8157894736842,0.9210526315789473
0.002286345,2719860,22.0,13928,79.72349669915374,79.91544546397641,0.009216564,0.10526315789473684,335764.2105263158,0.0,-36.829854566034754,20.08455453602356,-65.52631578947368,0.002286345,38073.333750486374,0.14757963,81.97368421052632,0.8947368421052632
0.0020691578,2729734,21.8,13968,79.90176932603464,80.50406081699296,0.008102286,0.2,336384.0,0.0,-38.484418062915864,19.495939183007046,-66.1,0.0020691578,38185.88292479515,0.14118193,82.125,0.8
0.0028609054,2739741,21.94871794871795,14007,79.76738135835936,79.54108485564898,0.009152244,0.1794871794871795,335872.0,0.0,-36.70780131357237,20.45891514435101,-65.25641025641026,0.0028609054,38291.16076207161,0.15872681,82.0,0.8205128205128205
0.002106375,2749830,21.44736842105263,14045,80.24306009470138,79.29932290644611,0.010244544,0.05263157894736842,338135.5789473684,0.0,-36.533675238466095,20.700677093553914,-65.47368421052632,0.002106375,38396.38970708847,0.15604766,82.55263157894737,0.9473684210526315
