TimeElapsed,meankl,AttNC,Tbt,entropy,surrgain,entloss,MtR,TtR,MpbtN,Tmc,Ptt,TimestepsSoFar,MpbtA,optimgain,EpisodesSoFar,Tmt,AttC
1557.8946845531464,0.008831249,0.0,328918.0390977444,0.6845383,0.009383484,0.0,-70.96313400025264,-228.22105263157894,94.76056594508964,23.693233082706765,78.1484618233235,9990,5.239434054910265,0.009383484,665,80.30225563909775,3.0
2916.5126991271973,0.010727638,0.0,330055.4013605442,0.65560627,0.0075669093,0.0,-69.82216985151044,-226.72448979591837,93.81031601655495,23.41156462585034,78.41030918802967,19998,6.189683983445066,0.0075669093,1253,80.57993197278911,3.0
3995.984356880188,0.009665259,0.0,331862.4135021097,0.6122201,0.0075120563,0.0,-67.98585415413123,-225.04430379746836,92.62007595766642,22.962025316455698,78.8266742161794,29987,7.379924042333541,0.0075120563,1727,81.0210970464135,3.0
4831.872856616974,0.008993308,0.0,332500.1546961326,0.562756,0.00821897,0.0,-65.37239753996928,-222.7707182320442,91.49365078520792,22.814917127071823,78.96589423896496,39999,8.506349214792056,0.00821897,2089,81.1767955801105,3.0
5393.220554113388,0.008815956,0.0,335189.3333333333,0.50825596,0.009261565,0.0,-61.34123279664692,-219.64285714285714,89.49052823816068,22.134920634920636,79.59537928086708,49906,10.509471761839363,0.009261565,2341,81.83333333333333,3.0
5729.688300609589,0.008292166,0.0,335814.7132867133,0.4612276,0.007064392,0.0,-52.14669441015513,-209.6853146853147,85.279285391756,21.993006993006993,79.72966139407417,59984,14.720714608243995,0.007064392,2484,81.98601398601399,3.0
5880.780992507935,0.006999565,0.28125,330432.0,0.4143457,0.0041751578,0.0,-38.64176393374536,-182.625,75.35292902544434,23.3125,78.50395738128881,69847,24.64707097455567,0.0041751578,2548,80.671875,2.71875
5994.110190868378,0.0069555826,1.3181818181818181,327214.54545454547,0.4306568,0.0040269103,0.0,-32.25808816665411,-164.45454545454547,68.55978687674813,24.113636363636363,77.76340405803938,79908,31.440213123251862,0.0040269103,2592,79.88636363636364,1.6818181818181819
6140.918148994446,0.007217695,0.2711864406779661,330595.7966101695,0.42535928,0.0037027197,0.0,-36.43326807530484,-180.05084745762713,74.30780780197036,23.271186440677965,78.54120320449321,89995,25.69219219802965,0.0037027197,2651,80.71186440677967,2.7288135593220337
6256.279648303986,0.0024980053,1.8095238095238095,323486.4761904762,0.3333165,0.001711851,0.0,-32.011423931913725,-165.14285714285714,69.5806005358407,25.0,76.93232184388272,99929,30.419399464159266,0.001711851,2693,78.97619047619048,1.1904761904761905
6373.410219669342,0.0074024904,2.341463414634146,322884.68292682926,0.32988822,0.0038851395,0.0,-30.927774869663807,-156.8048780487805,66.15371268823375,25.170731707317074,76.77589665835931,109949,33.84628731176623,0.0038851395,2734,78.82926829268293,0.6585365853658537
6485.5361449718475,0.0063100928,1.3953488372093024,325679.62790697673,0.44541132,0.0028799465,0.0,-29.366385005034953,-152.72093023255815,63.94952890577443,24.488372093023255,77.41528424237448,119966,36.050471094225536,0.0028799465,2777,79.51162790697674,1.6046511627906976
