AttNC,meankl,Fce,entropy,AttC,surrgain,EpisodesSoFar,TimeElapsed,entloss,optimgain,TtR,TimestepsSoFar,MtR
0.6986301369863014,0.002464154,0.131286945544555,1.4067353,2.3013698630136985,0.0007045532,73,42.6540744304657,0.0,0.0007045532,61.35616438356164,9763,11.804541829874067
0.525,0.0050273887,0.12819115805718895,1.4216285,2.475,0.00071337685,153,83.00687646865845,0.0,0.00071337685,60.7875,19970,11.937345739184172
0.9818181818181818,0.002045408,0.13980219973263452,1.4237149,2.018181818181818,0.0006551015,208,125.46639370918274,0.0,0.0006551015,81.65454545454546,29884,15.91081815138974
0.8771929824561403,0.004152338,0.11911723105688363,1.4126338,2.1228070175438596,0.00074147235,265,164.7830262184143,0.0,0.00074147235,77.0,39775,14.951455378736172
1.3,0.0045049055,0.1234247963800905,1.4002688,1.7,0.00075405475,315,204.72268772125244,0.0,0.00075405475,86.82,49845,16.670293398489918
1.44,0.0013945356,0.11622199134199133,1.3933493,1.56,0.0011704697,365,244.9045112133026,0.0,0.0011704697,81.9,59891,15.654788903401533
1.553191489361702,0.00539368,0.11470120259019428,1.414906,1.446808510638298,0.0008907874,412,287.6067473888397,0.0,0.0008907874,84.76595744680851,69924,16.082349703709166
1.3636363636363635,0.0039437218,0.13038461538461535,1.4278454,1.6363636363636365,0.0008408737,456,327.2503089904785,0.0,0.0008408737,96.54545454545455,79946,18.29178049603364
1.1346153846153846,0.0020622907,0.14610606834431913,1.4293237,1.8653846153846154,0.0006846461,508,367.9218690395355,0.0,0.0006846461,83.25,89762,15.986041750203135
1.3018867924528301,0.0018350576,0.15257662225001192,1.4346466,1.6981132075471699,0.0007969452,561,407.24863624572754,0.0,0.0007969452,82.75471698113208,99971,16.08916482954754
1.2,0.0029295885,0.1323015750489919,1.4235394,1.8,0.00096832047,611,449.24729776382446,0.0,0.00096832047,88.02,109920,16.754732875372046
1.1063829787234043,0.0022290854,0.1261550751398776,1.410569,1.8936170212765957,0.0008175649,658,490.45158982276917,0.0,0.0008175649,85.97872340425532,119784,16.76304904262528
1.4565217391304348,0.0017073784,0.1484927536231884,1.3955197,1.5434782608695652,0.0008388245,704,530.7667517662048,0.0,0.0008388245,94.1086956521739,129818,18.243606421774896
1.5952380952380953,0.0019379052,0.13680272108843536,1.4058089,1.4047619047619047,0.00062504364,746,571.8367829322815,0.0,0.00062504364,97.64285714285714,139826,18.87330542252227
1.2941176470588236,0.004365404,0.143168416188024,1.3786651,1.7058823529411764,0.0012731486,797,611.8219902515411,0.0,0.0012731486,83.94117647058823,149919,16.099235226236587
1.1956521739130435,0.0052834996,0.13102415458937197,1.38135,1.8043478260869565,0.0011907069,843,653.4055624008179,0.0,0.0011907069,96.52173913043478,159941,18.37534259643194
1.4186046511627908,0.002147896,0.14236621224271587,1.39424,1.5813953488372092,0.0008072238,886,693.9927277565002,0.0,0.0008072238,101.93023255813954,169757,19.587154345489925
1.2222222222222223,0.0018057552,0.13962125603864736,1.387293,1.7777777777777777,0.000587167,931,734.3954563140869,0.0,0.000587167,100.13333333333334,179804,18.970641604440807
1.3953488372093024,0.0020090803,0.14076830318690783,1.3982382,1.6046511627906976,0.0008348743,974,776.3569185733795,0.0,0.0008348743,105.0,189843,20.224972800223505
1.0408163265306123,0.0041789366,0.16831715652768275,1.387537,1.9591836734693877,0.001040154,1023,816.5151913166046,0.0,0.001040154,93.6734693877551,199890,17.741072546694166
1.4090909090909092,0.005346958,0.1348842975206612,1.3995836,1.5909090909090908,0.0014490191,1067,857.1579580307007,0.0,0.0014490191,96.3409090909091,209914,18.432310589172843
1.4883720930232558,0.002352709,0.14450203026947214,1.4034432,1.5116279069767442,0.00055831095,1110,897.4208476543427,0.0,0.00055831095,103.46511627906976,219955,19.893227450149173
1.2,0.0029689493,0.17575876154852904,1.3962306,1.8,0.0011357737,1160,938.3663239479065,0.0,0.0011357737,89.16,229860,17.077298144787527
1.2916666666666667,0.0045389417,0.1336761477357149,1.3835448,1.7083333333333333,0.001025882,1208,978.8676521778107,0.0,0.001025882,90.5,239975,17.206319941506937
1.4666666666666666,0.0044851527,0.15557332562954398,1.3464261,1.5333333333333334,0.0009852407,1253,1020.3555364608765,0.0,0.0009852407,91.73333333333333,249847,17.5432193972559
1.6444444444444444,0.004824777,0.11341733821733825,1.3393552,1.3555555555555556,0.0011580758,1298,1060.915902853012,0.0,0.0011580758,81.53333333333333,259870,15.463431527084564
1.9767441860465116,0.004136087,0.11379083367333064,1.3251553,1.0232558139534884,0.0008560483,1341,1101.2612342834473,0.0,0.0008560483,80.93023255813954,269899,15.3610191442442
1.744186046511628,0.0021093523,0.13804651162790701,1.3331198,1.255813953488372,0.0008508748,1384,1141.5938663482666,0.0,0.0008508748,86.16279069767442,279902,16.581238230994675
1.6511627906976745,0.004721211,0.1223920265780731,1.3460795,1.3488372093023255,0.00077410735,1427,1182.1773006916046,0.0,0.00077410735,89.37209302325581,289913,16.78471692477534
1.7272727272727273,0.0041609127,0.11161038961038967,1.3335078,1.2727272727272727,0.0008327759,1471,1222.009861946106,0.0,0.0008327759,81.3409090909091,299925,15.463770495976833
1.6666666666666667,0.000799172,0.14644897959183673,1.3221049,1.3333333333333333,0.00064275344,1513,1261.7884411811829,0.0,0.00064275344,89.57142857142857,309933,16.95724550592135
2.0238095238095237,0.008022921,0.10447619047619051,1.3414711,0.9761904761904762,0.0008411981,1555,1302.3441059589386,0.0,0.0008411981,78.35714285714286,319957,14.896564593807822
