TimestepsSoFar,AttNC,MtR,EpisodesSoFar,entloss,meankl,Fce,entropy,TimeElapsed,AttC,TtR,optimgain,surrgain
2489995,10.0,142.8784238871937,10532,0.0,0.010174744,1.0,-1.0761763,28602.8084526062,0.0,2500.0,0.00023229273,0.00023229273
2499995,10.0,142.8784238871937,10572,0.0,0.008933204,1.0,-0.97859234,28698.818185329437,0.0,2500.0,0.0004316054,0.0004316054
2509995,10.0,142.8784238871937,10612,0.0,0.010174781,1.0,-1.0761763,28805.64564538002,0.0,2500.0,0.00027421798,0.00027421798
2519995,10.0,142.8784238871937,10652,0.0,0.01017476,1.0,-1.1737682,28903.867810964584,0.0,2500.0,0.00032994515,0.00032994515
2529995,10.0,142.8784238871937,10692,0.0,0.008932114,1.0,-1.0761868,29008.739162921906,0.0,2500.0,0.0006739167,0.0006739167
2539995,10.0,142.8784238871937,10732,0.0,0.008930241,1.0,-0.9786214,29107.668271541595,0.0,2500.0,0.0003943119,0.0003943119
2549995,10.0,142.8784238871937,10772,0.0,0.008933102,1.0,-0.8810369,29204.356526613235,0.0,2500.0,0.0004641652,0.0004641652
2559995,10.0,142.8784238871937,10812,0.0,0.008933034,1.0,-0.7834457,29301.85798382759,0.0,2500.0,0.00080099044,0.00080099044
2569995,10.0,142.8784238871937,10852,0.0,0.008933196,1.0,-0.6858519,29396.711762428284,0.0,2500.0,0.00023462882,0.00023462882
2579995,10.0,142.8784238871937,10892,0.0,0.010172375,1.0,-0.78342783,29485.941229343414,0.0,2500.0,0.00030532142,0.00030532142
2589995,10.0,142.8784238871937,10932,0.0,0.008931671,1.0,-0.6858506,29580.086607933044,0.0,2500.0,0.0003952989,0.0003952989
2599995,10.0,142.8784238871937,10972,0.0,0.010174863,1.0,-0.78344244,29677.12154006958,0.0,2500.0,4.3587017e-05,4.3587017e-05
2609995,10.0,142.8784238871937,11012,0.0,0.008932148,1.0,-0.68585217,29773.232339143753,0.0,2500.0,0.00046155052,0.00046155052
2619995,10.0,142.8784238871937,11052,0.0,0.008933196,1.0,-0.5882589,29872.323130846024,0.0,2500.0,4.2496013e-05,4.2496013e-05
2629995,10.0,142.8784238871937,11092,0.0,0.008933204,1.0,-0.49067125,29972.38792824745,0.0,2500.0,0.0004352742,0.0004352742
2639995,10.0,142.8784238871937,11132,0.0,0.008933204,1.0,-0.39308485,30069.79111623764,0.0,2500.0,0.00017019684,0.00017019684
2649995,10.0,142.8784238871937,11172,0.0,0.010174282,1.0,-0.49066976,30170.777724027634,0.0,2500.0,0.000694184,0.000694184
2659995,10.0,142.8784238871937,11212,0.0,0.008932582,1.0,-0.393085,30272.657965898514,0.0,2500.0,0.00061141886,0.00061141886
2669995,10.0,142.8784238871937,11252,0.0,0.010174863,1.0,-0.49067163,30367.606743574142,0.0,2500.0,0.00051538117,0.00051538117
2679995,10.0,142.8784238871937,11292,0.0,0.010173351,1.0,-0.588257,30474.16374564171,0.0,2500.0,0.0006427639,0.0006427639
2689995,10.0,142.8784238871937,11332,0.0,0.00015002489,1.0,-0.6004618,30574.617885112762,0.0,2500.0,4.6640397e-07,4.6640397e-07
2699995,10.0,142.8784238871937,11372,0.0,0.010174863,1.0,-0.69805235,30671.44939994812,0.0,2500.0,0.00033084676,0.00033084676
2709995,10.0,142.8784238871937,11412,0.0,0.010174781,1.0,-0.79563516,30768.233278036118,0.0,2500.0,0.00015636507,0.00015636507
2719995,10.0,142.8784238871937,11452,0.0,0.008933204,1.0,-0.6980523,30857.591232061386,0.0,2500.0,9.756982e-05,9.756982e-05
2729995,10.0,142.8784238871937,11492,0.0,0.008933102,1.0,-0.6004618,30948.955074071884,0.0,2500.0,5.7182922e-05,5.7182922e-05
2739995,10.0,142.8784238871937,11532,0.0,0.008931628,1.0,-0.50287116,31045.000871181488,0.0,2500.0,5.668043e-05,5.668043e-05
2749995,10.0,142.8784238871937,11572,0.0,0.010174781,1.0,-0.6004643,31132.341473579407,0.0,2500.0,0.00038002784,0.00038002784
2759995,10.0,142.8784238871937,11612,0.0,0.00060504675,1.0,-0.62486994,31235.500115394592,0.0,2500.0,3.98097e-06,3.98097e-06
2769995,10.0,142.8784238871937,11652,0.0,0.010174781,1.0,-0.72245103,31329.376470804214,0.0,2500.0,0.00014243627,0.00014243627
2779995,10.0,142.8784238871937,11692,0.0,0.01017476,1.0,-0.82004523,31429.657536506653,0.0,2500.0,0.00014496397,0.00014496397
2789995,10.0,142.8784238871937,11732,0.0,0.010174863,1.0,-0.9176419,31527.02731537819,0.0,2500.0,0.00055206945,0.00055206945
2799995,10.0,142.8784238871937,11772,0.0,0.008932122,1.0,-0.8200497,31626.918322086334,0.0,2500.0,0.0005284664,0.0005284664
2809995,10.0,142.8784238871937,11812,0.0,0.010174863,1.0,-0.91764313,31722.624555826187,0.0,2500.0,0.00037495064,0.00037495064
2819995,10.0,142.8784238871937,11852,0.0,0.010174781,1.0,-1.0152392,31821.762490272522,0.0,2500.0,0.00018079873,0.00018079873
2829995,10.0,142.8784238871937,11892,0.0,0.010174751,1.0,-1.1128101,31919.564180374146,0.0,2500.0,0.00014890368,0.00014890368
2839995,10.0,142.8784238871937,11932,0.0,0.008933204,1.0,-1.0152391,32015.30806016922,0.0,2500.0,0.00023928871,0.00023928871
2849995,10.0,142.8784238871937,11972,0.0,0.010173789,1.0,-1.1128074,32112.93554353714,0.0,2500.0,0.00064563553,0.00064563553
2859995,10.0,142.8784238871937,12012,0.0,0.008933102,1.0,-1.0152166,32213.506368875504,0.0,2500.0,0.00028418473,0.00028418473
2869995,10.0,142.8784238871937,12052,0.0,0.008933204,1.0,-0.9176419,32309.44791150093,0.0,2500.0,3.8217546e-05,3.8217546e-05
