entloss,EpisodesSoFar,TimestepsSoFar,AttC,MpbtA,optimgain,AttNC,TtR,surrgain,Ptt,Tmt,MpbtN,TimeElapsed,MtR,meankl,Tbt,Tmc,entropy
0.0,673,9988,3.0,5.424449803401351,0.009372101,0.0,-227.62109955423477,0.009372101,78.09885703965122,80.24665676077267,94.5755501965986,1578.9531722068787,-70.84580449829774,0.008509009,328690.30609212484,23.74591381872214,0.6849163
0.0,1254,19989,3.0,6.35844281101372,0.0059248605,0.0,-226.48709122203098,0.0059248605,78.478293153516,80.64888123924268,93.64155718898631,2916.402643918991,-69.67799340559958,0.009379334,330337.81755593803,23.337349397590362,0.65845287
0.0,1752,29982,3.0,7.311153222630606,0.008496189,0.0,-225.10843373493975,0.008496189,78.79824758785661,80.9839357429719,92.68884677736949,4077.5948808193207,-68.32132401948829,0.01000988,331710.2008032129,22.991967871485944,0.61248815
0.0,2130,39985,3.0,8.397348220644588,0.012482071,0.0,-223.5952380952381,0.012482071,79.17110175341269,81.38888888888889,91.60265177935544,4960.638873577118,-65.99212521656432,0.009899998,333368.8888888889,22.59259259259259,0.55217063
0.0,2363,49984,2.995708154506438,10.816149867318659,0.006593791,0.004291845493562232,-218.26609442060087,0.006593791,79.41447194807789,81.62231759656652,89.18385013268133,5507.066757917404,-60.481496908466205,0.009241704,334325.01287553646,22.326180257510728,0.48189154
0.0,2462,59963,2.888888888888889,16.427817796338037,0.0048440765,0.1111111111111111,-203.9090909090909,0.0048440765,79.11492209985538,81.33333333333333,83.57218220366197,5761.847541332245,-48.61862025923603,0.0061542257,333141.3333333333,22.656565656565657,0.4203896
0.0,2522,69881,2.6333333333333333,22.521213972882272,0.003774035,0.36666666666666664,-188.65,0.003774035,78.90505446540254,81.1,77.47878602711772,5925.626989603043,-39.00612134530632,0.0060342043,332185.6,22.883333333333333,0.37789083
0.0,2565,79862,2.046511627906977,27.543843221290896,0.0023336858,0.9534883720930233,-176.30232558139534,0.0023336858,78.83907560008164,81.02325581395348,72.45615677870911,6059.747069358826,-33.77781775951558,0.0053343447,331871.25581395347,22.953488372093023,0.31037855
0.0,2605,89903,1.1,27.865714884700843,0.0033812155,1.9,-172.65,0.0033812155,77.52029760765548,79.625,72.13428511529915,6194.427474975586,-33.35899400525849,0.0033044259,326144.0,24.375,0.30875522
0.0,2646,99785,1.6341463414634145,31.661675012341576,0.0022853923,1.3658536585365855,-162.14634146341464,0.0022853923,76.95782099372542,79.02439024390245,68.33832498765842,6328.07399392128,-31.601095525926333,0.003530212,323683.9024390244,24.975609756097562,0.28213224
