surrgain,Tbt,Tmt,MpbtA,optimgain,EpisodesSoFar,TtR,MtR,AttC,TimestepsSoFar,TimeElapsed,MpbtN,entropy,Ptt,Tmc,AttNC,meankl,entloss
0.025560161,345586.8073619632,84.3717791411043,4.907495933445922,0.025560161,815,-80.22699386503068,-75.88906807098391,1.0,9995,1957.847431898117,95.09250406655381,0.6837621,82.03532178514718,19.48957055214724,0.0,0.009366404,0.0
0.0119776465,345635.9174690509,84.38376891334251,4.6886709072441475,0.0119776465,1542,-80.42503438789547,-75.53746188338752,1.0,19992,3691.6770906448364,95.31132909275564,0.6558499,82.05621743793586,19.464924346629985,0.0,0.009496737,0.0
0.018015115,344851.6923076923,84.1923076923077,4.638986542125584,0.018015115,2166,-80.28044871794872,-74.6002116474312,1.0,29986,5214.599540472031,95.36101345787417,0.6085221,81.86915757110361,19.66826923076923,0.0,0.010392569,0.0
0.02156763,345164.6525911708,84.26871401151631,4.476524726458341,0.02156763,2687,-80.49136276391555,-73.73598584453846,1.0,39987,6487.8513016700745,95.52347527354145,0.5460412,81.9421714421929,19.589251439539346,0.0,0.009978731,0.0
0.023404287,344204.8677248677,84.03439153439153,4.65208519998373,0.023404287,3065,-80.12433862433862,-71.23815377414843,1.0,49975,7416.027610301971,95.34791480001627,0.47188193,81.70462905689963,19.849206349206348,0.0,0.009677368,0.0
0.022094183,345584.48484848486,84.37121212121212,5.451706605747861,0.022094183,3329,-79.77651515151516,-68.08984377776483,0.9962121212121212,59983,8064.97426199913,94.54829339425218,0.39386025,82.05102947243968,19.46969696969697,0.003787878787878788,0.009488022,0.0
0.019005751,344549.05263157893,84.11842105263158,7.0646947043695345,0.019005751,3481,-78.17763157894737,-60.84823482754581,0.9868421052631579,69954,8437.807106494904,92.93530529563047,0.33206043,81.77519419704767,19.776315789473685,0.013157894736842105,0.008354378,0.0
0.017902546,342723.4909090909,83.67272727272727,8.489320698483956,0.017902546,3591,-76.57272727272728,-55.194011051907346,1.0,79809,8714.309667348862,91.51067930151605,0.27133837,81.32881259498433,20.263636363636362,0.0,0.00811438,0.0
0.012145841,342799.0588235294,83.69117647058823,10.857006454873165,0.012145841,3659,-74.63235294117646,-46.99812751133406,0.9411764705882353,89813,8894.843872785568,89.14299354512686,0.22962368,81.4104958164453,20.16176470588235,0.058823529411764705,0.006648291,0.0
0.0075896424,339132.0816326531,82.79591836734694,12.376981585529284,0.0075896424,3708,-72.57142857142857,-41.9600049803665,0.7755102040816326,99812,9033.792573928833,87.62301841447074,0.20552236,80.49815804704042,21.163265306122447,0.22448979591836735,0.0048082056,0.0
0.006015802,339772.95238095237,82.95238095238095,12.788291547713232,0.006015802,3750,-72.35714285714286,-40.59386205199075,0.5238095238095238,109908,9149.271690607071,87.21170845228677,0.19257413,80.61116460191741,21.047619047619047,0.47619047619047616,0.0030796933,0.0
0.007795874,342071.35135135136,83.51351351351352,11.05258995109725,0.007795874,3787,-74.29729729729729,-40.83099876815424,0.32432432432432434,119996,9258.60190486908,88.94741004890274,0.2279341,81.21489470225936,20.37837837837838,0.6756756756756757,0.003823526,0.0
0.005571402,342068.5128205128,83.51282051282051,11.478536325822523,0.005571402,3826,-73.94871794871794,-41.276115515137434,0.3333333333333333,129733,9370.169167757034,88.52146367417748,0.20119832,81.17173272355363,20.435897435897434,0.6666666666666666,0.0025234069,0.0
0.0070748674,341708.8,83.425,10.367520921867357,0.0070748674,3866,-74.8,-41.748113529962936,0.325,139977,9482.89116358757,89.63247907813266,0.18978466,81.10770758541436,20.5,0.675,0.0022196681,0.0
0.004322281,342593.641025641,83.64102564102564,10.642061684578383,0.004322281,3905,-74.74358974358974,-41.583311426061535,0.3076923076923077,149919,9593.99417591095,89.35793831542162,0.16954897,81.37104106155182,20.205128205128204,0.6923076923076923,0.0022176926,0.0
0.006741141,339285.3333333333,82.83333333333333,10.752259500310233,0.006741141,3941,-73.94444444444444,-40.01180546430799,0.25,159918,9706.166013002396,89.24774049968978,0.18852583,80.52031666465648,21.13888888888889,0.75,0.0019853585,0.0
0.005744824,341957.4857142857,83.48571428571428,10.734956399328532,0.005744824,3976,-74.54285714285714,-40.85324601027649,0.17142857142857143,169686,9810.403833389282,89.26504360067148,0.22077957,81.1499125203455,20.457142857142856,0.8285714285714286,0.003609952,0.0
0.007180066,340399.15789473685,83.10526315789474,11.025150029657278,0.007180066,4014,-73.94736842105263,-40.765359231142476,0.3157894736842105,179912,9916.183228492737,88.97484997034272,0.21648458,80.83374285390039,20.789473684210527,0.6842105263157895,0.003043731,0.0
0.006760939,341299.2,83.325,13.066270344488231,0.006760939,4054,-72.475,-40.88187697209428,0.6,189870,10031.253622293472,86.93372965551175,0.20045614,81.03440614111537,20.575,0.4,0.002587865,0.0
0.007448906,338488.8888888889,82.63888888888889,12.186967524710967,0.007448906,4090,-72.61111111111111,-39.62454993078839,0.25,199972,10139.618634462357,87.81303247528903,0.24498713,80.40407230060691,21.25,0.75,0.0036808357,0.0
0.007316293,337817.6,82.475,11.4513668132936,0.007316293,4130,-73.05,-40.90339535061676,0.35,209965,10252.984639406204,88.54863318670638,0.20963335,80.18516735458135,21.5,0.65,0.0024049503,0.0
0.004795298,341811.2,83.45,11.391623629632923,0.004795298,4170,-73.975,-41.771107989346405,0.475,219930,10367.693135261536,88.60837637036707,0.20851381,81.11245114270372,20.5,0.525,0.001962545,0.0
0.0059504546,341477.05263157893,83.36842105263158,12.086499738778002,0.0059504546,4208,-73.3157894736842,-41.04225593129073,0.3684210526315789,229775,10480.991409301758,87.91350026122197,0.21405971,81.07828862132078,20.526315789473685,0.631578947368421,0.002016759,0.0
