TimestepsSoFar,meankl,MtR,AttC,AttNC,surrgain,entloss,optimgain,Fce,TimeElapsed,entropy,TtR,EpisodesSoFar
9938,0.0056584287,7.08290768635033,0.6991869918699187,0.3008130081300813,0.0013675475,0.0,0.0013675475,0.0903812840154703,44.99309825897217,1.4174054,11.959349593495935,123
19806,0.0020014122,7.167701832967096,0.6545454545454545,0.34545454545454546,0.0018197327,0.0,0.0018197327,0.09508746319934608,92.80830264091492,1.4029717,12.4,233
29933,0.0038534256,10.59290962188404,0.4805194805194805,0.5194805194805194,0.0017629885,0.0,0.0017629885,0.08814011051605035,138.05807495117188,1.3725734,18.48051948051948,310
39837,0.003114644,10.835813909601148,0.4657534246575342,0.5342465753424658,0.0025479645,0.0,0.0025479645,0.10105299002676126,183.6942114830017,1.3448484,18.726027397260275,383
49877,0.0009936743,13.281453827715007,0.2857142857142857,0.7142857142857143,0.0012139438,0.0,0.0012139438,0.10826870748299322,227.07726335525513,1.3319881,23.482142857142858,439
59930,0.0021528404,12.381646104560392,0.38461538461538464,0.6153846153846154,0.0017449387,0.0,0.0017449387,0.09013626373626374,276.09837007522583,1.2968566,22.0,504
69779,0.0059260637,12.651471268526418,0.3275862068965517,0.6724137931034483,0.002124443,0.0,0.002124443,0.09794359962875707,322.2177748680115,1.26215,21.82758620689655,562
79845,0.0074657416,12.053979448111253,0.3548387096774194,0.6451612903225806,0.0017270569,0.0,0.0017270569,0.11924693944048785,365.6165862083435,1.2632447,20.887096774193548,624
89903,0.0035701892,12.337550747018176,0.3333333333333333,0.6666666666666666,0.0025679637,0.0,0.0025679637,0.13076467236467235,412.85195541381836,1.2427214,21.4,684
99976,0.005902701,13.625961498328225,0.3220338983050847,0.6779661016949152,0.003259703,0.0,0.003259703,0.1072077368562649,455.25626707077026,1.1988685,23.677966101694917,743
109995,0.008023418,13.19686534808094,0.2727272727272727,0.7272727272727273,0.002938053,0.0,0.002938053,0.0987151515151515,500.85659074783325,1.1986133,23.181818181818183,798
119791,0.003128464,13.601551825755728,0.2909090909090909,0.7090909090909091,0.0020983086,0.0,0.0020983086,0.13167750229568412,547.5846080780029,1.2012534,23.836363636363636,853
129892,0.0034198556,13.371775826289374,0.2982456140350877,0.7017543859649122,0.0029260642,0.0,0.0029260642,0.102978354978355,592.1506667137146,1.1795826,23.45614035087719,910
139971,0.0039155586,12.44249481659582,0.36507936507936506,0.6349206349206349,0.0027792358,0.0,0.0027792358,0.12043235071806499,635.7986483573914,1.1278297,21.92063492063492,973
150000,0.003578216,13.164450874523984,0.2727272727272727,0.7272727272727273,0.002464365,0.0,0.002464365,0.10130909090909093,688.6302020549774,1.1021782,22.654545454545456,1028
159825,0.003633934,12.63763432835347,0.3275862068965517,0.6724137931034483,0.002848994,0.0,0.002848994,0.11522995674719812,728.5521252155304,1.0731997,22.482758620689655,1086
169868,0.0015373534,11.935159210705342,0.3220338983050847,0.6779661016949152,0.002202206,0.0,0.002202206,0.12516446265598807,775.4987671375275,1.0552753,20.8135593220339,1145
179907,0.0042868187,13.824651228667753,0.24528301886792453,0.7547169811320755,0.0020837402,0.0,0.0020837402,0.09688507718696399,822.0383434295654,1.0253665,23.81132075471698,1198
189963,0.003215234,12.867938319770914,0.3103448275862069,0.6896551724137931,0.0027438179,0.0,0.0027438179,0.117545409113625,868.0232679843903,0.99200314,22.448275862068964,1256
199974,0.0020275288,14.726208764261704,0.21568627450980393,0.7843137254901961,0.0022843673,0.0,0.0022843673,0.1031372549019608,914.6514136791229,1.0022645,25.784313725490197,1307
209764,0.0025274379,12.101360710371722,0.3157894736842105,0.6842105263157895,0.0024208147,0.0,0.0024208147,0.10843998886104146,954.0827865600586,1.0008733,21.19298245614035,1364
219975,0.0021084878,13.791581761811441,0.2982456140350877,0.7017543859649122,0.0026058853,0.0,0.0026058853,0.10357922778975409,1001.0727977752686,0.9917413,23.842105263157894,1421
229989,0.0028715204,15.030751257152115,0.23076923076923078,0.7692307692307693,0.0020553553,0.0,0.0020553553,0.130025641025641,1049.221275806427,0.98624325,26.134615384615383,1473
239757,0.00342198,14.895532527858274,0.20408163265306123,0.7959183673469388,0.002488298,0.0,0.002488298,0.11455782312925172,1087.757521867752,0.986267,25.959183673469386,1522
249809,0.0020552136,14.568017775573466,0.2,0.8,0.0025283387,0.0,0.0025283387,0.11814908542437953,1135.3808526992798,0.957738,25.4,1572
259850,0.0015819243,13.527918819379071,0.2727272727272727,0.7272727272727273,0.0020191115,0.0,0.0020191115,0.11812504263413355,1187.050140619278,0.94841874,23.490909090909092,1627
269880,0.0019820782,13.92526276716083,0.25925925925925924,0.7407407407407407,0.0030665947,0.0,0.0030665947,0.1240583613916947,1229.4243531227112,0.93548536,24.074074074074073,1681
279906,0.0012321416,13.759904645770572,0.25925925925925924,0.7407407407407407,0.0020483653,0.0,0.0020483653,0.1364973544973545,1268.972953081131,0.91969854,24.25925925925926,1735
289924,0.002386117,14.792252747868737,0.2,0.8,0.0032258146,0.0,0.0032258146,0.12885714285714284,1310.6056652069092,0.93408865,26.54,1785
299961,0.0016789158,11.837610812779243,0.36507936507936506,0.6349206349206349,0.0018774656,0.0,0.0018774656,0.08222222222222224,1360.2926766872406,0.9476875,20.555555555555557,1848
309756,0.0013507641,14.10922624876343,0.25,0.75,0.001860231,0.0,0.001860231,0.10083150183150187,1404.2714433670044,0.931146,24.78846153846154,1900
319787,0.0028578574,13.510981568988493,0.24528301886792453,0.7547169811320755,0.0026730536,0.0,0.0026730536,0.11849056603773585,1447.656391620636,0.9009996,24.0,1953
329804,0.0041601015,15.634331023830258,0.14893617021276595,0.851063829787234,0.0028185837,0.0,0.0028185837,0.11189168278529983,1501.6566166877747,0.90846795,27.51063829787234,2000
339837,0.0022344617,13.917734495620653,0.2727272727272727,0.7272727272727273,0.002604328,0.0,0.002604328,0.13639669421487605,1546.5171785354614,0.9056955,24.254545454545454,2055
349859,0.004485753,13.282824317115539,0.2857142857142857,0.7142857142857143,0.003933838,0.0,0.003933838,0.11752380952380949,1589.5580475330353,0.879678,23.464285714285715,2111
359879,0.0021121171,16.767219516031005,0.13043478260869565,0.8695652173913043,0.0027672881,0.0,0.0027672881,0.12052173913043482,1630.8943433761597,0.85827625,29.108695652173914,2157
369960,0.0027240745,12.278755833526146,0.3220338983050847,0.6779661016949152,0.0030937865,0.0,0.0030937865,0.09802472923111011,1676.3654754161835,0.85787237,21.76271186440678,2216
379969,0.0035165367,14.19652113128368,0.2830188679245283,0.7169811320754716,0.0034755769,0.0,0.0034755769,0.10839914330512077,1724.242523431778,0.84939724,24.37735849056604,2269
389998,0.004597358,14.566867048982349,0.1836734693877551,0.8163265306122449,0.0033904945,0.0,0.0033904945,0.11765138263097451,1767.9448342323303,0.8603907,25.693877551020407,2318
399764,0.0031416416,13.053474727030833,0.3728813559322034,0.6271186440677966,0.0034393088,0.0,0.0034393088,0.11625367984608984,1814.06445646286,0.8557366,22.491525423728813,2377
409902,0.004674872,14.168576837869209,0.2857142857142857,0.7142857142857143,0.004185025,0.0,0.004185025,0.11241215005786998,1863.124552488327,0.8450261,24.625,2433
419874,0.0032910358,15.149964157121252,0.2909090909090909,0.7090909090909091,0.0039259735,0.0,0.0039259735,0.1197701139211014,1910.2867696285248,0.8239131,26.21818181818182,2488
429799,0.0024866352,14.691455978497938,0.22,0.78,0.0028175216,0.0,0.0028175216,0.12330017764370707,1953.077213525772,0.8448469,25.64,2538
439816,0.0024090847,14.874908048534833,0.21568627450980393,0.7843137254901961,0.002242093,0.0,0.002242093,0.10431372549019609,1995.1841940879822,0.8566339,26.07843137254902,2589
449900,0.0026809638,14.379649810449314,0.25925925925925924,0.7407407407407407,0.0032081937,0.0,0.0032081937,0.11712958525420719,2047.3129267692566,0.8337417,25.25925925925926,2643
459941,0.003936796,15.777018868851298,0.1836734693877551,0.8163265306122449,0.0034573525,0.0,0.0034573525,0.11444897959183677,2094.040594100952,0.82433504,27.877551020408163,2692
469812,0.0029186355,14.32864559248072,0.30357142857142855,0.6964285714285714,0.0037939178,0.0,0.0037939178,0.106507437007437,2133.5754113197327,0.8098692,24.767857142857142,2748
