Tbt,Ptt,entropy,MpbtN,Tmt,TimeElapsed,AttNC,EpisodesSoFar,surrgain,TimestepsSoFar,AttC,entloss,MtR,Tmc,MpbtA,TtR,optimgain,meankl
306549.84126984124,73.02929048817043,0.68470705,97.3406338957665,74.84126984126983,1312.4317717552185,0.0,567,0.002933941,9987,10.0,0.0,-67.0589277090574,29.18342151675485,2.6593661042334444,-728.4656084656085,0.002933941,0.008662511
301953.34171907755,71.93589977695163,0.66029954,96.55254680602859,73.71907756813417,2483.0415828227997,0.0,1044,0.0036793905,19994,10.0,0.0,-64.43397878714576,30.37316561844864,3.447453193971332,-711.6352201257862,0.0036793905,0.008771987
297295.31486146094,70.8252595604861,0.62029034,95.27874665886836,72.58186397984886,3377.5815784931183,0.0,1441,0.0049562603,29996,10.0,0.0,-61.35023734543805,31.581863979848865,4.721253341131754,-691.5113350125945,0.0049562603,0.008856627
294941.78909090906,70.27346185292855,0.58111614,91.05999114197758,72.00727272727272,3980.0541582107544,0.0,1716,0.004106443,39961,10.0,0.0,-55.36241769637329,32.17818181818182,8.94000885802245,-655.5272727272727,0.004106443,0.007527015
291616.72180451127,69.4324414607748,0.55679893,81.03853900328268,71.19548872180451,4278.700186729431,0.007518796992481203,1849,0.0039788005,49989,9.992481203007518,0.0,-42.558841150721335,33.1203007518797,18.9614609967173,-576.8421052631579,0.0039788005,0.008121576
273350.03773584904,64.91192161353463,0.53220075,43.452667221269444,66.73584905660377,4420.960391759872,2.169811320754717,1902,0.0010499047,59853,7.830188679245283,0.0,-17.592923579750533,38.132075471698116,56.54733277873055,-291.6981132075472,0.0010499047,0.007387406
281741.7846153846,67.01707529730358,0.50028354,52.51518031982192,68.78461538461538,4578.082826137543,0.5384615384615384,1967,0.0024559489,69967,9.461538461538462,0.0,-21.958554383146133,35.784615384615385,47.48481968017807,-363.38461538461536,0.0024559489,0.006535464
264996.5714285714,62.949000873100076,0.4190308,35.24720537364245,64.69642857142857,4726.701985836029,4.678571428571429,2023,0.0016315787,79997,5.321428571428571,0.0,-14.743845743891507,40.25,64.75279462635754,-229.28571428571428,0.0016315787,0.0047978796
263899.4285714286,62.71865901666831,0.42889005,33.00927026790339,64.42857142857143,4877.4567694664,4.125,2079,0.0010892374,89928,5.875,0.0,-13.8838686228297,40.482142857142854,66.99072973209658,-213.57142857142858,0.0010892374,0.0036598379
259618.13333333333,61.71018893253288,0.39167485,31.38188295876801,63.38333333333333,5021.555570363998,3.783333333333333,2139,0.0011055899,99915,6.216666666666667,0.0,-13.366329096788764,41.56666666666667,68.61811704123198,-199.5,0.0011055899,0.0030590747
254976.0,60.6151779575961,0.43494436,29.09622200607193,62.25,5176.950871706009,5.316666666666666,2199,0.0015825629,109880,4.683333333333334,0.0,-12.687556983976476,42.75,70.90377799392806,-181.16666666666666,0.0015825629,0.010757424
264549.5873015873,62.82142455872881,0.45143726,40.806313288635465,64.58730158730158,5320.624253749847,0.8253968253968254,2262,0.0017439459,119917,9.174603174603174,0.0,-16.357980237351814,40.3968253968254,59.19368671136455,-265.23809523809524,0.0017439459,0.006986343
254757.77049180327,60.565306165154986,0.37997508,28.2379181105927,62.19672131147541,5480.116655349731,5.852459016393443,2323,0.00074309995,129905,4.147540983606557,0.0,-12.425513566076297,42.80327868852459,71.76208188940731,-175.24590163934425,0.00074309995,0.0040060543
258551.01754385966,61.44663864169297,0.43317562,33.784896668744324,63.12280701754386,5619.925473213196,2.56140350877193,2380,0.0013099468,139977,7.43859649122807,0.0,-13.652211637086735,41.85964912280702,66.21510333125566,-214.73684210526315,0.0013099468,0.0046470403
