AttNC,optimgain,TtR,TimestepsSoFar,AttC,MtR,EpisodesSoFar,meankl,surrgain,entloss,Fce,TimeElapsed,entropy
1.925,0.0015961803,114.375,2839934,1.075,21.633895654256868,13056,0.0077411984,0.0015961803,0.0,0.15250000000000002,14376.81193614006,0.7224785
2.2,0.0009239174,109.2,2849934,0.8,20.695426172184064,13096,0.007584008,0.0009239174,0.0,0.1456,14423.701535463333,0.6997501
1.880952380952381,0.001618933,112.64285714285714,2859951,1.119047619047619,21.45283940275363,13138,0.0065641887,0.001618933,0.0,0.15671920393099747,14474.826041221619,0.70189977
1.8780487804878048,0.0014001206,115.82926829268293,2869873,1.1219512195121952,21.924023903223826,13179,0.0058155297,0.0014001206,0.0,0.1586115710698391,14528.439339876175,0.70359546
1.697674418604651,0.00089350686,107.44186046511628,2879955,1.302325581395349,20.344554672337694,13222,0.0066452185,0.00089350686,0.0,0.1474514958531022,14591.013988256454,0.7086733
1.6904761904761905,0.0010637898,106.5,2889898,1.3095238095238095,20.028148599770297,13264,0.004750057,0.0010637898,0.0,0.14782196047726853,14640.140381097794,0.7038949
1.7380952380952381,0.00089225057,114.21428571428571,2899988,1.2619047619047619,21.952031596684876,13306,0.008382833,0.00089225057,0.0,0.15568985639977478,14690.131201028824,0.62896746
2.0,0.0011202759,114.8048780487805,2909991,1.0,21.741906496048816,13347,0.007866014,0.0011202759,0.0,0.1530731707317073,14740.1234126091,0.61590445
1.675,0.0010032593,118.05,2919768,1.325,22.619606810575245,13387,0.0058445395,0.0010032593,0.0,0.1607037037037037,14795.398594617844,0.6085828
2.3,0.0010683858,115.875,2929768,0.7,21.913441748279343,13427,0.0042743357,0.0010683858,0.0,0.1545,14847.194249868393,0.6155345
2.261904761904762,0.0014321198,113.64285714285714,2939932,0.7380952380952381,21.691294991295358,13469,0.0055631665,0.0014321198,0.0,0.15429318394024275,14901.043319225311,0.60761184
2.425,0.0013154646,117.525,2949932,0.575,22.06817721083036,13509,0.0063994243,0.0013154646,0.0,0.15669999999999998,14949.312268972397,0.62752277
2.1219512195121952,0.0011274084,105.58536585365853,2959985,0.8780487804878049,19.744448834896193,13550,0.00594665,0.0011274084,0.0,0.14476944316612977,15004.24746465683,0.6457932
2.225,0.0008094971,110.625,2969985,0.775,20.928061255650427,13590,0.0058472045,0.0008094971,0.0,0.14750000000000005,15056.479637622833,0.61139596
2.275,0.0016503276,110.4,2979985,0.725,20.804363680945144,13630,0.006571248,0.0016503276,0.0,0.1472,15108.966650009155,0.6469521
2.275,0.0012713752,117.675,2989985,0.725,21.953585678897614,13670,0.0065558143,0.0012713752,0.0,0.15689999999999998,15160.565340280533,0.68951565
2.073170731707317,0.0019113119,108.58536585365853,2999817,0.926829268292683,20.53166152279837,13711,0.008432062,0.0019113119,0.0,0.1468922506946588,15213.051115989685,0.6109398
1.9285714285714286,0.0007163895,114.78571428571429,3009939,1.0714285714285714,21.458773220740607,13753,0.00554444,0.0007163895,0.0,0.15385989767807956,15264.890516996384,0.6136134
2.1951219512195124,0.00080603076,111.8048780487805,3019940,0.8048780487804879,20.809662154045817,13794,0.006375895,0.00080603076,0.0,0.14907317073170734,15313.985962867737,0.6637022
2.2,0.001473821,112.425,3029940,0.8,20.93985581892904,13834,0.0065210233,0.001473821,0.0,0.14989999999999998,15369.877688407898,0.6129134
2.3,0.00096742297,113.7,3039813,0.7,21.708295634626104,13874,0.008175397,0.00096742297,0.0,0.15263252032520322,15422.981093645096,0.61706513
1.875,0.0013552083,113.175,3049813,1.125,20.95648251496679,13914,0.00943206,0.0013552083,0.0,0.15089999999999998,15474.058227062225,0.55635834
1.880952380952381,0.0011217133,111.57142857142857,3059827,1.119047619047619,20.946954232800685,13956,0.0046624155,0.0011217133,0.0,0.1487619047619048,15522.725715398788,0.54458666
2.0714285714285716,0.0010001856,107.07142857142857,3069829,0.9285714285714286,20.209394797526414,13998,0.0060869176,0.0010001856,0.0,0.14276190476190478,15575.603057384491,0.5267623
2.048780487804878,0.0013599319,112.82926829268293,3079891,0.9512195121951219,21.207819293275094,14039,0.004944612,0.0013599319,0.0,0.15276199734588072,15627.954709768295,0.49031946
2.275,0.0008550069,124.05,3089891,0.725,23.306925999371266,14079,0.0062386123,0.0008550069,0.0,0.16540000000000002,15680.285581588745,0.52303886
1.8095238095238095,0.0014573222,104.0,3099824,1.1904761904761905,19.54048818097453,14121,0.006382175,0.0014573222,0.0,0.14469013371452397,15729.16042470932,0.56258374
1.9024390243902438,0.001570845,118.02439024390245,3109825,1.0975609756097562,21.987230293140495,14162,0.0066300407,0.001570845,0.0,0.15736585365853656,15786.94297838211,0.57599026
1.7560975609756098,0.0011993108,119.48780487804878,3119902,1.2439024390243902,22.18764382570011,14203,0.0067914315,0.0011993108,0.0,0.16260500475134623,15838.663125753403,0.58849555
1.75,0.0019515933,114.225,3129789,1.25,21.633047151455038,14243,0.0076790517,0.0019515933,0.0,0.1537846715328467,15885.72491312027,0.6642221
1.9047619047619047,0.0012151262,112.5,3139837,1.0952380952380953,21.349150031187012,14285,0.007651072,0.0012151262,0.0,0.15173544973544972,15935.006675481796,0.6156599
1.975609756097561,0.00073589984,115.46341463414635,3149984,1.024390243902439,21.67362611038737,14326,0.00893575,0.00073589984,0.0,0.15586527293844366,15993.388361692429,0.5957659
1.55,0.0009169145,113.85,3159807,1.45,21.535956477827998,14366,0.007395221,0.0009169145,0.0,0.15349726027397265,16045.950715780258,0.5671014
1.3181818181818181,0.0015428325,109.5,3169989,1.6818181818181819,20.45731495087567,14410,0.0047036507,0.0015428325,0.0,0.15115968879605243,16097.402029275894,0.5605525
1.4883720930232558,0.00074002636,104.44186046511628,3179815,1.5116279069767442,20.03067283684581,14453,0.0035594646,0.00074002636,0.0,0.14783524769428535,16144.753639221191,0.5711687
1.6341463414634145,0.0009115891,119.1951219512195,3189919,1.3658536585365855,22.71098456338104,14494,0.005781704,0.0009115891,0.0,0.16064811502299664,16200.805121898651,0.60863745
1.7619047619047619,0.0018087666,113.57142857142857,3199956,1.2380952380952381,21.90444296948495,14536,0.0071854186,0.0018087666,0.0,0.1577866285495537,16255.172460794449,0.5872458
1.575,0.0013577087,118.8,3209755,1.425,21.93802041954544,14576,0.0054675783,0.0013577087,0.0,0.16045102040816323,16309.746183395386,0.578978
