Tmt,surrgain,meankl,TtR,AttNC,Tmc,MtR,Ptt,EpisodesSoFar,entloss,MpbtA,Tbt,MpbtN,optimgain,TimeElapsed,TimestepsSoFar,AttC,entropy
80.0948905109489,0.009592687,0.009138755,-227.9956204379562,0.0,23.894890510948905,-71.04338028617157,77.95927199232923,685,0.0,5.085075062826045,328068.6715328467,94.91492493717388,0.009592687,1536.230574131012,10000,3.0,0.68414575
80.50255536626916,0.0063913804,0.00907715,-226.37478705281092,0.0,23.48381601362862,-69.71561936572859,78.341460630496,1272,0.0,6.238588172209063,329738.4667802385,93.76141182779097,0.0063913804,2893.2697761058807,19992,3.0,0.65844977
80.97540983606558,0.01083622,0.01070902,-224.80327868852459,0.0,23.010245901639344,-68.11582916148073,78.78256344705399,1760,0.0,7.427637344503361,331675.2786885246,92.57236265549659,0.01083622,4005.336694717407,29995,3.0,0.61082685
81.41578947368421,0.010302016,0.008981716,-222.93157894736842,0.0,22.576315789473686,-65.79238833615086,79.18768433045321,2140,0.0,8.704794605077582,333479.07368421054,91.29520539492248,0.010302016,4851.416326284409,39995,3.0,0.5556935
81.73234200743494,0.009516061,0.00821756,-218.4200743494424,0.0,22.260223048327138,-61.5314834738416,79.48254542413612,2409,0.0,10.893043899644526,334775.6728624535,89.10695610035543,0.009516061,5453.760632753372,49999,3.0,0.49685404
80.86184210526316,0.0076839956,0.007467336,-206.01315789473685,0.0,23.138157894736842,-52.24463594722493,78.66709050059872,2561,0.0,15.060564149837896,331210.1052631579,84.93943585016211,0.0076839956,5811.514114141464,59926,3.0,0.44047928
80.60227272727273,0.0069869007,0.0050313054,-190.29545454545453,0.03409090909090909,23.397727272727273,-42.78963144688865,78.42688387293357,2649,0.0,21.342425992906247,330146.9090909091,78.65757400709377,0.0069869007,6018.049175739288,69894,2.965909090909091,0.42523286
80.47692307692307,0.0058495575,0.0043550218,-175.01538461538462,0.06153846153846154,23.523076923076925,-35.945050258832794,78.31180073341999,2714,0.0,27.543925474629336,329633.4769230769,72.45607452537067,0.0058495575,6176.498259544373,79902,2.9384615384615387,0.36875182
79.1864406779661,0.006409387,0.0048984336,-168.91525423728814,0.05084745762711865,24.8135593220339,-34.09259354501118,77.10567620770479,2773,0.0,28.93983881836586,324347.66101694916,71.06016118163411,0.006409387,6324.255094528198,89957,2.9491525423728815,0.32521725
79.25531914893617,0.0061623035,0.0034944748,-157.9787234042553,0.8085106382978723,24.74468085106383,-32.04792606754714,77.17519568748783,2820,0.0,33.601805951404856,324629.78723404254,66.39819404859513,0.0061623035,6448.19921207428,99934,2.1914893617021276,0.34958035
78.95833333333333,0.00490746,0.0022711186,-160.1875,0.4583333333333333,25.041666666666668,-32.00580707777922,76.89619121686471,2868,0.0,32.44595545222554,323413.3333333333,67.55404454777445,0.00490746,6572.663678407669,109944,2.5416666666666665,0.35926732
78.97872340425532,0.0047580325,0.003270617,-156.95744680851064,0.5106382978723404,25.02127659574468,-31.2290255033018,76.91584533398131,2915,0.0,33.73314118226867,323496.8510638298,66.26685881773135,0.0047580325,6695.89484000206,119975,2.4893617021276597,0.3429006
79.3913043478261,0.005858124,0.0029726229,-159.58695652173913,0.9130434782608695,24.608695652173914,-31.894810142500823,77.30079975145628,2961,0.0,33.056736126860756,325186.7826086957,66.94326387313924,0.005858124,6812.934056758881,129948,2.0869565217391304,0.34017968
77.73170731707317,0.004199157,0.0038387866,-153.73170731707316,1.1219512195121952,26.26829268292683,-29.694103750350973,75.75087803220237,3002,0.0,34.17218117172738,318389.0731707317,65.8278188282726,0.004199157,6925.523163080215,139847,1.8780487804878048,0.38265845
79.02173913043478,0.0045710104,0.0026010522,-162.3913043478261,0.7391304347826086,24.97826086956522,-32.34205125712985,76.95544040639625,3048,0.0,31.638000861557543,323673.04347826086,68.36199913844243,0.0045710104,7044.572127580643,149779,2.260869565217391,0.3949627
78.91304347826087,0.004067218,0.0023547078,-156.1304347826087,0.9130434782608695,25.08695652173913,-30.4565962680383,76.85599161483572,3094,0.0,34.13470969549977,323227.82608695654,65.86529030450023,0.004067218,7160.814821481705,159933,2.0869565217391304,0.3632829
78.47727272727273,0.005171728,0.0033479647,-156.6818181818182,0.8863636363636364,25.545454545454547,-30.61123998653444,76.43270730594908,3138,0.0,33.51264380012415,321442.9090909091,66.48735619987583,0.005171728,7278.674145460129,169994,2.1136363636363638,0.37232682
78.11904761904762,0.005158399,0.002885367,-156.57142857142858,1.0476190476190477,25.88095238095238,-30.49181969468169,76.11436450450472,3180,0.0,33.30734301180305,319975.61904761905,66.69265698819693,0.005158399,7396.038106679916,179705,1.9523809523809523,0.37485254
