Fce,EpisodesSoFar,optimgain,AttC,AttNC,TimestepsSoFar,TimeElapsed,entloss,TtR,MtR,surrgain,meankl,entropy
0.11009021836199696,13941,0.0016892522,1.3541666666666667,1.6458333333333333,3029896,41057.18807244301,0.0,78.9375,15.25092064667057,0.0016892522,0.0068932204,1.3595793
0.15428787878787878,13989,0.0021144247,1.5208333333333333,1.4791666666666667,3039940,41176.89584851265,0.0,75.875,14.473543269938382,0.0021144247,0.0039591747,1.3412614
0.12416681533586495,14033,0.00060203474,1.1136363636363635,1.8863636363636365,3049771,41306.74977183342,0.0,72.06818181818181,13.651618507196453,0.00060203474,0.00422471,1.366345
0.10220710389885714,14086,0.00027807947,1.509433962264151,1.490566037735849,3059954,41442.322053432465,0.0,66.0,12.772638445127093,0.00027807947,0.006146719,1.3415627
0.10228708133971297,14130,0.00063568115,1.0454545454545454,1.9545454545454546,3069982,41575.08183670044,0.0,75.88636363636364,14.403519512362356,0.00063568115,0.0024330178,1.310794
0.10462869229812119,14175,0.000988301,1.2222222222222223,1.7777777777777777,3079844,41694.546187877655,0.0,75.33333333333333,14.363813130154,0.000988301,0.003426318,1.2971089
0.14830877192982456,14220,0.00068409427,1.2444444444444445,1.7555555555555555,3089873,41813.570521593094,0.0,79.13333333333334,15.195955431527565,0.00068409427,0.0037412567,1.2633054
0.10479001782531196,14265,5.0241597e-05,1.1111111111111112,1.8888888888888888,3099924,41943.35942220688,0.0,73.33333333333333,14.05822005539695,5.0241597e-05,0.0049083317,1.2400408
0.10871646699553682,14309,0.0006976466,1.0681818181818181,1.9318181818181819,3109986,42068.30599689484,0.0,74.93181818181819,14.345670507997717,0.0006976466,0.0020373303,1.2597233
0.11822222222222227,14354,0.00074632367,1.2222222222222223,1.7777777777777777,3119999,42199.84072113037,0.0,72.06666666666666,13.723429791922824,0.00074632367,0.006822458,1.2082658
0.10433285509325685,14395,0.0002562017,0.9024390243902439,2.097560975609756,3129773,42322.071355342865,0.0,76.2439024390244,14.373012238037035,0.0002562017,0.001893367,1.2208662
0.09783093392395723,14438,0.0016430145,1.0,2.0,3139804,42455.92120218277,0.0,70.74418604651163,13.527134102684602,0.0016430145,0.0054905247,1.2253009
0.11177009489366468,14482,0.00021752929,1.2272727272727273,1.7727272727272727,3149862,42579.63445687294,0.0,77.25,14.752819845458237,0.00021752929,0.0018018755,1.2370608
0.11860465116279072,14525,0.00088805746,1.3953488372093024,1.6046511627906976,3159865,42711.26045751572,0.0,88.95348837209302,16.91516014632627,0.00088805746,0.011040462,1.2300214
0.10975609756097565,14566,0.00079587,0.975609756097561,2.024390243902439,3169866,42834.52309393883,0.0,82.3170731707317,15.342519815487817,0.00079587,0.0020271055,1.2513554
0.10604651162790701,14609,0.001105134,1.255813953488372,1.744186046511628,3179873,42954.24658370018,0.0,79.53488372093024,15.216614745721316,0.001105134,0.0034202775,1.2683096
0.10268179562671609,14652,0.0008001709,1.069767441860465,1.930232558139535,3189940,43093.45455431938,0.0,74.51162790697674,14.04126938000252,0.0008001709,0.002411292,1.311032
0.10883720930232564,14695,0.0007888733,1.255813953488372,1.744186046511628,3199951,43215.656103372574,0.0,81.62790697674419,15.562245553686662,0.0007888733,0.0013261938,1.2998558
0.13942857142857146,14737,0.00062112935,1.2857142857142858,1.7142857142857142,3209959,43342.60428071022,0.0,86.78571428571429,16.734565502108637,0.00062112935,0.0013664826,1.2839484
0.11433862433862434,14779,0.0018456395,1.0714285714285714,1.9285714285714286,3219969,43481.10711097717,0.0,81.92857142857143,15.624901120242956,0.0018456395,0.0048223594,1.3017194
0.1077945281965383,14821,0.00083950476,1.0714285714285714,1.9285714285714286,3229958,43609.47989702225,0.0,76.64285714285714,14.516028989346477,0.00083950476,0.0018603443,1.2918216
0.10161038961038965,14865,0.00082789967,1.1136363636363635,1.8863636363636365,3239996,43736.46949338913,0.0,74.11363636363636,14.065487091933152,0.00082789967,0.0044192066,1.2978637
