optimgain,TimeElapsed,meankl,TimestepsSoFar,AttC,MtR,TtR,AttNC,entloss,Fce,surrgain,entropy,EpisodesSoFar
0.0086162705,16157.026690721512,0.005127532,3969996,0.047619047619047616,18.399786059406768,32.69047619047619,0.9523809523809523,0.0,0.13076190476190477,0.0086162705,0.1735916,18250
0.008272171,16197.255902528763,0.0047088712,3979758,0.04878048780487805,19.513551743787282,34.146341463414636,0.9512195121951219,0.0,0.16299778270509976,0.008272171,0.17861122,18291
0.0073918817,16234.979171514511,0.005780117,3989769,0.024390243902439025,20.15370259867165,34.75609756097561,0.975609756097561,0.0,0.1411441241685144,0.0073918817,0.19413045,18332
0.0070715174,16270.964485883713,0.004565527,3999774,0.1111111111111111,18.35100356688256,31.622222222222224,0.8888888888888888,0.0,0.12648888888888887,0.0070715174,0.18798879,18377
0.006497145,16314.74429011345,0.0040439013,4009774,0.0,20.239973162103603,35.95,1.0,0.0,0.14380000000000004,0.006497145,0.17672673,18417
0.0071184034,16359.327644109726,0.0038211548,4019834,0.09090909090909091,17.336706409679604,30.59090909090909,0.9090909090909091,0.0,0.12513397129186607,0.0071184034,0.18399611,18461
0.0064563644,16396.293299913406,0.0033153375,4029836,0.047619047619047616,19.41071889875595,34.04761904761905,0.9523809523809523,0.0,0.1361904761904762,0.0064563644,0.19919734,18503
0.006652018,16437.898594856262,0.0034061794,4039849,0.06976744186046512,17.72959287903447,31.441860465116278,0.9302325581395349,0.0,0.12576744186046515,0.006652018,0.21637946,18546
0.006424158,16474.680351495743,0.0048270877,4049851,0.047619047619047616,19.315870423053518,33.73809523809524,0.9523809523809523,0.0,0.134952380952381,0.006424158,0.1978931,18588
0.007114929,16513.20156145096,0.005173059,4059853,0.047619047619047616,19.27385713768118,33.857142857142854,0.9523809523809523,0.0,0.13542857142857143,0.007114929,0.19391443,18630
0.007962053,16553.453219652176,0.0048860367,4069925,0.047619047619047616,18.991829543658426,33.0,0.9523809523809523,0.0,0.13973339327863327,0.007962053,0.22546946,18672
0.005811258,16595.596722126007,0.0036967362,4079926,0.024390243902439025,19.84759246615059,34.73170731707317,0.975609756097561,0.0,0.13892682926829272,0.005811258,0.21060185,18713
0.007777968,16635.714751005173,0.004768037,4089941,0.06976744186046512,19.541584834898625,34.16279069767442,0.9302325581395349,0.0,0.1366511627906977,0.007777968,0.1920399,18756
0.0069162794,16676.374562978745,0.0041446593,4099944,0.06976744186046512,17.56735343679347,30.906976744186046,0.9302325581395349,0.0,0.12362790697674421,0.0069162794,0.19363214,18799
0.0057258415,16711.087703704834,0.0037040126,4109945,0.024390243902439025,19.141061629027593,33.5609756097561,0.975609756097561,0.0,0.1342439024390244,0.0057258415,0.22092669,18840
0.0067336503,16748.490869760513,0.0035361026,4119945,0.0,20.19359158117401,35.475,1.0,0.0,0.14190000000000005,0.0067336503,0.23332171,18880
0.005840941,16790.542994976044,0.00354852,4129991,0.09090909090909091,17.886265782751426,32.0,0.9090909090909091,0.0,0.1375303971390928,0.005840941,0.22335246,18924
0.0057283547,16826.38245844841,0.0038818812,4139993,0.047619047619047616,19.047853949063718,33.142857142857146,0.9523809523809523,0.0,0.13257142857142856,0.0057283547,0.23171113,18966
0.0060997414,16864.237764120102,0.003447366,4149995,0.047619047619047616,19.213850139749006,33.714285714285715,0.9523809523809523,0.0,0.13485714285714287,0.0060997414,0.22003171,19008
