meankl,TimestepsSoFar,AttNC,entloss,entropy,Fce,surrgain,TimeElapsed,optimgain,EpisodesSoFar,AttC,MtR,TtR
0.010174845,3839835,0.9636363636363636,0.0,2.9060113,0.14484395604395606,9.953626e-06,46957.348423719406,9.953626e-06,19160,2.036363636363636,14.20463882904409,74.01818181818182
0.010174758,3849957,1.0185185185185186,0.0,2.8084385,0.13853754332981383,1.9437663e-05,47075.98547410965,1.9437663e-05,19214,1.9814814814814814,14.580077728925126,75.77777777777777
0.0101737045,3859755,1.2444444444444445,0.0,2.710859,0.12846247987117557,8.539836e-07,47182.144488334656,8.539836e-07,19259,1.7555555555555555,17.472506577078658,90.2
0.010174852,3869863,1.0555555555555556,0.0,2.6132796,0.1343623571254272,4.1229247e-05,47299.7579832077,4.1229247e-05,19313,1.9444444444444444,15.00040505703354,79.16666666666667
0.010174744,3879947,1.1,0.0,2.5156503,0.12935349593495937,1.1983236e-06,47418.041561603546,1.1983236e-06,19363,1.9,16.591372993806566,87.3
0.010174845,3889990,1.1914893617021276,0.0,2.418079,0.1474589390584384,1.4644877e-05,47535.369158029556,1.4644877e-05,19410,1.8085106382978724,16.894909411661025,88.65957446808511
0.008933174,3899768,1.3777777777777778,0.0,2.5156503,0.13189841269841274,3.8037617e-06,47662.10122013092,3.8037617e-06,19455,1.6222222222222222,16.773243512059267,89.66666666666667
0.008933095,3909834,1.1666666666666667,0.0,2.6132796,0.1359782135076252,1.0699208e-05,47770.232429504395,1.0699208e-05,19509,1.8333333333333333,13.99086192305583,73.55555555555556
0.010174776,3919935,1.2727272727272727,0.0,2.5156503,0.11401726354453623,1.1309814e-05,47879.74394059181,1.1309814e-05,19564,1.7272727272727273,14.55535926162866,76.36363636363636
0.008933181,3929782,1.16,0.0,2.6132796,0.13833859387923905,2.1483358e-05,47989.08845639229,2.1483358e-05,19614,1.84,15.333152936421557,80.88
0.008933181,3939829,1.196078431372549,0.0,2.710859,0.1483499245852187,2.7238591e-05,48094.71621656418,2.7238591e-05,19665,1.803921568627451,15.588700197476513,80.05882352941177
0.008933181,3949892,1.3061224489795917,0.0,2.808439,0.1396734693877551,2.408549e-05,48204.29597854614,2.408549e-05,19714,1.6938775510204083,16.777212725586445,87.85714285714286
0.010174758,3960000,1.0555555555555556,0.0,2.710859,0.12874043175797562,1.5780639e-05,48318.95228624344,1.5780639e-05,19768,1.9444444444444444,15.990956955980383,84.11111111111111
0.010174845,3969786,1.2127659574468086,0.0,2.6132796,0.15055319148936172,3.2399494e-05,48423.82546019554,3.2399494e-05,19815,1.7872340425531914,17.18868473693596,90.76595744680851
0.010174852,3979926,1.1785714285714286,0.0,2.5156503,0.1745433697288439,2.0678592e-05,48532.92999744415,2.0678592e-05,19871,1.8214285714285714,14.813737895097473,76.60714285714286
0.010174845,3989820,0.9661016949152542,0.0,2.418079,0.13550428080836857,7.0370486e-05,48638.88253760338,7.0370486e-05,19930,2.0338983050847457,13.378722586613737,69.30508474576271
0.008933095,3999872,1.26,0.0,2.5156503,0.14098666666666665,1.2074788e-06,48764.95404839516,1.2074788e-06,19980,1.74,16.09052373012371,85.32
0.010174445,4009931,1.0612244897959184,0.0,2.418079,0.11613465374582457,2.6407877e-06,48873.97749686241,2.6407877e-06,20029,1.9387755102040816,15.420540902584303,80.51020408163265
0.008933494,4019965,1.2608695652173914,0.0,2.5156503,0.1373830227743271,3.1488038e-05,48979.784224033356,3.1488038e-05,20075,1.7391304347826086,16.51529905686453,86.08695652173913
0.008933181,4029887,1.1372549019607843,0.0,2.6132796,0.12335489818062324,7.640584e-06,49101.76086997986,7.640584e-06,20126,1.8627450980392157,15.30367939407254,79.23529411764706
0.010174776,4039797,1.0566037735849056,0.0,2.5156503,0.12205708445517321,4.519914e-05,49205.67531013489,4.519914e-05,20179,1.9433962264150944,15.238670342015192,79.58490566037736
0.008933181,4049818,1.4222222222222223,0.0,2.6132796,0.12024691358024692,3.4143068e-05,49312.99283003807,3.4143068e-05,20224,1.5777777777777777,16.818972133780775,88.4
0.010174852,4059961,1.0727272727272728,0.0,2.5156503,0.1136234213795711,1.4875794e-05,49430.06223154068,1.4875794e-05,20279,1.9272727272727272,14.8189069600255,76.2
0.008933095,4069974,1.2553191489361701,0.0,2.6132796,0.1566808510638298,2.234904e-05,49528.61111164093,2.234904e-05,20326,1.7446808510638299,16.374604957322166,85.72340425531915
0.008933181,4079844,1.1320754716981132,0.0,2.7108588,0.15450498773461938,3.232549e-05,49645.03506445885,3.232549e-05,20379,1.8679245283018868,14.788062800347788,77.09433962264151
0.010174752,4089972,1.0517241379310345,0.0,2.6132796,0.12982387186849662,2.0880636e-05,49754.51122760773,2.0880636e-05,20437,1.9482758620689655,13.583229205256409,70.86206896551724
0.008933417,4099906,1.0655737704918034,0.0,2.7108588,0.13918182792242575,9.270731e-06,49869.12859916687,9.270731e-06,20498,1.9344262295081966,13.307884900870645,68.75409836065573
0.008933181,4109950,1.04,0.0,2.808439,0.1752581818181818,1.7122904e-05,49988.32366490364,1.7122904e-05,20548,1.96,16.247342863869285,85.32
0.010174744,4119763,1.24,0.0,2.7108588,0.15481680522376173,2.4011231e-05,50089.76207470894,2.4011231e-05,20598,1.76,16.82949986480101,87.42
0.008933494,4129834,1.1320754716981132,0.0,2.808439,0.16674552528492595,3.119405e-05,50207.13932514191,3.119405e-05,20651,1.8679245283018868,15.010996748936178,77.77358490566037
0.010174758,4139930,1.0925925925925926,0.0,2.710859,0.10522633744855965,1.0936991e-05,50320.06090760231,1.0936991e-05,20705,1.9074074074074074,14.519968065240555,75.94444444444444
0.008933174,4149994,1.375,0.0,2.808439,0.12716690121024485,2.0210266e-05,50424.5719909668,2.0210266e-05,20753,1.625,17.48104121014741,90.6875
0.010174752,4159877,1.0384615384615385,0.0,2.710859,0.15276903248110676,5.676015e-06,50545.328137397766,5.676015e-06,20805,1.9615384615384615,14.989773317456876,78.63461538461539
0.010174845,4169945,1.0961538461538463,0.0,2.6132796,0.16436396333681402,2.7280108e-05,50651.33796143532,2.7280108e-05,20857,1.9038461538461537,15.7239481551818,83.01923076923077
0.008933181,4179965,1.3125,0.0,2.710859,0.11541666666666667,2.7957407e-05,50765.13308787346,2.7957407e-05,20905,1.6875,16.639743718847985,86.5625
