entloss,TtR,meankl,entropy,optimgain,AttC,AttNC,TimestepsSoFar,EpisodesSoFar,Fce,surrgain,TimeElapsed,MtR
0.0,100.575,0.011988112,-1.2513026,0.0029627227,0.0,3.0,4059904,17164,0.13410000000000005,0.0029627227,15642.63399887085,19.014136755187003
0.0,124.425,0.0067243185,-1.2460409,0.0023938008,0.0,3.0,4069904,17204,0.1659,0.0023938008,15674.317665815353,23.296217942788612
0.0,100.2,0.007281175,-1.2286506,0.003902769,0.0,3.0,4079904,17244,0.1336,0.003902769,15707.16157913208,19.014389016811315
0.0,82.875,0.007566915,-1.2567014,0.0026014694,0.0,3.0,4089904,17284,0.11050000000000004,0.0026014694,15740.29214143753,15.480754035957101
0.0,97.275,0.007635611,-1.2665321,0.0037617509,0.0,3.0,4099904,17324,0.1297,0.0037617509,15770.360325336456,18.199648533018127
0.0,121.35,0.00880733,-1.2664787,0.0043616355,0.0,3.0,4109904,17364,0.1618,0.0043616355,15802.21396780014,22.88911038485187
0.0,116.1,0.008043492,-1.2867433,0.004235688,0.0,3.0,4119904,17404,0.1548,0.004235688,15833.744511842728,21.68668657424956
0.0,109.65,0.010163491,-1.2782781,0.0029787081,0.0,3.0,4129904,17444,0.1462,0.0029787081,15865.135776758194,20.861927916589146
0.0,87.15,0.008671799,-1.3004174,0.00310935,0.0,3.0,4139904,17484,0.1162,0.00310935,15897.184486627579,16.387789441449076
0.0,101.475,0.007361246,-1.2946899,0.0030011835,0.0,3.0,4149904,17524,0.1353,0.0030011835,15929.499790668488,19.35670745608324
0.0,90.0,0.0070523215,-1.3079956,0.0027648974,0.0,3.0,4159904,17564,0.12000000000000004,0.0027648974,15960.914935112,16.735994863999792
0.0,104.7,0.008036847,-1.3036696,0.003211851,0.0,3.0,4169904,17604,0.1396,0.003211851,15994.180476903915,19.883184857174072
0.0,104.7,0.009311101,-1.309121,0.0020826808,0.0,3.0,4179904,17644,0.1396,0.0020826808,16023.960918188095,19.5851270890207
0.0,112.875,0.0075706462,-1.302136,0.00199634,0.0,3.0,4189904,17684,0.15050000000000002,0.00199634,16054.620749950409,21.551890976787327
0.0,118.425,0.0097889695,-1.3154774,0.0037755587,0.0,3.0,4199904,17724,0.15789999999999998,0.0037755587,16087.312540054321,22.16114330089453
0.0,117.825,0.006956113,-1.330482,0.00249773,0.0,3.0,4209904,17764,0.1571,0.00249773,16116.079414367676,22.176169982252524
0.0,105.375,0.010346399,-1.3441633,0.0037014051,0.0,3.0,4219904,17804,0.1405,0.0037014051,16147.789422273636,19.934190531068786
0.0,91.65,0.0077544763,-1.343995,0.0029865894,0.0,3.0,4229904,17844,0.12220000000000002,0.0029865894,16178.846446037292,17.373968678162726
0.0,102.3,0.006628678,-1.3412707,0.0020075,0.0,3.0,4239904,17884,0.1364,0.0020075,16210.550705432892,19.63495878267741
0.0,96.075,0.0066996296,-1.3339345,0.003027879,0.0,3.0,4249904,17924,0.1281,0.003027879,16241.6493268013,18.02201416043177
0.0,92.025,0.0073591196,-1.3339838,0.0023444793,0.0,3.0,4259904,17964,0.12269999999999999,0.0023444793,16273.538415193558,17.18875081138065
0.0,103.575,0.0073530385,-1.3486304,0.0036488653,0.0,3.0,4269904,18004,0.13810000000000003,0.0036488653,16305.272252082825,19.550384492415564
0.0,97.5,0.006748787,-1.364978,0.003493743,0.0,3.0,4279904,18044,0.13000000000000006,0.003493743,16336.253674507141,18.273781228858148
0.0,76.125,0.0067454795,-1.3391956,0.0024217234,0.0,3.0,4289904,18084,0.10150000000000006,0.0024217234,16368.013220787048,14.523042651673407
0.0,91.875,0.008975357,-1.336426,0.003546001,0.0,3.0,4299904,18124,0.12250000000000003,0.003546001,16397.80281352997,17.24759505350149
0.0,91.35,0.0075609223,-1.3156333,0.0024425231,0.0,3.0,4309904,18164,0.12179999999999999,0.0024425231,16428.70782518387,17.21654316224439
0.0,112.05,0.0059586265,-1.333262,0.0020631393,0.0,3.0,4319904,18204,0.1494,0.0020631393,16459.802098989487,21.084186846784053
0.0,110.85,0.008037293,-1.3159177,0.0032959234,0.0,3.0,4329904,18244,0.14780000000000001,0.0032959234,16490.01974463463,21.093293580715404
0.0,98.325,0.010277433,-1.3408326,0.0026868375,0.0,3.0,4339904,18284,0.1311,0.0026868375,16521.031237363815,18.566352392273753
0.0,98.1,0.010007446,-1.3447732,0.0030227276,0.0,3.0,4349904,18324,0.1308,0.0030227276,16551.868347406387,18.462947277713347
0.0,113.55,0.008533732,-1.3444427,0.0032823405,0.0,3.0,4359904,18364,0.15140000000000003,0.0032823405,16583.29700613022,21.48960801325107
0.0,114.975,0.007880025,-1.3553843,0.0026659826,0.0,3.0,4369904,18404,0.1533,0.0026659826,16612.046306610107,21.303108845429872
0.0,71.1,0.007190699,-1.3440692,0.003961007,0.0,3.0,4379904,18444,0.09480000000000005,0.003961007,16642.343376398087,13.536909794386151
0.0,104.025,0.007839249,-1.3399662,0.002856308,0.0,3.0,4389904,18484,0.13869999999999996,0.002856308,16670.19953894615,19.564354624122362
0.0,76.275,0.007880991,-1.332445,0.0035487844,0.0,3.0,4399904,18524,0.10170000000000004,0.0035487844,16700.74699807167,14.282357355075982
0.0,102.75,0.00936766,-1.3230083,0.0023921658,0.0,3.0,4409904,18564,0.13699999999999998,0.0023921658,16730.142287492752,19.562286289182065
0.0,86.1,0.008098893,-1.3309709,0.0023438924,0.0,3.0,4419904,18604,0.11480000000000001,0.0023438924,16759.346370220184,15.852588318585124
0.0,114.975,0.0062891864,-1.3096205,0.0025131744,0.0,3.0,4429904,18644,0.15329999999999996,0.0025131744,16788.14795899391,21.67297342070727
0.0,105.6,0.00822764,-1.3052589,0.0023023528,0.0,3.0,4439904,18684,0.1408,0.0023023528,16817.843913555145,19.983704302314532
0.0,88.35,0.007019579,-1.3054078,0.0030872421,0.0,3.0,4449904,18724,0.11779999999999997,0.0030872421,16847.107629060745,16.645410125292216
0.0,101.475,0.0098291235,-1.2803539,0.0029362426,0.0,3.0,4459904,18764,0.13530000000000003,0.0029362426,16876.105318784714,19.085725622213126
0.0,96.525,0.012817304,-1.3112695,0.0029338973,0.0,3.0,4469904,18804,0.12869999999999998,0.0029338973,16905.632814884186,18.331331011922416
0.0,129.45,0.0064758323,-1.3103439,0.0027011253,0.0,3.0,4479904,18844,0.17260000000000003,0.0027011253,16935.2072827816,24.633983954518392
0.0,104.025,0.008720797,-1.3090923,0.004379462,0.0,3.0,4489904,18884,0.1387,0.004379462,16965.00256729126,19.781856707051585
0.0,87.15,0.0064539514,-1.3111581,0.0022104888,0.0,3.0,4499904,18924,0.11620000000000001,0.0022104888,16993.720210313797,16.63317120496224
0.0,101.325,0.007351234,-1.3056635,0.0021703928,0.0,3.0,4509904,18964,0.13510000000000005,0.0021703928,17023.09143280983,19.04540686978628
