TtR,entloss,entropy,Ptt,surrgain,EpisodesSoFar,Tmc,MpbtA,TimeElapsed,MpbtN,Tbt,optimgain,TimestepsSoFar,MtR,Tmt,AttC,AttNC,meankl
-727.9057591623036,0.0,0.6842521,72.8436841663771,0.0024405546,573,29.390924956369982,2.4972183829883345,1384.0145144462585,97.50278161701162,305820.369982548,0.0024405546,9988,-67.06590207318254,74.66317626527051,10.0,0.0,0.008983494
-711.8840579710145,0.0,0.6563074,71.93394448748279,0.0033534402,1056,30.368530020703933,3.399580857379113,2514.079144001007,96.60041914262081,301891.3126293996,0.0033534402,19991,-64.54281803386226,73.70393374741201,10.0,0.0,0.010018339
-690.8527131782946,0.0,0.61862266,70.8814472942844,0.004406683,1443,31.51421188630491,4.862165446654124,3439.8873257637024,95.13783455334587,297473.322997416,0.004406683,29993,-61.10891277016327,72.62532299741602,10.0,0.0,0.0079546375
-662.0819112627986,0.0,0.56339127,70.48832850228197,0.004735456,1736,31.945392491467576,8.312787022282018,4075.4139676094055,91.68721297771795,295848.6279863481,0.004735456,39996,-56.36634682153935,72.22866894197952,10.0,0.0,0.0096336
-584.4827586206897,0.0,0.52299696,69.36173752280382,0.004149497,1881,33.2,17.80816506861559,4397.997096538544,82.19183493138442,291352.7172413793,0.004149497,49966,-43.664171237608954,71.13103448275862,10.0,0.0,0.008623771
-333.14814814814815,0.0,0.48011658,65.69995194291333,0.00047260802,1935,37.24074074074074,50.909143585405026,4543.344287157059,49.09085641459497,276404.14814814815,0.00047260802,59994,-19.7519992481869,67.48148148148148,8.407407407407407,1.5925925925925926,0.0040946277
-243.5185185185185,0.0,0.44264138,63.34527097298211,0.00079440826,1989,39.81481481481482,62.633561379528786,4685.687450885773,37.36643862047122,266619.25925925927,0.00079440826,69985,-14.840142141375145,65.0925925925926,7.518518518518518,2.4814814814814814,0.003266767
-287.09090909090907,0.0,0.38048124,64.34838866865557,0.0010682197,2044,38.70909090909091,56.81899319722659,4827.736956119537,43.181006802773425,270708.36363636365,0.0010682197,79900,-17.250255391992102,66.0909090909091,8.327272727272728,1.6727272727272726,0.009975992
-220.7017543859649,0.0,0.3843603,63.55871268667262,0.003028022,2101,39.59649122807018,66.20531158311363,4981.793306350708,33.79468841688636,267605.3333333333,0.003028022,89967,-14.662980543501691,65.33333333333333,3.526315789473684,6.473684210526316,0.007784856
-285.74074074074076,0.0,0.40455094,65.5805316310677,0.001320337,2155,37.388888888888886,57.872116118583115,5120.089453458786,42.127883881416864,276024.8888888889,0.001320337,99899,-17.097602465808894,67.38888888888889,7.62962962962963,2.3703703703703702,0.006769188
-207.6271186440678,0.0,0.35342824,63.16369654681576,0.0014898346,2214,40.016949152542374,68.09658545646487,5276.1454882621765,31.90341454353512,265892.8813559322,0.0014898346,109960,-14.06060084824721,64.91525423728814,2.847457627118644,7.1525423728813555,0.007916015
-221.45454545454547,0.0,0.412372,61.78870236755525,0.0018890912,2269,41.49090909090909,65.350841256075,5426.853487968445,34.64915874392499,259984.29090909092,0.0018890912,119823,-13.939313898190111,63.472727272727276,6.054545454545455,3.9454545454545453,0.0045294603
-192.88135593220338,0.0,0.40496707,61.305908032560446,0.0023720858,2328,42.016949152542374,69.50819062982555,5577.301969051361,30.491809370174437,257978.57627118644,0.0023720858,129828,-13.304884198856938,62.983050847457626,4.305084745762712,5.694915254237288,0.008165199
-257.58620689655174,0.0,0.4313128,63.18984435770209,0.0019427607,2386,39.98275862068966,60.52124579954073,5727.647962331772,39.47875420045925,265957.5172413793,0.0019427607,139840,-15.673496439353833,64.93103448275862,8.46551724137931,1.5344827586206897,0.0076698754
-190.66666666666666,0.0,0.38812727,61.84911283613221,0.0023867441,2446,41.416666666666664,70.14043353671792,5881.7906086444855,29.859566463282057,260164.26666666666,0.0023867441,149889,-13.182433284312053,63.516666666666666,2.6166666666666667,7.383333333333334,0.009918585
-233.75,0.0,0.4450889,62.48052501780898,0.0010398047,2502,40.767857142857146,63.69041711593594,6029.932521104813,36.30958288406408,263094.85714285716,0.0010398047,159944,-14.306340008978124,64.23214285714286,7.910714285714286,2.0892857142857144,0.005700032
-184.0983606557377,0.0,0.38921884,60.47386431118763,0.0033460406,2563,42.90163934426229,70.2442779928346,6187.810902833939,29.755722007165392,254354.88524590165,0.0033460406,169914,-13.181589873914804,62.09836065573771,3.2459016393442623,6.754098360655738,0.00865305
-210.3448275862069,0.0,0.41204968,61.58485972353766,0.0007206671,2621,41.689655172413794,67.05811984504288,6337.652724742889,32.94188015495713,258966.06896551725,0.0007206671,179972,-13.074053051618982,63.224137931034484,7.4655172413793105,2.5344827586206895,0.0064850366
-187.54098360655738,0.0,0.39025486,60.37416642384671,0.0029573257,2682,43.0,69.85038618403915,6493.204668521881,30.14961381596083,253884.8524590164,0.0029573257,189876,-13.228227535341425,61.98360655737705,3.0327868852459017,6.967213114754099,0.0084979385
-220.17543859649123,0.0,0.40215355,62.46765059647806,0.0011279788,2739,40.75438596491228,66.01423670403351,6644.075535535812,33.98576329596647,262862.5964912281,0.0011279788,199883,-13.658255073594429,64.17543859649123,7.4035087719298245,2.5964912280701755,0.007395945
-174.76190476190476,0.0,0.33691907,59.289916328987054,0.0011573164,2802,44.15873015873016,71.25230432441208,6793.241003513336,28.747695675587927,249205.84126984127,0.0011573164,209937,-12.279623655302474,60.84126984126984,4.126984126984127,5.873015873015873,0.0043004337
-159.18032786885246,0.0,0.3862683,59.37638374335429,0.0015566417,2863,44.0655737704918,73.82344871519287,6950.701540231705,26.176551284807122,249587.40983606558,0.0015566417,219879,-10.90090065634651,60.9344262295082,4.704918032786885,5.295081967213115,0.0058490774
-206.83333333333334,0.0,0.35408798,60.72302281287948,0.0013879108,2923,42.63333333333333,67.29786715553684,7094.849248409271,32.70213284446317,255453.86666666667,0.0013879108,229827,-13.04518303054928,62.36666666666667,8.55,1.45,0.006020608
-165.15625,0.0,0.39150694,58.413872441541656,0.0027572543,2987,45.09375,72.42133399921264,7255.27771115303,27.578666000787376,245440.0,0.0027572543,240000,-11.835545629344153,59.921875,3.375,6.625,0.009900325
-198.42105263157896,0.0,0.33565035,60.79654324057309,0.0012471341,3044,42.54385964912281,68.41004554157666,7392.7189173698425,31.589954458423346,255676.63157894736,0.0012471341,249854,-12.454303214014297,62.421052631578945,7.824561403508772,2.175438596491228,0.008491547
-156.40625,0.0,0.31093368,58.5559797981681,0.0016141125,3108,44.953125,73.99490458371075,7551.280957937241,26.005095416289226,246080.0,0.0016141125,259961,-11.375252732534541,60.078125,3.078125,6.921875,0.0051303166
-167.54098360655738,0.0,0.277319,58.1855052128985,0.00063162966,3169,45.36065573770492,71.96423991633297,7705.8200471401215,28.035760083667043,244551.34426229508,0.00063162966,269845,-11.517661222703568,59.704918032786885,4.573770491803279,5.426229508196721,0.005275487
-167.65625,0.0,0.33416992,58.440105984536295,0.0024549025,3233,45.0625,71.96743490459684,7868.070777654648,28.03256509540316,245504.0,0.0024549025,279996,-12.186379064965429,59.9375,2.40625,7.59375,0.005161855
-176.33333333333334,0.0,0.34007192,58.3452754234414,0.0010986364,3293,45.166666666666664,70.66662406640738,8019.825560569763,29.333375933592638,245145.6,0.0010986364,289924,-11.79356837781573,59.85,5.533333333333333,4.466666666666667,0.007534883
-156.66666666666666,0.0,0.39522132,58.23351266769108,0.0037583418,3356,45.301587301587304,73.67819699978129,8177.652472734451,26.32180300021871,244719.74603174604,0.0037583418,299951,-11.230956152470421,59.74603174603175,3.3968253968253967,6.603174603174603,0.01112686
-208.36065573770492,0.0,0.36040413,60.7343101985695,0.0018226086,3417,42.622950819672134,66.83259249461128,8329.0367333889,33.16740750538874,255496.39344262294,0.0018226086,309981,-13.138327738793139,62.377049180327866,7.80327868852459,2.19672131147541,0.008873482
-149.04761904761904,0.0,0.32080716,57.36528187262729,0.00064890384,3480,46.23809523809524,74.58535193208527,8486.073601007462,25.414648067914715,241013.84126984127,0.00064890384,319919,-10.71454557128199,58.84126984126984,2.8412698412698414,7.158730158730159,0.0032684277
