surrgain,entropy,TtR,Tmt,Tmc,Ptt,Tbt,EpisodesSoFar,TimestepsSoFar,AttC,entloss,MtR,TimeElapsed,optimgain,AttNC,MpbtA,MpbtN,meankl
0.008124149,0.68461657,-227.7810218978102,80.1985401459854,23.798540145985402,78.05005532116348,328493.2204379562,685,10000,3.0,0.0,-70.9714910323573,1602.9863877296448,0.008124149,0.0,5.305519533872325,94.69448046612753,0.008572798
0.0053775734,0.65675104,-226.12820512820514,80.5059829059829,23.48034188034188,78.34458305197376,329752.505982906,1270,19995,3.0,0.0,-69.61653464454223,2979.7508726119995,0.0053775734,0.0,6.342381245074369,93.65761875492565,0.009475193
0.009629595,0.6096773,-225.54545454545453,80.86868686868686,23.11717171717172,78.68315616127315,331238.1414141414,1765,30000,3.0,0.0,-68.42575246597917,4127.64848446846,0.009629595,0.0,7.003932735442035,92.99606726455796,0.009922677
0.009951317,0.5469027,-223.82573726541554,81.46380697050938,22.512064343163537,79.2453425932806,333675.7533512064,2138,39998,3.0,0.0,-65.91684438950314,5009.784933567047,0.009951317,0.0,8.391846248553039,91.60815375144706,0.009744443
0.011124032,0.4784588,-218.2622950819672,81.41803278688525,22.561475409836067,79.20040872049556,333488.262295082,2382,49977,3.0,0.0,-60.820432084570236,5589.544420957565,0.011124032,0.0,10.609268189946992,89.39073181005307,0.009416483
0.0061441604,0.4308332,-201.39252336448598,81.28971962616822,22.710280373831775,79.06502411008583,332962.69158878503,2489,59879,3.0,0.0,-47.691333236736305,5857.220098733902,0.0061441604,0.0,17.45777840950862,82.54222159049138,0.0065426617
0.007363145,0.34105754,-186.19230769230768,80.61538461538461,23.384615384615383,78.43965709842905,330200.6153846154,2567,69902,2.9615384615384617,0.0,-39.88214384381308,6060.065325498581,0.007363145,0.038461538461538464,23.052545745334687,76.94745425466529,0.008978888
0.0031681312,0.29769033,-160.5,78.86,25.14,76.80598507047816,323010.56,2617,79845,2.36,0.0,-32.172967483452496,6206.651484012604,0.0031681312,0.64,32.175017748735044,67.82498225126496,0.0069420477
0.0024514354,0.29497865,-159.14634146341464,79.04878048780488,24.951219512195124,76.98212637759123,323783.8048780488,2658,89842,1.5609756097560976,0.0,-31.039829471764754,6337.725301504135,0.0024514354,1.4390243902439024,32.90885203569182,67.09114796430819,0.0036690796
0.0034193187,0.27141643,-165.42857142857142,79.02380952380952,24.976190476190474,76.9585050704288,323681.5238095238,2700,99873,0.6904761904761905,0.0,-32.57248364066599,6472.057209730148,0.0034193187,2.3095238095238093,30.26832328462431,69.73167671537568,0.003709841
0.0028743246,0.2992576,-162.5121951219512,79.34146341463415,24.658536585365855,77.25454906887626,324982.6341463415,2741,109933,1.146341463414634,0.0,-31.537343209388627,6604.201320648193,0.0028743246,1.853658536585366,31.79550190883857,68.20449809116141,0.0040857573
0.0033634414,0.31940705,-153.28571428571428,79.14285714285714,24.857142857142858,77.06983590130537,324169.14285714284,2783,119904,1.4285714285714286,0.0,-31.0089548007517,6737.68953371048,0.0033634414,1.5714285714285714,35.43734863986866,64.56265136013133,0.003519377
0.0025980275,0.31747702,-150.54545454545453,78.06818181818181,25.931818181818183,76.06738285072262,319767.2727272727,2827,129935,1.7045454545454546,0.0,-30.265167497029537,6875.108100652695,0.0025980275,1.2954545454545454,35.812897694762576,64.18710230523742,0.002400333
0.0036579624,0.31412417,-151.66666666666666,78.33333333333333,25.666666666666668,76.31569656766712,320853.3333333333,2872,139912,2.0,0.0,-30.383149068731427,7012.719071388245,0.0036579624,1.0,35.485055927650144,64.51494407234985,0.004952438
0.0023211706,0.3497773,-148.85714285714286,78.11904761904762,25.904761904761905,76.09862312101096,319975.61904761905,2914,149844,1.6666666666666667,0.0,-29.78611377163854,7148.022067308426,0.0023211706,1.3333333333333333,36.493766655635405,63.50623334436458,0.0021891287
0.0029425537,0.3239089,-148.6,78.24444444444444,25.77777777777778,76.2188463320332,320489.2444444444,2959,159859,1.8666666666666667,0.0,-29.773193108007263,7284.365839481354,0.0029425537,1.1333333333333333,36.76172662329341,63.23827337670658,0.0044765715
0.0036697984,0.32994366,-146.11363636363637,78.52272727272727,25.477272727272727,76.49055564530175,321629.0909090909,3003,169844,1.6136363636363635,0.0,-29.31528049168857,7418.479764461517,0.0036697984,1.3863636363636365,38.06407589887062,61.93592410112937,0.0035657617
0.0035686025,0.28997013,-145.72340425531914,78.44680851063829,25.5531914893617,76.42099118783476,321318.12765957444,3050,179846,1.9148936170212767,0.0,-29.465145527766136,7560.0779774188995,0.0035686025,1.0851063829787233,38.15435033319238,61.84564966680762,0.0053926124
0.0026799622,0.33364478,-144.8372093023256,77.37209302325581,26.627906976744185,75.41790135750458,316916.0930232558,3093,189930,1.7209302325581395,0.0,-29.09322704419418,7692.867332458496,0.0026799622,1.2790697674418605,37.58797129220724,62.41202870779275,0.0030902205
0.0028747583,0.32459348,-144.78571428571428,77.0952380952381,26.904761904761905,75.15893477887651,315782.09523809527,3135,199924,1.9761904761904763,0.0,-28.41524636607471,7827.572378396988,0.0028747583,1.0238095238095237,37.409853422633155,62.59014657736683,0.0026054713
0.0030007523,0.33239055,-146.45454545454547,77.56818181818181,26.431818181818183,75.59943630134319,317719.2727272727,3179,209965,2.0454545454545454,0.0,-28.91106151077958,7962.218331336975,0.0030007523,0.9545454545454546,37.12344182048431,62.876558179515705,0.0028094894
0.0033886647,0.3521135,-144.58695652173913,77.67391304347827,26.347826086956523,75.68561834914294,318152.347826087,3225,219977,2.0,0.0,-29.251701009185066,8098.6858150959015,0.0033886647,1.0,38.0030657521182,61.99693424788179,0.003679722
0.003969937,0.3037925,-153.2608695652174,77.43478260869566,26.565217391304348,75.47545746400989,317172.8695652174,3271,229934,2.347826086956522,0.0,-29.849363476280676,8238.392047643661,0.003969937,0.6521739130434783,34.10477314482308,65.89522685517692,0.005810365
0.003874652,0.30800658,-145.1860465116279,78.25581395348837,25.74418604651163,76.24295914473579,320535.81395348837,3314,239908,1.8372093023255813,0.0,-29.16097854594158,8375.415751218796,0.003874652,1.1627906976744187,38.22200208821626,61.77799791178376,0.004342832
0.0034121491,0.2877807,-143.78571428571428,77.11904761904762,26.88095238095238,75.18084674819059,315879.61904761905,3356,249774,1.9761904761904763,0.0,-28.525383242426475,8512.462894439697,0.0034121491,1.0238095238095237,37.91344198410765,62.08655801589234,0.005079789
