optimgain,entloss,MtR,MpbtA,TimeElapsed,TimestepsSoFar,Tbt,AttC,entropy,Tmt,AttNC,TtR,meankl,MpbtN,surrgain,Ptt,Tmc,EpisodesSoFar
0.026628403,0.0,-75.76159545138148,4.932402011144213,2027.8115780353546,9995,344968.1170731707,1.0,0.6844581,84.22073170731707,0.0,-80.0609756097561,0.0088439,95.06759798885543,0.026628403,81.9069819225075,19.62560975609756,820
0.012420487,0.0,-75.51011676359133,4.724120099513275,3834.0239024162292,19996,345382.95652173914,1.0,0.65882695,84.32201086956522,0.0,-80.33559782608695,0.008748569,95.27587990048643,0.012420487,81.98683017918101,19.54211956521739,1556
0.02067684,0.0,-74.90335683848429,4.595584176123545,5389.716240644455,29994,345688.1642969984,1.0,0.6153612,84.39652448657188,0.0,-80.51184834123222,0.009262238,95.40441582387618,0.02067684,82.07714372800369,19.44075829383886,2189
0.022896973,0.0,-73.28605548214755,4.5032354888075865,6644.985327959061,39997,344145.4314115308,1.0,0.5524515,84.01988071570577,0.0,-80.23260437375745,0.009714777,95.49676451119232,0.022896973,81.70684939181007,19.842942345924452,2692
0.025418488,0.0,-71.67139733826151,4.720354987235958,7595.026238679886,49983,345984.66321243526,1.0,0.47749212,84.46891191709845,0.0,-80.47927461139896,0.009540123,95.279645012764,0.025418488,82.14680366508658,19.365284974093264,3078
0.019075723,0.0,-66.45225883649053,5.845922092139556,8191.84263086319,59989,343341.17647058825,0.9957983193277311,0.39296263,83.82352941176471,0.004201680672268907,-78.92436974789916,0.008871556,94.15407790786047,0.019075723,81.5127254754647,20.054621848739497,3316
0.018720938,0.0,-61.433724935128055,7.110845663069968,8566.402638435364,69984,344572.6535947712,0.9869281045751634,0.30808038,84.12418300653594,0.013071895424836602,-78.15032679738562,0.008725479,92.88915433693005,0.018720938,81.79959390536813,19.745098039215687,3469
0.01744538,0.0,-54.32193616377896,8.362095374123605,8826.605383872986,79938,344425.4117647059,0.9901960784313726,0.24220616,84.08823529411765,0.00980392156862745,-77.05882352941177,0.008680735,91.6379046258764,0.01744538,81.74883628708939,19.80392156862745,3571
0.011754409,0.0,-47.35349646678873,9.63957505175595,9002.368506908417,89883,341802.0298507463,0.9552238805970149,0.18970948,83.44776119402985,0.04477611940298507,-75.40298507462687,0.008563319,90.36042494824406,0.011754409,81.09377707386301,20.52238805970149,3638
0.003368689,0.0,-42.32698789918552,10.509894420232314,9130.40142083168,99914,342146.72340425535,0.7872340425531915,0.1611332,83.53191489361703,0.2127659574468085,-74.76595744680851,0.004923348,89.4901055797677,0.003368689,81.2473479836212,20.340425531914892,3685
0.008264676,0.0,-41.460258991991175,9.736426663637253,9239.05270409584,109802,343399.7837837838,0.40540540540540543,0.23386802,83.83783783783784,0.5945945945945946,-75.70270270270271,0.007012691,90.26357333636274,0.008264676,81.53737628321531,20.027027027027028,3722
0.0065222657,0.0,-41.92745715715694,10.689983109269612,9365.1430311203,119853,339694.93333333335,0.7777777777777778,0.17640123,82.93333333333334,0.2222222222222222,-74.08888888888889,0.00632657,89.31001689073038,0.0065222657,80.59216988517184,21.066666666666666,3767
