entloss,optimgain,Tmt,meankl,MtR,TtR,TimestepsSoFar,surrgain,MpbtN,Tbt,TimeElapsed,AttC,entropy,Ptt,MpbtA,Tmc,EpisodesSoFar,AttNC
0.0,0.02303852,84.31113801452784,0.00860022,-75.94200523120885,-80.2179176755448,9996,0.02303852,95.15007452622862,345338.42130750604,2061.4263401031494,1.0,0.6845492,81.97931649673279,4.849925473771114,19.54963680387409,826,0.0
0.0,0.011533494,84.3611859838275,0.008594057,-75.5661022711738,-80.34501347708895,19998,0.011533494,95.2472900698879,345543.4177897574,3911.7978479862213,1.0,0.6592822,82.02375041776781,4.752709930111829,19.502695417789756,1568,0.0
0.0,0.017328193,84.41786283891547,0.009211235,-74.89026586879277,-80.54545454545455,29995,0.017328193,95.41907372520038,345775.56618819776,5483.32225394249,1.0,0.616184,82.08105701729097,4.580926274799346,19.440191387559807,2195,0.0
0.0,0.021813525,84.46198830409357,0.009945829,-73.8382212001915,-80.69980506822613,39978,0.021813525,95.55063833368399,345956.30409356725,6779.10337471962,1.0,0.55475676,82.12368451544381,4.4493616663158155,19.393762183235868,2708,0.0
0.0,0.02468855,84.33333333333333,0.010000993,-72.21515561065003,-80.54257907542579,49994,0.02468855,95.51230222606443,345429.3333333333,7834.143380641937,1.0,0.47768614,82.00748464208155,4.4876977739355235,19.51824817518248,3119,0.0
0.0,0.01891811,83.975,0.007786148,-65.49067794083118,-78.89,59994,0.01891811,93.93799123089106,343961.6,8356.132179021835,0.995,0.3888875,81.64486288859993,6.062008769108964,19.915,3319,0.005
0.0,0.020323187,84.07299270072993,0.009274449,-59.56739882103989,-77.81021897810218,69906,0.020323187,92.53535570605264,344362.9781021898,8718.066498756409,1.0,0.29813045,81.71247191651203,7.464644293947406,19.846715328467152,3456,0.0
0.0,0.012316807,83.31343283582089,0.00823544,-48.08992195865053,-73.77611940298507,79994,0.012316807,88.52812256450444,341251.82089552237,8914.366157531738,0.8955223880597015,0.24276723,81.00455047043788,11.471877435495546,20.611940298507463,3523,0.1044776119402985
0.0,0.002037919,83.0952380952381,0.0014285654,-41.062607618994576,-71.38095238095238,89989,0.002037919,85.84356356368284,340358.09523809527,9046.556591510773,0.5,0.2517917,80.81862502478532,14.156436436317135,20.80952380952381,3565,0.5
0.0,0.0033411519,82.875,0.0028183695,-40.48087587759609,-71.25,99925,0.0033411519,85.93494462459435,339456.0,9186.326325178146,0.35,0.22305699,80.5962660152436,14.065055375405663,21.05,3605,0.65
0.0,0.003035675,83.35897435897436,0.0007640689,-41.101039491191266,-73.02564102564102,109764,0.003035675,87.59876981829757,341438.358974359,9320.93727016449,0.38461538461538464,0.22694394,81.02859483201314,12.401230181702443,20.58974358974359,3644,0.6153846153846154
0.0,0.0032430037,82.61538461538461,0.00672715,-39.857002175331715,-71.84615384615384,119869,0.0032430037,86.94960695529922,338392.6153846154,9447.944107055664,0.4358974358974359,0.17481309,80.33690755143049,13.050393044700767,21.333333333333332,3683,0.5641025641025641
0.0,0.004769177,83.43243243243244,0.0036242385,-41.116019964036646,-74.1891891891892,129904,0.004769177,88.86623342552589,341739.24324324325,9578.375156402588,0.05405405405405406,0.22140892,81.18342055480824,11.133766574474087,20.405405405405407,3720,0.9459459459459459
0.0,0.0043132193,83.08108108108108,0.003223719,-40.39673046058948,-72.5945945945946,139941,0.0043132193,87.34103351871231,340300.1081081081,9702.719581842422,0.21621621621621623,0.24981499,80.77373662296807,12.658966481287697,20.864864864864863,3757,0.7837837837837838
0.0,0.0034298766,82.43589743589743,0.0032818175,-39.85213800973527,-71.25641025641026,149986,0.0034298766,86.371335292696,337657.4358974359,9836.403273820877,0.38461538461538464,0.19379531,80.17063155701732,13.62866470730401,21.512820512820515,3796,0.6153846153846154
0.0,0.0077897245,83.30555555555556,0.006623683,-41.004003034373405,-74.13888888888889,159755,0.0077897245,88.96521643076045,341219.55555555556,9967.245894908905,0.1388888888888889,0.21379958,80.98324684410423,11.034783569239554,20.63888888888889,3832,0.8611111111111112
0.0,0.004096899,82.86486486486487,0.0024483337,-40.37244329713749,-72.5945945945946,169987,0.004096899,87.52824095266887,339414.4864864865,10089.223121643066,0.1891891891891892,0.24189383,80.61275565010749,12.47175904733114,21.027027027027028,3869,0.8108108108108109
0.0,0.003326097,83.02564102564102,0.0018725819,-40.92524673025317,-72.1025641025641,179902,0.003326097,86.805243586418,340073.0256410256,10228.440792560577,0.48717948717948717,0.24060366,80.69908539114472,13.194756413581993,20.94871794871795,3908,0.5128205128205128
0.0,0.0039144624,83.1,0.0026066594,-40.14711357502394,-71.575,189997,0.0039144624,86.11634405967034,340377.6,10358.037091255188,0.4,0.23244666,80.80755011004115,13.883655940329655,20.825,3948,0.6
0.0,0.0027756835,82.15789473684211,0.003932178,-39.10902334462683,-70.8157894736842,199934,0.0027756835,86.18563949731602,336518.7368421053,10488.249607563019,0.39473684210526316,0.19075435,79.91222850148901,13.814360502683993,21.789473684210527,3986,0.6052631578947368
0.0,0.0026057328,83.48571428571428,0.0022572505,-40.07260248272573,-73.0,209805,0.0026057328,87.41237387356216,341957.4857142857,10617.71459031105,0.08571428571428572,0.2113641,81.15197221929907,12.58762612643782,20.457142857142856,4021,0.9142857142857143
0.0,0.004790576,84.32432432432432,0.007487837,-41.42480999429541,-74.29729729729729,219760,0.004790576,88.09769702228132,345392.4324324324,10741.012910842896,0.02702702702702703,0.2799323,81.97193314150486,11.902302977718671,19.56756756756757,4058,0.972972972972973
0.0,0.008166705,83.46153846153847,0.00870963,-39.99216418490669,-71.28205128205128,229970,0.008166705,85.3511114852857,341858.46153846156,10866.474670648575,0.3076923076923077,0.29814973,81.18421534928014,14.648888514714313,20.41025641025641,4097,0.6923076923076923
0.0,0.00553786,82.44444444444444,0.0058528627,-41.252686972242124,-70.68888888888888,239901,0.00553786,85.75088673526898,337692.44444444444,11013.60472369194,0.7333333333333333,0.21036626,80.1735262573488,14.249113264731035,21.511111111111113,4142,0.26666666666666666
