entloss,AttNC,TimestepsSoFar,TtR,AttC,TimeElapsed,Tmc,meankl,entropy,Ptt,EpisodesSoFar,MpbtN,surrgain,optimgain,MtR,MpbtA,Tmt,Tbt
0.0,0.0,9996,-727.8984238178634,10.0,1318.2704122066498,29.367775831873907,0.007977298,0.68514717,72.8600483982859,571,97.49610438445643,0.0026929455,0.0026929455,-67.04010671252226,2.503895615543519,74.66900175131349,305844.23117338005
0.0,0.0,19994,-710.0418410041841,10.0,2412.6041464805603,30.443514644351463,0.0076793553,0.6635447,71.87136053653578,1049,96.41472277650347,0.001718313,0.001718313,-64.3157710536064,3.585277223496545,73.65481171548117,301690.1087866109
0.0,0.0,29983,-692.8232189973614,10.0,3263.6758699417114,31.34300791556728,0.008898489,0.62645835,71.0415347890829,1428,95.18599877086677,0.004916895,0.004916895,-61.15924940957216,4.814001229133172,72.79683377308707,298175.83113456465
0.0,0.0,39998,-657.7254901960785,10.0,3827.7067670822144,31.854901960784314,0.008096641,0.590033,70.57707450249873,1683,90.94772631782645,0.0044730194,0.0044730194,-54.86581562732403,9.052273682173544,72.33333333333333,296277.3333333333
0.0,0.030927835051546393,49883,-555.7731958762887,9.969072164948454,4057.2620561122894,33.28865979381443,0.0053217574,0.58123916,69.29446307017223,1780,78.17857872765076,0.0021023005,0.0021023005,-38.04270143726593,21.82142127234925,71.09278350515464,291196.0412371134
0.0,0.22580645161290322,59960,-442.4193548387097,9.774193548387096,4209.166286230087,34.61290322580645,0.006505476,0.5636342,68.093868413285,1842,63.195053066367024,0.0025514215,0.0025514215,-25.867268273312835,36.80494693363298,69.88709677419355,286257.5483870968
0.0,0.5454545454545454,69805,-332.90909090909093,9.454545454545455,4342.847133159637,37.981818181818184,0.0052625956,0.5067475,65.04056352255068,1897,49.84287682842621,0.0020618688,0.0020618688,-19.74758280909371,50.15712317157379,66.85454545454546,273836.2181818182
0.0,2.6,79916,-234.54545454545453,7.4,4472.098197221756,38.981818181818184,0.0039438,0.407432,64.12712588134627,1952,35.62237944737321,0.001668255,0.001668255,-14.980984416581792,64.37762055262681,65.92727272727272,270038.10909090907
0.0,3.5714285714285716,89815,-211.60714285714286,6.428571428571429,4603.690103054047,40.19642857142857,0.006013899,0.41581964,62.99833529970509,2008,32.67582095639449,0.0024512452,0.0024512452,-14.670608663278102,67.3241790436055,64.75,265216.0
0.0,1.3275862068965518,99961,-241.72413793103448,8.672413793103448,4730.654004335403,39.41379310344828,0.0025721954,0.45486593,63.73506703325165,2066,36.78944157711415,0.0013244494,0.0013244494,-15.285975446907086,63.21055842288584,65.53448275862068,268429.2413793103
