TtR,entropy,TimeElapsed,entloss,TimestepsSoFar,MtR,AttC,EpisodesSoFar,meankl,AttNC,optimgain,surrgain,Fce
33.325,-0.14740539,28637.878209590912,0.0,3569835,19.289668991618356,0.0,15793,0.004063181,1.0,0.0030270615,0.0030270615,0.1333
34.15,-0.17213382,28722.17187309265,0.0,3579835,19.24609658271361,0.0,15833,0.005666284,1.0,0.002258625,0.002258625,0.1366
33.275,-0.17296825,28806.74026966095,0.0,3589835,19.00100675333203,0.0,15873,0.006768013,1.0,0.0038092004,0.0038092004,0.1331
31.4390243902439,-0.11774443,28881.19953083992,0.0,3599836,18.161000256782728,0.024390243902439025,15914,0.006796441,0.975609756097561,0.0038415557,0.0038415557,0.12575609756097564
31.61904761904762,-0.104709364,28961.537285089493,0.0,3609838,17.750468106547924,0.047619047619047616,15956,0.0059141214,0.9523809523809523,0.0039863824,0.0039863824,0.1264761904761905
34.275,-0.13736723,29041.544998407364,0.0,3619838,19.48303404781765,0.0,15996,0.006695186,1.0,0.0029179398,0.0029179398,0.13710000000000006
34.375,-0.10620882,29117.080202817917,0.0,3629838,19.42668114793082,0.0,16036,0.00506936,1.0,0.0034879157,0.0034879157,0.1375
33.85,-0.15322064,29197.791848659515,0.0,3639838,19.394808012869408,0.0,16076,0.0053261025,1.0,0.0027295013,0.0027295013,0.13540000000000005
32.725,-0.09869029,29274.053527116776,0.0,3649838,18.81655253559014,0.0,16116,0.005345333,1.0,0.0029879387,0.0029879387,0.13090000000000007
33.1,-0.12203532,29357.369641065598,0.0,3659838,18.881622001156593,0.0,16156,0.0057185255,1.0,0.0028392863,0.0028392863,0.13240000000000002
33.475,-0.086003274,29434.51749897003,0.0,3669838,19.057928610799376,0.0,16196,0.0049453713,1.0,0.003738089,0.003738089,0.1339
33.1219512195122,-0.11784368,29510.436678171158,0.0,3679839,18.844681436957742,0.024390243902439025,16237,0.0050977846,0.975609756097561,0.003203209,0.003203209,0.1324878048780488
33.68292682926829,-0.17585158,29589.080500364304,0.0,3689840,19.183366272990124,0.024390243902439025,16278,0.006607363,0.975609756097561,0.0021228378,0.0021228378,0.13473170731707318
34.55,-0.15750694,29669.661085367203,0.0,3699840,19.646208267693005,0.0,16318,0.009481097,1.0,0.004181099,0.004181099,0.13820000000000002
33.09756097560975,-0.15351808,29749.46909928322,0.0,3709841,18.904158331209644,0.024390243902439025,16359,0.0058916183,0.975609756097561,0.0034870927,0.0034870927,0.13239024390243903
34.025,-0.18958995,29833.5807929039,0.0,3719841,19.465622831775615,0.0,16399,0.010081918,1.0,0.003234926,0.003234926,0.1361
32.675,-0.15848738,29914.005280017853,0.0,3729841,18.674338879696776,0.0,16439,0.006774488,1.0,0.0041079726,0.0041079726,0.13070000000000007
35.35,-0.12770915,29991.182417154312,0.0,3739841,20.043448164222404,0.0,16479,0.005266391,1.0,0.0033302605,0.0033302605,0.14140000000000003
32.725,-0.13068092,30068.329725265503,0.0,3749841,18.532046659046884,0.0,16519,0.0029844951,1.0,0.0018510529,0.0018510529,0.13090000000000004
34.175,-0.11211722,30153.67767047882,0.0,3759841,19.295935242952588,0.0,16559,0.007024312,1.0,0.0045512803,0.0045512803,0.13670000000000002
36.05,-0.103912376,30229.715992450714,0.0,3769841,20.619164868000247,0.0,16599,0.0064979643,1.0,0.0043705986,0.0043705986,0.14420000000000002
34.073170731707314,-0.1591872,30310.27731370926,0.0,3779842,19.567546796871113,0.024390243902439025,16640,0.0067625977,0.975609756097561,0.004703542,0.004703542,0.13629268292682928
34.58536585365854,-0.15956874,30390.194700956345,0.0,3789843,19.437969670012983,0.024390243902439025,16681,0.008789139,0.975609756097561,0.0018959076,0.0018959076,0.13834146341463413
33.5,-0.12101665,30468.171081781387,0.0,3799843,19.151691959599045,0.0,16721,0.0054993476,1.0,0.002658981,0.002658981,0.134
35.95,-0.14937074,30558.228756904602,0.0,3809843,20.538595128717564,0.0,16761,0.0046454393,1.0,0.0027822822,0.0027822822,0.14379999999999998
34.390243902439025,-0.16332242,30628.57175540924,0.0,3819844,19.504463254953976,0.024390243902439025,16802,0.0032977406,0.975609756097561,0.0026964874,0.0026964874,0.13756097560975614
34.25,-0.15823361,30712.415437459946,0.0,3829844,19.64209377982695,0.0,16842,0.004897136,1.0,0.0027267246,0.0027267246,0.13700000000000004
34.425,-0.19683236,30791.959659337997,0.0,3839844,19.80692312242409,0.0,16882,0.0071490845,1.0,0.003059159,0.003059159,0.13770000000000002
32.390243902439025,-0.18996224,30879.16686606407,0.0,3849845,18.392237862534824,0.024390243902439025,16923,0.008888421,0.975609756097561,0.0035857903,0.0035857903,0.1295609756097561
34.0,-0.19200328,30959.615353107452,0.0,3859845,19.16165490089938,0.0,16963,0.0049330946,1.0,0.0035534988,0.0035534988,0.136
34.325,-0.17141145,31045.507917404175,0.0,3869845,19.729778865640334,0.0,17003,0.006742572,1.0,0.0044010654,0.0044010654,0.1373
33.46341463414634,-0.16317928,31130.763097524643,0.0,3879846,19.246169197438103,0.024390243902439025,17044,0.004472358,0.975609756097561,0.002970723,0.002970723,0.13385365853658537
35.125,-0.18407992,31215.165264606476,0.0,3889846,19.801613296799772,0.0,17084,0.00632367,1.0,0.0032652,0.0032652,0.1405
35.775,-0.17138673,31291.867903470993,0.0,3899846,20.114758249642946,0.0,17124,0.008398927,1.0,0.0035879319,0.0035879319,0.14310000000000003
33.63414634146341,-0.19135447,31364.630093574524,0.0,3909847,19.259690416049853,0.024390243902439025,17165,0.007679216,0.975609756097561,0.0035161548,0.0035161548,0.13453658536585364
34.404761904761905,-0.1798345,31449.1016395092,0.0,3919855,19.792040880950378,0.047619047619047616,17207,0.0048233443,0.9523809523809523,0.0028533477,0.0028533477,0.14423129251700678
33.604651162790695,-0.19145189,31533.31705904007,0.0,3929876,19.016067295121452,0.06976744186046512,17250,0.008678113,0.9302325581395349,0.0028615943,0.0028615943,0.14377340488968396
35.925,-0.14780226,31609.57416319847,0.0,3939876,20.630408714049405,0.0,17290,0.0072975396,1.0,0.006249559,0.006249559,0.1437
34.45238095238095,-0.13963372,31685.95650100708,0.0,3949878,19.653919175551202,0.047619047619047616,17332,0.0055300137,0.9523809523809523,0.0036526544,0.0036526544,0.13780952380952383
