meankl,entloss,TtR,optimgain,EpisodesSoFar,TimeElapsed,surrgain,MtR,TimestepsSoFar,AttNC,AttC,Fce,entropy
0.0039483155,0.0,31.790697674418606,0.0026369202,11391,19896.2995159626,0.0026369202,17.972802696679686,2499922,0.9302325581395349,0.06976744186046512,0.1271627906976744,0.19375612
0.004740476,0.0,29.217391304347824,0.0040820753,11437,19965.419881105423,0.0040820753,16.740986166790172,2509960,0.8695652173913043,0.13043478260869565,0.12276098458707156,0.179777
0.0048254654,0.0,34.0,0.0039952802,11478,20051.88127398491,0.0039952802,19.164064598462833,2519961,0.975609756097561,0.024390243902439025,0.136,0.20085095
0.008618924,0.0,34.38095238095238,0.0033607376,11520,20129.225826501846,0.0033607376,19.440764493619657,2529963,0.9523809523809523,0.047619047619047616,0.1375238095238095,0.17167437
0.0060792235,0.0,35.725,0.0036770145,11560,20208.095566034317,0.0036770145,20.3830166355985,2539963,1.0,0.0,0.1429,0.1487581
0.0065871216,0.0,36.4,0.0036976868,11600,20280.40385055542,0.0036976868,20.635829525095563,2549840,0.975,0.025,0.1479244094488189,0.15137498
0.0049465965,0.0,35.76190476190476,0.0045207823,11642,20360.26526069641,0.0045207823,20.274443435391273,2559852,0.9523809523809523,0.047619047619047616,0.14304761904761903,0.15328963
0.0075737946,0.0,36.09756097560975,0.0034988606,11683,20445.556800603867,0.0034988606,20.7160035184987,2569903,0.975609756097561,0.024390243902439025,0.14705499760879967,0.112537906
0.0052650413,0.0,33.35,0.0040003844,11723,20518.19961285591,0.0040003844,19.131957730909285,2579903,1.0,0.0,0.1334,0.109645374
0.0068024085,0.0,34.09756097560975,0.0033110473,11764,20592.453938007355,0.0033110473,19.21827206484631,2589904,0.975609756097561,0.024390243902439025,0.13639024390243906,0.098823555
0.0060650287,0.0,33.63414634146341,0.004208519,11805,20678.862729549408,0.004208519,19.305040412355407,2599905,0.975609756097561,0.024390243902439025,0.1345365853658537,0.093055524
0.005511305,0.0,30.75,0.0027087792,11849,20747.274159908295,0.0027087792,17.289815171629968,2609915,0.9090909090909091,0.09090909090909091,0.123,0.10787692
0.0044536903,0.0,32.45238095238095,0.0032344786,11891,20826.486769914627,0.0032344786,18.826993818662313,2619788,0.9285714285714286,0.07142857142857142,0.13574766813942074,0.11672655
0.004786997,0.0,33.357142857142854,0.0023654029,11933,20909.2440366745,0.0023654029,18.62923422383054,2629852,0.9523809523809523,0.047619047619047616,0.135124716553288,0.12252494
0.009094236,0.0,31.4,0.0037803496,11978,20975.972995519638,0.0037803496,17.920111848021023,2639917,0.8888888888888888,0.1111111111111111,0.13303638583638586,0.07341385
0.0064450987,0.0,33.11904761904762,0.002285962,12020,21062.060874938965,0.002285962,19.080911630028645,2649919,0.9523809523809523,0.047619047619047616,0.13247619047619053,0.06496849
0.004874617,0.0,32.48780487804878,0.0022014526,12061,21141.109309196472,0.0022014526,18.41978929028549,2659974,0.975609756097561,0.024390243902439025,0.13375609756097565,0.04446357
0.007221909,0.0,33.58536585365854,0.0032837607,12102,21223.9808511734,0.0032837607,18.890763540757014,2669975,0.975609756097561,0.024390243902439025,0.13434146341463415,0.065540664
0.0054881074,0.0,33.0,0.0025402862,12143,21298.902225255966,0.0025402862,18.988181997613363,2679976,0.975609756097561,0.024390243902439025,0.132,0.07720153
