optimgain,AttNC,EpisodesSoFar,entloss,entropy,TtR,Fce,TimeElapsed,surrgain,TimestepsSoFar,MtR,AttC,meankl
0.00022248077,2.65,40,0.0,1.4096538,440.0,0.19246666666666667,72.8096570968628,0.00022248077,9753,25.357700695957647,7.35,0.0036821745
0.0011057633,2.978723404255319,87,0.0,1.4060515,493.1914893617021,0.21933884116764552,146.20703840255737,0.0011057633,19954,29.002614072575934,7.0212765957446805,0.0032624877
0.0013538488,3.08,137,0.0,1.4009554,400.4,0.19444520083807568,219.02261877059937,0.0013538488,29862,23.871771035562638,6.92,0.006175077
0.0015229963,1.7586206896551724,195,0.0,1.3933215,352.41379310344826,0.18017515034187903,293.07106733322144,0.0015229963,39842,21.32371536986708,8.241379310344827,0.0047129393
0.0016208325,2.693548387096774,257,0.0,1.3781068,413.2258064516129,0.22354538469170884,366.57734513282776,0.0016208325,49938,25.179969348591058,7.306451612903226,0.0030321134
0.0008559149,2.8857142857142857,327,0.0,1.3369879,415.57142857142856,0.2447809626791576,439.27696776390076,0.0008559149,59771,25.632977485320662,7.114285714285714,0.0037488872
0.00094559,3.8059701492537314,394,0.0,1.2998619,543.8805970149253,0.29019972349621515,515.7939732074738,0.00094559,69993,32.951465086145085,6.1940298507462686,0.0063848365
0.0009244934,2.7125,474,0.0,1.2787514,376.625,0.24448348126504707,592.8369393348694,0.0009244934,79766,23.636203069228493,7.2875,0.006931875
0.0006926126,4.8059701492537314,541,0.0,1.232068,619.4029850746268,0.3277047617393767,667.3864805698395,0.0006926126,89952,37.13641575119389,5.1940298507462686,0.007494539
0.0010538412,5.0,602,0.0,1.187818,735.9016393442623,0.36133987065805845,743.9760723114014,0.0010538412,99774,44.08059564929999,5.0,0.006977732
0.00097596674,5.492063492063492,665,0.0,1.1306108,849.5238095238095,0.407327527224011,815.0868709087372,0.00097596674,109992,50.058697570822005,4.507936507936508,0.007510113
0.0006243717,6.116666666666666,725,0.0,1.0832347,1016.1666666666666,0.486328765623788,891.5282142162323,0.0006243717,119918,59.108771767507655,3.8833333333333333,0.0062742718
0.0008140976,7.3076923076923075,777,0.0,1.0365638,1295.3846153846155,0.5767229354623771,965.397068977356,0.0008140976,129851,74.8177175705736,2.6923076923076925,0.0054041925
0.0008971321,8.0,825,0.0,0.99615455,1476.875,0.6359315200154254,1039.2923576831818,0.0008971321,139824,85.16043987825508,2.0,0.005451118
0.00047781295,8.104166666666666,873,0.0,0.96245825,1597.7083333333333,0.658484066176138,1109.8702883720398,0.00047781295,149964,91.85865937203708,1.8958333333333333,0.0030199985
0.0006976506,7.959183673469388,922,0.0,0.92235917,1564.0816326530612,0.6633292421863852,1183.4066030979156,0.0006976506,159834,89.70540709070414,2.0408163265306123,0.0067222277
0.0009121756,8.866666666666667,967,0.0,0.87217516,1900.888888888889,0.7871560162453781,1253.8448774814606,0.0009121756,169927,109.1383369457513,1.1333333333333333,0.0076789567
0.00066147867,9.452380952380953,1009,0.0,0.82797873,2150.0,0.8719797979797984,1324.0117309093475,0.00066147867,179941,122.92358926240827,0.5476190476190477,0.0054694824
0.00045416207,8.434782608695652,1055,0.0,0.8054247,1974.3478260869565,0.8122998933433716,1394.7303931713104,0.00045416207,189756,113.14658127404496,1.565217391304348,0.0018157582
0.00029957175,9.75609756097561,1096,0.0,0.8006403,2319.0243902439024,0.9309965156794425,1465.4621546268463,0.00029957175,199763,132.7495214374552,0.24390243902439024,0.0011908249
0.001039535,9.090909090909092,1140,0.0,0.81780875,2175.2272727272725,0.8905495211858848,1537.6591491699219,0.001039535,209795,124.43780591135892,0.9090909090909091,0.0108926585
0.0007927189,8.88888888888889,1185,0.0,0.78863513,2029.111111111111,0.8396052082551656,1613.4041411876678,0.0007927189,219862,116.26110742878969,1.1111111111111112,0.003940257
