optimgain,entropy,AttNC,MtR,EpisodesSoFar,TtR,meankl,Fce,surrgain,entloss,TimestepsSoFar,AttC,TimeElapsed
0.0006022725,1.4187765,0.7142857142857143,12.673121507657502,70,65.05714285714286,0.0012937157,0.11870013754287173,0.0006022725,0.0,9922,2.2857142857142856,39.80423331260681
0.0006919243,1.4292104,0.6578947368421053,12.305285675682388,146,62.05263157894737,0.0018479574,0.11994938228540218,0.0006919243,0.0,19780,2.3421052631578947,80.08804774284363
0.0007757624,1.4276583,0.6956521739130435,13.230684900884894,215,67.26086956521739,0.0047783144,0.13290513478097427,0.0007757624,0.0,29913,2.3043478260869565,119.81419563293457
0.00077922846,1.4330299,1.0,15.060420419506356,270,78.54545454545455,0.0039149425,0.13920646970155592,0.00077922846,0.0,39799,2.0,159.2024564743042
0.00087749225,1.434128,0.7540983606557377,13.916555891968905,331,72.63934426229508,0.00700657,0.1456735027474681,0.00087749225,0.0,49843,2.2459016393442623,197.85419416427612
0.00069676794,1.4422599,1.183673469387755,17.368149012541338,380,89.81632653061224,0.0046757394,0.1539632292757964,0.00069676794,0.0,59918,1.816326530612245,238.27718043327332
0.00067189994,1.4369676,0.75,15.485703046716761,440,78.35,0.004168645,0.15051744226501712,0.00067189994,0.0,69789,2.25,277.4856460094452
0.0006783699,1.435462,1.1666666666666667,17.659911673529354,488,92.375,0.0027211942,0.13732973026790232,0.0006783699,0.0,79915,1.8333333333333333,316.66862440109253
0.0006204679,1.4161732,1.0851063829787233,17.611493177956863,535,92.68085106382979,0.0023141408,0.14441681809032508,0.0006204679,0.0,89773,1.9148936170212767,355.67191791534424
0.00070665433,1.4150035,1.2666666666666666,19.93197443318303,580,103.6,0.0021098165,0.13813333333333336,0.00070665433,0.0,99786,1.7333333333333334,394.71621894836426
0.0006998857,1.4291964,1.1304347826086956,18.81898875286847,626,97.5,0.0020826505,0.15479463825399553,0.0006998857,0.0,109862,1.8695652173913044,434.0139696598053
0.0010381724,1.422476,0.9074074074074074,16.619540731968755,680,85.38888888888889,0.0028045268,0.1329796574017951,0.0010381724,0.0,119904,2.0925925925925926,473.41915488243103
0.00072104443,1.4219191,1.148936170212766,17.638264967762122,727,91.59574468085107,0.004081801,0.12783617660213406,0.00072104443,0.0,129971,1.851063829787234,512.9718403816223
0.00075202563,1.4327852,1.14,16.483285189132175,777,84.66,0.003571488,0.12060610837438425,0.00075202563,0.0,139842,1.86,551.5905828475952
0.0009827378,1.4189454,0.7833333333333333,15.035535711666318,837,77.2,0.0033871203,0.16186144144732975,0.0009827378,0.0,149898,2.216666666666667,591.4010016918182
0.0012901372,1.4014505,0.8979591836734694,17.22979347273005,886,90.0,0.003491952,0.13166572965594273,0.0012901372,0.0,159840,2.1020408163265305,631.3174455165863
0.0013450978,1.3836672,0.8679245283018868,17.060057536649893,939,87.11320754716981,0.0068051573,0.13549588032041512,0.0013450978,0.0,169782,2.1320754716981134,671.9409303665161
0.0008004443,1.3867663,1.4390243902439024,19.92652332852192,980,105.4390243902439,0.0041301474,0.14258636137381786,0.0008004443,0.0,179831,1.5609756097560976,711.6020710468292
0.0007833989,1.3690921,1.2708333333333333,15.992028817130938,1028,83.0,0.0045211753,0.14055392156862742,0.0007833989,0.0,189907,1.7291666666666667,751.6750411987305
0.00095218583,1.3695531,1.297872340425532,17.75754676101038,1075,90.95744680851064,0.0031627417,0.13710827592559066,0.00095218583,0.0,199759,1.702127659574468,791.1733839511871
0.0011095006,1.369712,1.2553191489361701,18.311841394752026,1122,96.06382978723404,0.0047713416,0.14955642683302256,0.0011095006,0.0,209838,1.7446808510638299,831.2722628116608
0.001018338,1.3572239,1.0188679245283019,16.667236797113418,1175,86.49056603773585,0.003957787,0.13123348077031724,0.001018338,0.0,219983,1.9811320754716981,872.0233008861542
0.0006753128,1.3645781,1.2666666666666666,18.10264955921408,1220,94.53333333333333,0.0015763941,0.13464623243933588,0.0006753128,0.0,229857,1.7333333333333334,912.4211041927338
0.0009161214,1.3704932,1.1777777777777778,19.007665842843988,1265,98.6,0.0067581236,0.14200536420437684,0.0009161214,0.0,239752,1.8222222222222222,952.711793422699
0.001152298,1.3534336,1.3695652173913044,18.072333102730337,1311,94.56521739130434,0.0043219645,0.14138347648800934,0.001152298,0.0,249900,1.6304347826086956,992.955518245697
0.0009928334,1.359131,1.697674418604651,19.591903295428384,1354,102.4186046511628,0.002865377,0.14055302836698183,0.0009928334,0.0,259991,1.302325581395349,1033.241779088974
0.0011839826,1.3410153,1.2549019607843137,16.12775919778314,1405,85.41176470588235,0.0035378668,0.12499974155628198,0.0011839826,0.0,269975,1.7450980392156863,1073.2105677127838
0.0009819629,1.3442407,1.65,19.95748104289588,1445,105.75,0.0024641107,0.141,0.0009819629,0.0,279975,1.35,1113.146366596222
0.00094910484,1.3392732,1.5909090909090908,17.907809649351428,1489,93.95454545454545,0.0023903386,0.12724793388429753,0.00094910484,0.0,289993,1.4090909090909092,1153.4782552719116
0.0007342336,1.3188471,1.488888888888889,18.34543288399478,1534,95.93333333333334,0.0033858882,0.15548493631971888,0.0007342336,0.0,299791,1.511111111111111,1194.169920682907
0.0010686195,1.3120111,1.5116279069767442,19.27776002362857,1577,100.25581395348837,0.002511022,0.13608356326369728,0.0010686195,0.0,309854,1.4883720930232558,1235.1660604476929
0.0009908666,1.3187639,1.619047619047619,20.903775260430393,1619,108.85714285714286,0.0055806884,0.15046658152405276,0.0009908666,0.0,319910,1.380952380952381,1274.3525145053864
