TimeElapsed,optimgain,meankl,AttC,entropy,Fce,surrgain,AttNC,entloss,TtR,TimestepsSoFar,EpisodesSoFar,MtR
14929.863157272339,0.002422364,0.008352896,0.047619047619047616,0.090332024,0.13533333333333333,0.002422364,0.9523809523809523,0.0,33.833333333333336,4139983,18732,19.148803022541124
14961.228048801422,0.003683631,0.007275806,0.1111111111111111,0.059124004,0.1254222222222222,0.003683631,0.8888888888888888,0.0,31.355555555555554,4149998,18777,17.95616999375753
14993.74005651474,0.0012926849,0.0067509995,0.024390243902439025,0.057855852,0.14136585365853657,0.0012926849,0.975609756097561,0.0,35.34146341463415,4159999,18818,19.899169519328442
15023.94570851326,0.0020858978,0.009114322,0.024390243902439025,0.01892378,0.1354146341463415,0.0020858978,0.975609756097561,0.0,33.853658536585364,4170000,18859,19.367923421455693
15056.476480484009,0.001992923,0.005039852,0.1875,-0.018276194,0.15330131567444705,0.001992923,0.8125,0.0,30.354166666666668,4179941,18907,17.486897815904822
15087.818876028061,0.001329055,0.0053817937,0.024390243902439025,0.009709398,0.14036479321314954,0.001329055,0.975609756097561,0.0,34.609756097560975,4189964,18948,19.792806111316175
15118.06576347351,0.0012248306,0.005990295,0.0,-0.0011273623,0.1438,0.0012248306,1.0,0.0,35.95,4199964,18988,20.341063236532815
15152.67516708374,0.0024379943,0.0062698224,0.024390243902439025,0.00751119,0.13707317073170733,0.0024379943,0.975609756097561,0.0,34.26829268292683,4209965,19029,19.62341695130157
15183.174793243408,0.0018877899,0.0034726853,0.0,-0.008518399,0.14610000000000006,0.0018877899,1.0,0.0,36.525,4219965,19069,20.735104806331705
15215.248341798782,0.0012989149,0.0024321529,0.06976744186046512,0.021694254,0.1276279069767442,0.0012989149,0.9302325581395349,0.0,31.906976744186046,4229968,19112,18.11513936961073
15246.07792544365,0.00094113767,0.0029957134,0.047619047619047616,0.06385184,0.13228571428571428,0.00094113767,0.9523809523809523,0.0,33.07142857142857,4239970,19154,18.763464426754254
15277.765406608582,0.0005836182,0.008408197,0.024390243902439025,0.0896797,0.13424390243902443,0.0005836182,0.975609756097561,0.0,33.5609756097561,4249971,19195,18.887140400497014
15311.904054641724,0.0030444444,0.006709941,0.024390243902439025,0.16554843,0.1307317073170732,0.0030444444,0.975609756097561,0.0,32.68292682926829,4259972,19236,18.477503914100275
15342.44235610962,0.0015295269,0.0053204014,0.024390243902439025,0.18408032,0.12702439024390247,0.0015295269,0.975609756097561,0.0,31.75609756097561,4269975,19277,17.70060095127809
15374.45873618126,0.0010854019,0.003593789,0.047619047619047616,0.17603312,0.11657142857142859,0.0010854019,0.9523809523809523,0.0,29.142857142857142,4279977,19319,16.572670283652183
15405.547134160995,0.0043567168,0.012309633,0.024390243902439025,0.21058609,0.11609756097560978,0.0043567168,0.975609756097561,0.0,29.024390243902438,4289978,19360,16.3145338987781
15437.00511431694,0.0033983102,0.006647801,0.09090909090909091,0.1811981,0.1193636363636364,0.0033983102,0.9090909090909091,0.0,29.84090909090909,4299982,19404,16.74693575771728
15470.385714054108,0.004756895,0.008713053,0.06976744186046512,0.25909385,0.1386046511627907,0.004756895,0.9302325581395349,0.0,34.651162790697676,4309985,19447,19.54431527177339
15500.688281297684,0.0029475247,0.0069544115,0.09302325581395349,0.3157309,0.13708288610614197,0.0029475247,0.9069767441860465,0.0,33.76744186046512,4319785,19490,19.43752590431548
15533.612739801407,0.0025523421,0.0055327006,0.06976744186046512,0.33189416,0.12960286225402504,0.0025523421,0.9302325581395349,0.0,31.976744186046513,4329800,19533,18.272023727711286
15564.791975975037,0.0018443879,0.0057587596,0.06976744186046512,0.3074331,0.13153488372093025,0.0018443879,0.9302325581395349,0.0,32.883720930232556,4339805,19576,18.492903185484764
15596.13994717598,0.0023010315,0.008104167,0.047619047619047616,0.34129354,0.12628571428571433,0.0023010315,0.9523809523809523,0.0,31.571428571428573,4349807,19618,17.897562396986476
15629.004060983658,0.00335503,0.0075262436,0.16666666666666666,0.2891849,0.11988888888888888,0.00335503,0.8333333333333334,0.0,29.645833333333332,4359839,19666,16.843906301866348
15659.378165245056,0.0026152092,0.00922063,0.09090909090909091,0.25974473,0.12636363636363634,0.0026152092,0.9090909090909091,0.0,31.59090909090909,4369843,19710,18.221085619204178
15691.437980413437,0.002511734,0.007979573,0.047619047619047616,0.19558556,0.1381904761904762,0.002511734,0.9523809523809523,0.0,34.54761904761905,4379845,19752,19.579002099420247
15722.589110851288,0.0012534851,0.007310082,0.09090909090909091,0.26995966,0.16476288659793814,0.0012534851,0.9090909090909091,0.0,34.0,4389999,19796,19.393205890043404
15753.006675720215,0.0011149338,0.0077094086,0.1702127659574468,0.33630016,0.132122738457085,0.0011149338,0.8297872340425532,0.0,32.340425531914896,4399937,19843,18.433535645803556
15784.843443155289,0.0015885269,0.0058398307,0.1702127659574468,0.3859978,0.13493628812058536,0.0015885269,0.8297872340425532,0.0,30.914893617021278,4409869,19890,17.656519536030366
15815.461459875107,0.0031504517,0.005950911,0.1111111111111111,0.35778454,0.13379047619047618,0.0031504517,0.8888888888888888,0.0,31.177777777777777,4419902,19935,17.580493874407164
15847.079488754272,0.0005977435,0.005985435,0.047619047619047616,0.29371542,0.1284761904761905,0.0005977435,0.9523809523809523,0.0,32.11904761904762,4429906,19977,18.19809997690457
15878.739152908325,0.0013525588,0.0037602547,0.09090909090909091,0.27036932,0.12399999999999999,0.0013525588,0.9090909090909091,0.0,31.0,4439910,20021,17.674503597918054
15909.925184965134,0.0022736033,0.008158643,0.047619047619047616,0.27013585,0.1321904761904762,0.0022736033,0.9523809523809523,0.0,31.88095238095238,4449916,20063,18.097288306478855
15941.753461360931,0.0017508713,0.0072016492,0.024390243902439025,0.24189633,0.13678048780487806,0.0017508713,0.975609756097561,0.0,34.19512195121951,4459917,20104,19.472864309526546
15972.145714759827,0.0019210594,0.006586966,0.11363636363636363,0.29509994,0.14484400361328537,0.0019210594,0.8863636363636364,0.0,33.06818181818182,4469980,20148,19.25200212764432
16003.56364440918,0.002605494,0.005736824,0.04878048780487805,0.25374454,0.14920029563932005,0.002605494,0.9512195121951219,0.0,36.65853658536585,4479764,20189,20.899912313889633
16035.849222183228,0.0031265626,0.006701471,0.1111111111111111,0.27383983,0.13048542568542573,0.0031265626,0.8888888888888888,0.0,32.022222222222226,4489851,20234,18.15576470465436
