entropy,TimeElapsed,AttNC,AttC,MtR,Tmc,MpbtA,EpisodesSoFar,Tmt,TtR,Ptt,optimgain,MpbtN,Tbt,meankl,surrgain,entloss,TimestepsSoFar
0.68446666,2111.581113576889,0.0,1.0,-75.96625953182769,19.55342136854742,4.850685756017768,833,84.29891956782713,-80.20408163265306,81.97451938677028,0.021572404,95.14931424398185,345288.3745498199,0.008681991,0.021572404,0.0,9993
0.65901256,4040.501966714859,0.0,1.0,-75.63463805164344,19.49402390438247,4.758864927328309,1586,84.36254980079681,-80.34395750332006,82.03052966425109,0.011750418,95.2411350726714,345549.00398406375,0.008695701,0.011750418,0.0,19986
0.61565995,5663.441835641861,0.0,1.0,-74.70660098277692,19.793375394321767,4.48984080681854,2220,84.0788643533123,-80.29495268138801,81.75474507479656,0.019881016,95.51015919318107,344387.0283911672,0.009466731,0.019881016,0.0,30000
0.5556173,6996.9502811431885,0.0,1.0,-73.70732862529175,19.65183752417795,4.4421513462846365,2737,84.22050290135397,-80.47195357833655,81.88641951608534,0.023341894,95.55784865371518,344967.17988394585,0.010045241,0.023341894,0.0,39957
0.47920355,8056.982470273972,0.0,1.0,-72.15482600594656,19.574209245742093,4.484267726775673,3148,84.2603406326034,-80.47688564476886,81.95291710047633,0.024183393,95.51573227322437,345130.35523114353,0.009919286,0.024183393,0.0,49988
0.38323247,8658.211861371994,0.004366812227074236,0.9956331877729258,-66.99612240865024,19.449781659388645,5.8994433558032915,3377,84.38427947598254,-79.39737991266375,82.06812355549431,0.021538626,94.10055664419676,345638.0087336245,0.009472763,0.021538626,0.0,59970
0.29966956,8922.215769052505,0.11827956989247312,0.8817204301075269,-54.61308663056552,20.623655913978496,9.652312785504822,3470,83.29032258064517,-75.29032258064517,80.99144321124663,0.015250189,90.3476872144952,341157.1612903226,0.008555773,0.015250189,0.0,69934
0.21338125,9091.236353635788,0.22807017543859648,0.7719298245614035,-44.435797742427845,20.771929824561404,12.655559398895626,3527,83.19298245614036,-72.66666666666667,80.86263419304053,0.010724536,87.3444406011044,340758.4561403509,0.009308965,0.010724536,0.0,79959
0.19616587,9224.30732679367,0.7837837837837838,0.21621621621621623,-40.35416604257536,20.89189189189189,12.619109220366765,3564,83.02702702702703,-72.5945945945946,80.74281891056184,0.0016511324,87.38089077963325,340078.7027027027,0.0038557022,0.0016511324,0.0,89919
0.2696814,9350.056920051575,0.9705882352941176,0.029411764705882353,-39.73898969889469,21.441176470588236,10.135236352616642,3598,82.5,-74.1470588235294,80.23414765269833,0.008010694,89.86476364738338,337920.0,0.008042447,0.008010694,0.0,99732
0.19169325,9512.434631824493,0.38,0.62,-43.650430129441276,21.24,12.011005440876296,3648,82.7,-72.8,80.42172599587256,0.007386141,87.98899455912373,338739.2,0.0073912134,0.007386141,0.0,109855
0.20253412,9645.645900249481,0.7631578947368421,0.23684210526315788,-40.62321474532813,20.394736842105264,11.728865666439038,3686,83.5,-73.73684210526316,81.20097693033746,0.003006462,88.27113433356095,342016.0,0.0012666892,0.003006462,0.0,119903
0.20172957,9770.177988767624,0.7631578947368421,0.23684210526315788,-40.373936447150975,20.94736842105263,11.79756307597777,3724,82.94736842105263,-73.1842105263158,80.68715046390177,0.0028607727,88.20243692402222,339752.4210526316,0.0017539604,0.0028607727,0.0,129947
0.26002386,9900.629098176956,0.9166666666666666,0.08333333333333333,-41.12460038376499,20.555555555555557,11.101858203066922,3760,83.33333333333333,-74.11111111111111,81.05088558897103,0.0046505663,88.89814179693309,341333.3333333333,0.0038485131,0.0046505663,0.0,139873
0.18371786,10032.129069566727,0.55,0.45,-40.01384451008154,20.7,13.120596516696384,3800,83.225,-72.3,80.92256701615855,0.0028283494,86.87940348330358,340889.6,0.0068268385,0.0028283494,0.0,149905
0.16968998,10160.512154102325,0.8918918918918919,0.10810810810810811,-41.285962688986764,19.89189189189189,11.241564384062627,3837,83.94594594594595,-74.51351351351352,81.65938058963144,0.0021854187,88.75843561593736,343842.5945945946,0.0021184937,0.0021854187,0.0,159901
0.19031246,10288.420341968536,0.9142857142857143,0.08571428571428572,-40.40453095233265,20.314285714285713,10.83607064955943,3872,83.57142857142857,-74.54285714285714,81.27398503750949,0.0028857451,89.16392935044055,342308.5714285714,0.0013898306,0.0028857451,0.0,169918
0.27079546,10411.493562221527,0.8611111111111112,0.1388888888888889,-40.84489385267048,20.22222222222222,10.672713053976858,3908,83.72222222222223,-74.80555555555556,81.369385201505,0.008576749,89.32728694602312,342926.22222222225,0.008428657,0.008576749,0.0,179837
0.22402836,10546.90037226677,0.6410256410256411,0.358974358974359,-40.14417403670589,20.71794871794872,13.067361269302902,3947,83.23076923076923,-72.33333333333333,80.90975010430081,0.0026421626,86.93263873069706,340913.23076923075,0.0032918786,0.0026421626,0.0,189772
0.29578862,10673.818213939667,0.9473684210526315,0.05263157894736842,-40.854227606337886,20.94736842105263,12.931901253708878,3985,83.0,-72.3157894736842,80.69699789914539,0.0070614195,87.06809874629111,339968.0,0.00690818,0.0070614195,0.0,199883
0.2462297,10820.085609674454,0.32608695652173914,0.6739130434782609,-42.83472415478071,21.282608695652176,14.351241632025014,4031,82.65217391304348,-70.82608695652173,80.38312887341881,0.005630118,85.64875836797499,338543.3043478261,0.005675331,0.005630118,0.0,209783
0.22205098,10956.37386250496,0.41025641025641024,0.5897435897435898,-38.86403521165128,21.435897435897434,14.914736370937753,4070,82.48717948717949,-70.2051282051282,80.2372093966973,0.0030786681,85.08526362906228,337867.4871794872,0.0048993574,0.0030786681,0.0,219770
0.28208485,11081.911448001862,0.7631578947368421,0.23684210526315788,-40.24193086934537,20.57894736842105,13.962416214809611,4108,83.36842105263158,-71.73684210526316,81.03967396116373,0.004819014,86.0375837851904,341477.05263157893,0.004256663,0.004819014,0.0,229723
0.21514644,11231.227026462555,0.5319148936170213,0.46808510638297873,-44.309275238210155,20.893617021276597,13.296253529982351,4155,83.04255319148936,-72.08510638297872,80.74465193316327,0.009802145,86.70374647001765,340142.2978723404,0.0077137053,0.009802145,0.0,239990
0.24659275,11364.453671693802,0.5897435897435898,0.41025641025641024,-41.1442141424602,20.46153846153846,13.135088349835492,4194,83.46153846153847,-72.51282051282051,81.14545891553624,0.003466095,86.86491165016449,341858.46153846156,0.0033484001,0.003466095,0.0,249936
