entloss,surrgain,AttNC,TimestepsSoFar,EpisodesSoFar,AttC,Tbt,MpbtN,TtR,MtR,Ptt,MpbtA,meankl,entropy,TimeElapsed,optimgain,Tmt,Tmc
0.0,0.009336522,0.0,9992,677,3.0,327492.4431314623,94.72608930026858,-227.1536189069424,-70.72309969294092,77.82151418177635,5.273910699731322,0.009169001,0.6843733,1564.2060375213623,0.009336522,79.95420974889217,24.04431314623338
0.0,0.0062835896,0.0,19994,1264,3.0,331371.28449744463,93.71055971736745,-227.37649063032367,-70.01213061582152,78.71456040346612,6.28944028263253,0.009216672,0.65806675,2953.3580973148346,0.0062835896,80.90119250425894,23.083475298126064
0.0,0.009235791,0.0,29993,1773,3.0,332556.57367387036,92.87307984088376,-226.13752455795677,-68.7768349742176,78.97845948410466,7.126920159116182,0.009010193,0.6168474,4088.8206770420074,0.009235791,81.19056974459725,22.80157170923379
0.0,0.0077502057,0.0,39974,2174,3.0,333349.02743142145,91.7729086066869,-224.02743142144638,-66.49784674857501,79.1560934559923,8.227091393313101,0.008755994,0.5650114,5039.560884237289,0.0077502057,81.38403990024938,22.610972568578553
0.0,0.009370859,0.0,49989,2454,3.0,334101.9428571428,89.63875320935728,-219.31071428571428,-62.141384918896435,79.3375247659185,10.361246790642788,0.007860868,0.5179116,5678.902238607407,0.009370859,81.56785714285714,22.414285714285715
0.0,0.009870769,0.0,59944,2634,3.0,333710.22222222225,87.13672762267251,-212.95,-56.04751957960609,79.26079198407245,12.863272377327515,0.00796308,0.46927845,6089.4873695373535,0.009870769,81.47222222222223,22.494444444444444
0.0,0.008282917,0.009009009009009009,69979,2745,2.990990990990991,331185.58558558556,82.36186293377409,-199.8918918918919,-46.950043099686006,78.66302685235793,17.63813706622593,0.005074426,0.4561424,6354.69918513298,0.008282917,80.85585585585585,23.144144144144143
0.0,0.006685201,0.0,79847,2833,3.0,329262.54545454547,79.5758820471043,-191.86363636363637,-42.93080878835632,78.22575588274134,20.424117952895703,0.0057685114,0.4048946,6568.3528797626495,0.006685201,80.38636363636364,23.613636363636363
0.0,0.0060996604,0.043478260869565216,89979,2902,2.9565217391304346,329401.50724637683,75.11637320929528,-181.34782608695653,-37.17309164298412,78.25783649821973,24.883626790704717,0.004779874,0.36920378,6735.067322254181,0.0060996604,80.42028985507247,23.579710144927535
0.0,0.0063370434,0.2653061224489796,99813,2951,2.7346938775510203,323751.1836734694,70.18125594119097,-166.40816326530611,-32.86417588216103,76.97236959657768,29.818744058809003,0.0041813483,0.36853984,6864.396368980408,0.0063370434,79.04081632653062,24.959183673469386
0.0,0.004192749,0.5106382978723404,110000,2998,2.4893617021276597,328638.6382978723,70.37766584544451,-169.53191489361703,-33.027901961957355,78.10326742705078,29.622334154555478,0.0024558222,0.37024745,6986.961395740509,0.004192749,80.23404255319149,23.74468085106383
0.0,0.0047654193,0.43478260869565216,119819,3044,2.5652173913043477,326522.4347826087,70.38071880188497,-168.3913043478261,-33.13002560530494,77.60465978447016,29.61928119811505,0.0028818697,0.36184746,7111.4174020290375,0.0047654193,79.71739130434783,24.282608695652176
0.0,0.0066121845,0.7209302325581395,129890,3087,2.2790697674418605,324441.3023255814,69.0541248427062,-164.09302325581396,-31.8079394820257,77.13333535996111,30.945875157293823,0.00382892,0.396933,7229.4195737838745,0.0066121845,79.20930232558139,24.790697674418606
