surrgain,EpisodesSoFar,TimeElapsed,TimestepsSoFar,Fce,MtR,AttNC,AttC,entropy,TtR,optimgain,entloss,meankl
0.0021905384,8913,6435.090101957321,1759917,0.1393170731707317,19.529733550891837,0.975609756097561,0.024390243902439025,-0.16445734,34.829268292682926,0.0021905384,0.0,0.009824652
0.004577395,8954,6469.954102277756,1769918,0.13521951219512196,19.015571901591663,0.975609756097561,0.024390243902439025,-0.17752783,33.80487804878049,0.004577395,0.0,0.0076868148
0.002322287,8995,6505.99370265007,1779919,0.12770731707317073,18.00111443074006,0.975609756097561,0.024390243902439025,-0.14193673,31.926829268292682,0.002322287,0.0,0.005767465
0.0033945832,9036,6539.899149656296,1789920,0.13541463414634147,19.229033788663518,0.975609756097561,0.024390243902439025,-0.093658514,33.853658536585364,0.0033945832,0.0,0.0073389364
0.002578369,9078,6576.71798324585,1799819,0.1472065861084023,19.809989232438443,0.8809523809523809,0.11904761904761904,-0.09714589,34.95238095238095,0.002578369,0.0,0.0042628455
0.0037427736,9119,6614.612052440643,1809893,0.1462047700698364,20.528770545631406,0.9512195121951219,0.04878048780487805,-0.10798651,35.853658536585364,0.0037427736,0.0,0.008796028
0.002659528,9159,6648.142040729523,1819893,0.13550000000000004,19.337339401018603,1.0,0.0,-0.12526464,33.875,0.002659528,0.0,0.0076629072
0.0025464934,9199,6683.851536273956,1829893,0.1301,18.464694198280405,1.0,0.0,-0.1306811,32.525,0.0025464934,0.0,0.0060964804
0.0035622704,9239,6719.950913667679,1839893,0.13580000000000003,19.457671910788875,1.0,0.0,-0.122340344,33.95,0.0035622704,0.0,0.008570392
0.003430223,9280,6757.016546726227,1849894,0.1406829268292683,20.031916389644216,0.975609756097561,0.024390243902439025,-0.11622367,35.170731707317074,0.003430223,0.0,0.007657529
0.0028363846,9320,6794.408868074417,1859894,0.1508,21.204573355572457,1.0,0.0,-0.160345,37.7,0.0028363846,0.0,0.009535157
0.0021238006,9360,6827.52280497551,1869894,0.153,21.549448846761344,1.0,0.0,-0.1126142,38.25,0.0021238006,0.0,0.007040483
0.0021514092,9403,6863.433744668961,1879966,0.1536428619421042,21.01570693651306,0.8604651162790697,0.13953488372093023,-0.14478555,36.627906976744185,0.0021514092,0.0,0.007624215
0.003128868,9445,6897.834269285202,1889801,0.14839357429718875,21.06053159308625,0.9285714285714286,0.07142857142857142,-0.19512989,36.57142857142857,0.003128868,0.0,0.008863598
0.004471333,9489,6933.239730358124,1899949,0.15683914026090615,21.020384268382102,0.8181818181818182,0.18181818181818182,-0.18294725,36.47727272727273,0.004471333,0.0,0.006995299
