entloss,TimeElapsed,AttC,optimgain,AttNC,meankl,surrgain,TimestepsSoFar,entropy,Fce,EpisodesSoFar,MtR,TtR
0.0,115005.64173913002,0.0,0.0010297154,10.0,0.0061060437,0.0010297154,3459844,-0.23628224,0.9632,14253,137.75870124152294,2408.0
0.0,115297.52484941483,0.0,0.0011169859,10.0,0.0057705333,0.0011169859,3469844,-0.23925912,0.9691999999999998,14293,138.44090148759787,2423.0
0.0,115578.75153422356,0.0,0.0017026913,10.0,0.0074009607,0.0017026913,3479844,-0.2452593,0.9669000000000002,14333,138.1362547664234,2417.25
0.0,115858.04597878456,0.0,0.001606878,10.0,0.0076998645,0.001606878,3489844,-0.27773684,0.9639000000000001,14373,137.57397858656884,2409.75
0.0,116144.40578532219,0.0,0.001470718,10.0,0.006247802,0.001470718,3499844,-0.29815593,0.9458,14413,134.76777605962442,2364.5
0.0,116421.65148186684,0.0,0.0017000346,10.0,0.0064896983,0.0017000346,3509844,-0.26411322,0.9611999999999998,14453,137.05292353425364,2403.0
0.0,116718.16931962967,0.0,0.0014618275,10.0,0.006926366,0.0014618275,3519844,-0.30634987,0.966,14493,137.85147251728432,2415.0
0.0,116999.50236225128,0.0,0.0015397451,10.0,0.0068560573,0.0015397451,3529844,-0.27763817,0.9568999999999999,14533,136.76024559265477,2392.25
0.0,117280.86699581146,0.0,0.0015290173,10.0,0.008034649,0.0015290173,3539844,-0.27656195,0.9598999999999999,14573,137.0689816572211,2399.75
0.0,117567.40088963509,0.0,0.00161146,10.0,0.0058115716,0.00161146,3549844,-0.27766505,0.9233,14613,132.28753582091102,2308.25
0.0,117846.14124369621,0.0,0.0017773535,10.0,0.006468974,0.0017773535,3559844,-0.2451007,0.9260000000000002,14653,132.4777090409924,2315.0
0.0,118131.97521233559,0.0,0.0018706494,10.0,0.0065812618,0.0018706494,3569844,-0.21157394,0.9317000000000004,14693,133.00798131731543,2329.25
0.0,118420.0999777317,0.0,0.001696372,10.0,0.0065195947,0.001696372,3579844,-0.19635496,0.9466999999999999,14733,135.22052680764426,2366.75
0.0,118699.12276124954,0.0,0.0014640277,10.0,0.0056598503,0.0014640277,3589844,-0.1604233,0.9589999999999999,14773,136.88621055615232,2397.5
0.0,118987.83395195007,0.0,0.0011571429,10.0,0.0060489443,0.0011571429,3599844,-0.19754653,0.9593,14813,136.95523917455893,2398.25
0.0,119265.38129901886,0.0,0.0016117971,10.0,0.0057525327,0.0016117971,3609844,-0.2190495,0.9715999999999998,14853,138.77962235229307,2429.0
0.0,119547.6448969841,0.0,0.0020299652,10.0,0.008082208,0.0020299652,3619844,-0.24420159,0.9609999999999997,14893,137.0823556437943,2402.5
