EpisodesSoFar,surrgain,AttNC,AttC,MtR,TimeElapsed,optimgain,entropy,entloss,TtR,Fce,TimestepsSoFar,meankl
82,0.0003435923,0.573170731707317,2.426829268292683,11.02057083909393,123.26342105865479,0.0003435923,1.392411,0.0,55.28048780487805,0.14991171610745768,9860,0.0035476496
147,0.0007893056,0.7692307692307693,2.230769230769231,13.166412405927673,267.94583082199097,0.0007893056,1.3675995,0.0,67.8,0.14326105267281738,19850,0.0072287065
199,0.0006549693,1.0576923076923077,1.9423076923076923,15.138643099606744,398.97112369537354,0.0006549693,1.3576262,0.0,78.6923076923077,0.1367754380649397,29751,0.0018914717
246,0.0008992157,1.1914893617021276,1.8085106382978724,16.775257988420158,548.8065252304077,0.0008992157,1.3448956,0.0,88.53191489361703,0.12320901126408011,39800,0.0028156077
296,0.0007796192,1.32,1.68,15.300599806574393,675.1826522350311,0.0007796192,1.3522555,0.0,80.52,0.11128000000000002,49830,0.0010387144
341,0.00086518045,1.488888888888889,1.511111111111111,17.607748264221836,800.2625021934509,0.00086518045,1.3577121,0.0,92.2,0.1260190476190476,59845,0.0024207183
386,0.0006254209,1.3555555555555556,1.6444444444444444,18.002122265245713,960.4834442138672,0.0006254209,1.3703607,0.0,93.0,0.12638024691358024,69864,0.0027594394
430,0.0008944458,1.2954545454545454,1.7045454545454546,17.92236854213197,1086.894683122635,0.0008944458,1.368786,0.0,94.22727272727273,0.1514127764127764,79908,0.0016926788
478,0.0008743551,1.3125,1.6875,16.244629018369388,1218.5235261917114,0.0008743551,1.3584473,0.0,85.4375,0.11631818181818182,89992,0.0028976253
519,0.0010589508,1.4634146341463414,1.5365853658536586,20.393285665650012,1370.1035509109497,0.0010589508,1.3625367,0.0,106.97560975609755,0.14741463414634143,99997,0.002781724
562,0.0014378815,1.5116279069767442,1.4883720930232558,18.87164544512473,1501.6044936180115,0.0014378815,1.3586327,0.0,99.27906976744185,0.13758501203345433,109839,0.0032249042
608,0.001284998,1.6521739130434783,1.3478260869565217,16.21629662800426,1645.5954847335815,0.001284998,1.355673,0.0,84.97826086956522,0.12231135616301855,119897,0.003705711
662,0.0013925084,1.3333333333333333,1.6666666666666667,14.360563403284376,1787.657368183136,0.0013925084,1.343516,0.0,73.61111111111111,0.1225376970603072,129778,0.00370333
712,0.0016960752,1.58,1.42,14.951376073997796,1934.1514134407043,0.0016960752,1.337684,0.0,78.66,0.1395505431541832,139892,0.0034344809
755,0.0010328469,1.8372093023255813,1.1627906976744187,16.129648132403617,2082.048506498337,0.0010328469,1.3402073,0.0,84.13953488372093,0.11983716283769814,149786,0.0015077858
807,0.00049803365,1.5961538461538463,1.4038461538461537,13.867051533586588,2215.889816761017,0.00049803365,1.3248394,0.0,72.34615384615384,0.12321655515098134,159813,0.0053882995
851,0.00084026187,1.7272727272727273,1.2727272727272727,16.054001990152383,2367.3986332416534,0.00084026187,1.3314091,0.0,84.0,0.1301983702571938,169841,0.0018965643
898,0.0012489359,1.6382978723404256,1.3617021276595744,15.452494430795694,2512.264260530472,0.0012489359,1.3156636,0.0,80.93617021276596,0.11854438577842831,179934,0.0053407764
949,0.001487563,1.6274509803921569,1.3725490196078431,12.117550060889403,2654.308056116104,0.001487563,1.3197497,0.0,63.294117647058826,0.09590764382921244,189830,0.0030140784
991,0.0009778687,1.880952380952381,1.119047619047619,15.842948170025917,2795.5055763721466,0.0009778687,1.3161123,0.0,82.14285714285714,0.10952380952380958,199838,0.003960854
1039,0.00094580895,1.7708333333333333,1.2291666666666667,13.553596753874253,2923.188539505005,0.00094580895,1.342454,0.0,71.0625,0.10481552706552709,209888,0.0028886555
1082,0.0009195465,1.813953488372093,1.186046511627907,16.517519893867725,3076.297224998474,0.0009195465,1.3453362,0.0,86.23255813953489,0.1209646856158484,219933,0.0028278455
1131,0.0012904205,1.6734693877551021,1.3265306122448979,14.333219972262686,3240.724366903305,0.0012904205,1.3560417,0.0,73.34693877551021,0.11717778717805752,229820,0.0033584356
1171,0.0007304123,1.95,1.05,17.883627466006814,3372.77951669693,0.0007304123,1.3856171,0.0,94.275,0.12570000000000003,239820,0.0021566437
1213,0.0008923388,1.9761904761904763,1.0238095238095237,16.638357347476365,3526.093086004257,0.0008923388,1.4012089,0.0,86.35714285714286,0.11655631141345431,249886,0.0037131375
1257,0.0008904114,1.6363636363636365,1.3636363636363635,17.723210094782214,3682.184091567993,0.0008904114,1.4064585,0.0,91.29545454545455,0.1475194805194805,259906,0.0024631526
1304,0.0011253383,1.6382978723404256,1.3617021276595744,16.557529452046662,3837.5278747081757,0.0011253383,1.4137057,0.0,87.25531914893617,0.1297091435979562,269965,0.0021519964
1347,0.0016197048,1.627906976744186,1.372093023255814,17.866621999742144,3996.207767724991,0.0016197048,1.41383,0.0,95.02325581395348,0.1321973220577872,279757,0.007038952
1391,0.0015796447,1.6136363636363635,1.3863636363636365,18.04605790590359,4152.286748886108,0.0015796447,1.4047823,0.0,95.5909090909091,0.13186409550045916,289781,0.005799738
1433,0.0004910522,1.7619047619047619,1.2380952380952381,16.832155883495354,4305.980174779892,0.0004910522,1.4105607,0.0,88.35714285714286,0.14482993197278912,299789,0.0016829715
1476,0.0005755839,1.8372093023255813,1.1627906976744187,16.481697512884654,4464.29452085495,0.0005755839,1.400108,0.0,87.90697674418605,0.1434152823920266,309814,0.0015801435
1524,0.00084375433,1.4791666666666667,1.5208333333333333,15.29946176783954,4602.376727342606,0.00084375433,1.4247931,0.0,79.6875,0.10726315789473685,319862,0.0027628976
1571,0.00051536027,1.5106382978723405,1.4893617021276595,16.678220803936025,4746.824142932892,0.00051536027,1.4274808,0.0,87.38297872340425,0.13137452118178022,329915,0.0043113134
1615,0.00093441596,1.5681818181818181,1.4318181818181819,17.17854711310509,4885.5561735630035,0.00093441596,1.4302971,0.0,89.31818181818181,0.12404761904761906,339973,0.0021485651
1661,0.0005673294,1.565217391304348,1.434782608695652,16.125570189883884,5021.495801925659,0.0005673294,1.3969733,0.0,84.0,0.12342028985507246,349989,0.0022377453
1702,0.0008875071,1.5853658536585367,1.4146341463414633,18.004446347126397,5165.58046913147,0.0008875071,1.3837861,0.0,92.41463414634147,0.12321951219512199,359992,0.0031215944
1742,0.0003471878,1.575,1.425,17.478219732677722,5307.454251766205,0.0003471878,1.4164923,0.0,90.75,0.12464736842105265,369761,0.0019168854
1783,0.0005196045,1.5609756097560976,1.4390243902439024,18.078028813421202,5437.529717922211,0.0005196045,1.4310299,0.0,95.26829268292683,0.12702439024390247,379764,0.003042442
1824,0.0006854268,1.9268292682926829,1.0731707317073171,16.951345436430312,5575.390952348709,0.0006854268,1.4342039,0.0,88.2439024390244,0.11765853658536587,389765,0.00090518355
1866,0.001562526,1.880952380952381,1.119047619047619,17.49803875052558,5715.354240655899,0.001562526,1.4531273,0.0,91.64285714285714,0.1236825396825397,399781,0.009390534
1911,0.00060788775,1.4,1.6,16.829517604671832,5852.88295841217,0.00060788775,1.4485316,0.0,87.33333333333333,0.14126984126984127,409850,0.003499329
1953,0.00044439646,1.6666666666666667,1.3333333333333333,17.35622397136843,5982.596733093262,0.00044439646,1.4451036,0.0,91.14285714285714,0.14639598997493738,419870,0.0042169173
1996,0.0006351364,1.558139534883721,1.441860465116279,16.59437557086232,6122.008882284164,0.0006351364,1.469029,0.0,88.18604651162791,0.12195348837209304,429889,0.0015439433
2046,0.000864998,1.56,1.44,15.366116880568251,6272.166941642761,0.000864998,1.4831629,0.0,79.56,0.1480622222222222,439925,0.0017577702
2091,0.0007760694,1.5555555555555556,1.4444444444444444,17.327608250486833,6405.523286819458,0.0007760694,1.4827082,0.0,91.86666666666666,0.13049934640522878,449978,0.0030185918
2139,0.00080112426,1.3333333333333333,1.6666666666666667,15.048476237335782,6567.496732950211,0.00080112426,1.4888142,0.0,79.1875,0.11461282080399728,459813,0.0025659373
2181,0.0008209432,1.619047619047619,1.380952380952381,18.073457493614566,6700.208361625671,0.0008209432,1.494262,0.0,95.57142857142857,0.13035374149659867,469851,0.001070729
2222,0.00087710214,1.7317073170731707,1.2682926829268293,19.14097822608637,6828.955996990204,0.00087710214,1.5039065,0.0,99.73170731707317,0.15726829268292686,479852,0.0047266404
2267,0.0006196116,1.6222222222222222,1.3777777777777778,16.906912392137855,6957.5285975933075,0.0006196116,1.5065926,0.0,89.33333333333333,0.155826455026455,489877,0.0016061775
2314,0.0006872518,1.425531914893617,1.574468085106383,17.706561917901034,7087.116647005081,0.0006872518,1.5092771,0.0,91.65957446808511,0.12497545008183308,499954,0.002745743
2358,0.00042954355,1.2727272727272727,1.7272727272727273,18.50522981887012,7233.257926702499,0.00042954355,1.5104096,0.0,97.77272727272727,0.13667532467532464,509970,0.003915402
2400,0.00044597726,1.4523809523809523,1.5476190476190477,18.743747115728084,7369.817635059357,0.00044597726,1.5146904,0.0,98.21428571428571,0.13435075493612078,519773,0.0013176425
2452,0.0008305374,1.3076923076923077,1.6923076923076923,16.124204822519093,7516.341577768326,0.0008305374,1.5072805,0.0,83.1923076923077,0.12020328635582872,529903,0.001541835
2494,0.0005341446,1.5238095238095237,1.4761904761904763,19.44939736415541,7656.971765995026,0.0005341446,1.5122097,0.0,100.14285714285714,0.16137662337662334,539915,0.0029176967
2535,0.00055102236,1.5365853658536586,1.4634146341463414,18.70810671668829,7790.526368141174,0.00055102236,1.5354006,0.0,97.46341463414635,0.12995121951219515,549916,0.0018101803
2579,0.000415919,1.5,1.5,18.250601726618463,7932.8719935417175,0.000415919,1.5413737,0.0,94.5,0.15179220779220778,559934,0.0020233083
2624,0.0015006089,1.6222222222222222,1.3777777777777778,17.187023001306553,8067.7404618263245,0.0015006089,1.5411031,0.0,90.26666666666667,0.12511604938271606,569967,0.0031790838
2671,0.00055903674,1.5957446808510638,1.4042553191489362,16.488629882764272,8192.397705554962,0.00055903674,1.5364883,0.0,87.44680851063829,0.1500380176074794,579799,0.0026588487
2720,0.0012432735,1.2857142857142858,1.7142857142857142,17.581901987062313,8336.34175825119,0.0012432735,1.5271004,0.0,91.22448979591837,0.1368226112956005,589908,0.0038696565
2764,0.00053219555,1.5454545454545454,1.4545454545454546,18.76216191076006,8469.33511686325,0.00053219555,1.5151451,0.0,98.6590909090909,0.13849197860962567,599936,0.002553458
2807,0.00057777,1.627906976744186,1.372093023255814,20.05871397397354,8594.133152484894,0.00057777,1.5063834,0.0,104.79069767441861,0.14513497273839993,609969,0.00216383
2851,0.0009657071,1.4772727272727273,1.5227272727272727,18.22482601944549,8745.235424280167,0.0009657071,1.4919881,0.0,97.02272727272727,0.1396969696969697,619993,0.005211692
2896,0.00050172897,1.3111111111111111,1.6888888888888889,18.7137765559088,8886.663290023804,0.00050172897,1.4814425,0.0,99.2,0.1570874704491726,629809,0.0040851883
2947,0.0005254506,1.2352941176470589,1.7647058823529411,15.470677837893756,9014.327155351639,0.0005254506,1.4675745,0.0,81.70588235294117,0.13765136982249285,639982,0.0010874453
2995,0.0009189351,1.5416666666666667,1.4583333333333333,16.81692649171346,9171.61432671547,0.0009189351,1.4674866,0.0,87.625,0.14400745988903882,649857,0.0035641147
3041,0.00079051004,1.6956521739130435,1.3043478260869565,17.400689942801847,9310.259752511978,0.00079051004,1.4420627,0.0,91.17391304347827,0.13109538432773765,659981,0.0034045205
3089,0.000796935,1.4583333333333333,1.5416666666666667,16.935533185736276,9469.496330499649,0.000796935,1.4217536,0.0,87.875,0.15501769601227802,669852,0.006344038
3137,0.0009930588,1.375,1.625,17.40762919735602,9601.434486865997,0.0009930588,1.4341685,0.0,91.1875,0.12381481481481482,679882,0.0055642067
3184,0.00094000343,1.4680851063829787,1.5319148936170213,17.87227785946125,9742.651492118835,0.00094000343,1.4343233,0.0,93.82978723404256,0.138362354817479,689762,0.0030857085
3228,0.00085598655,1.4545454545454546,1.5454545454545454,18.45586987873278,9889.711577415466,0.00085598655,1.4477445,0.0,96.13636363636364,0.13461707988980717,699812,0.0031246003
3270,0.00071148376,1.4761904761904763,1.5238095238095237,19.449673610459723,10045.95075750351,0.00071148376,1.4651669,0.0,101.28571428571429,0.13929370008873118,709842,0.00206718
3314,0.0011508103,1.5,1.5,18.767688075516478,10193.087852954865,0.0011508103,1.4696159,0.0,97.1590909090909,0.13775598086124408,719944,0.0034618871
3364,0.0006227503,1.24,1.76,16.139417776171094,10349.671837091446,0.0006227503,1.4478651,0.0,83.28,0.14875751368457252,729935,0.003872411
3407,0.000774897,1.6046511627906976,1.3953488372093024,18.206973416004306,10493.252974033356,0.000774897,1.4450661,0.0,95.44186046511628,0.1316279069767442,739960,0.0023338266
3452,0.0011166489,1.4,1.6,18.22270301647543,10624.904297351837,0.0011166489,1.4315193,0.0,94.73333333333333,0.13614145758661889,749999,0.0022812432
3496,0.0009990234,1.5,1.5,17.609269687884975,10764.151952266693,0.0009990234,1.4106541,0.0,92.6590909090909,0.1316603743401056,759828,0.001663398
3540,0.00083141454,1.6590909090909092,1.3409090909090908,17.837984231138282,10934.770363807678,0.00083141454,1.4303356,0.0,92.38636363636364,0.12975771120092294,769998,0.004216171
3592,0.0008310445,1.25,1.75,15.283803940131087,11079.460785865784,0.0008310445,1.4156854,0.0,78.92307692307692,0.12967846456051466,779826,0.0054600136
3635,0.0005974784,1.6046511627906976,1.3953488372093024,18.786085052294567,11223.515144824982,0.0005974784,1.4294083,0.0,96.55813953488372,0.13192602970019612,789921,0.0013816011
3677,0.00087185006,1.8095238095238095,1.1904761904761905,17.719804990000434,11360.046993017197,0.00087185006,1.4079499,0.0,93.85714285714286,0.12514285714285714,799927,0.002828165
3719,0.001011295,1.7857142857142858,1.2142857142857142,17.74126786211035,11503.442558288574,0.001011295,1.4228514,0.0,95.07142857142857,0.1346031746031746,809933,0.003967893
3763,0.00069545186,1.5681818181818181,1.4318181818181819,17.27847867116931,11631.557990074158,0.00069545186,1.4305422,0.0,89.93181818181819,0.12675482093663915,819752,0.0019764942
3809,0.00076134346,1.5434782608695652,1.4565217391304348,16.934006807139045,11781.52981209755,0.00076134346,1.4293323,0.0,87.3913043478261,0.12890951163073927,829806,0.0026130101
3856,0.00072635297,1.4893617021276595,1.5106382978723405,17.321013296264727,11928.68139886856,0.00072635297,1.4466437,0.0,90.57446808510639,0.1263273464124528,839875,0.0018171516
3905,0.00051011046,1.2448979591836735,1.7551020408163265,16.62238486820474,12069.561271905899,0.00051011046,1.4290774,0.0,86.20408163265306,0.14319120682076855,849805,0.0021647487
3954,0.0010328181,1.5714285714285714,1.4285714285714286,17.079232488423944,12203.424300432205,0.0010328181,1.4161407,0.0,89.51020408163265,0.1281304207650358,859929,0.0029254174
3996,0.00081522955,1.5714285714285714,1.4285714285714286,19.415511148998593,12334.452925920486,0.00081522955,1.442429,0.0,102.14285714285714,0.1632108843537415,869937,0.0027461816
4041,0.0008173721,1.5333333333333334,1.4666666666666666,17.357594296929268,12476.215111732483,0.0008173721,1.4540665,0.0,90.26666666666667,0.12937989417989418,879765,0.0035307943
4093,0.0008896525,1.2692307692307692,1.7307692307692308,17.71707623178135,12621.594699144363,0.0008896525,1.417593,0.0,92.42307692307692,0.13952602744676895,889975,0.00335033
4143,0.00083781406,1.22,1.78,16.859947750127148,12770.571560382843,0.00083781406,1.4020159,0.0,88.32,0.15071182730313168,899810,0.005500969
4187,0.0008262408,1.4545454545454546,1.5454545454545454,18.40355501398028,12890.063051223755,0.0008262408,1.4283445,0.0,96.20454545454545,0.1292640692640693,909848,0.002647766
