TimestepsSoFar,entropy,AttC,MtR,TimeElapsed,Fce,optimgain,TtR,entloss,meankl,surrgain,EpisodesSoFar,AttNC
9915,1.4235263,0.7342657342657343,6.015861701418601,37.44787049293518,0.09088053830035016,0.0014254578,10.286713286713287,0.0,0.0032873666,0.0014254578,143,0.26573426573426573
19899,1.4115167,0.703125,6.373240724670438,72.82725024223328,0.10483683196461253,0.0022815429,10.921875,0.0,0.00725972,0.0022815429,271,0.296875
29994,1.4091152,0.40298507462686567,12.035825289451848,114.54884743690491,0.1243857634902411,0.0014193743,21.01492537313433,0.0,0.0013220139,0.0014193743,338,0.5970149253731343
39819,1.3771974,0.3709677419354839,12.355749274438653,153.27644228935242,0.11914043662430758,0.0014944976,21.548387096774192,0.0,0.0023814193,0.0014944976,400,0.6290322580645161
49984,1.3648683,0.4520547945205479,11.120444684490918,189.74406743049622,0.1186973789021374,0.001561071,19.34246575342466,0.0,0.0015416471,0.001561071,473,0.547945205479452
59771,1.3603504,0.30357142857142855,14.196865505948834,229.65863466262817,0.11903246753246755,0.0016624954,24.535714285714285,0.0,0.0011387377,0.0016624954,529,0.6964285714285714
69767,1.3436887,0.4935064935064935,10.440108617960531,268.9299507141113,0.09555340474820995,0.0016863472,17.90909090909091,0.0,0.0013647082,0.0016863472,606,0.5064935064935064
79909,1.3148181,0.42857142857142855,11.166773993456308,304.69541931152344,0.11277036089252838,0.0018087311,19.385714285714286,0.0,0.0035382072,0.0018087311,676,0.5714285714285714
89777,1.277634,0.38095238095238093,12.60670493807157,343.12844347953796,0.10925697354829007,0.002215751,21.746031746031747,0.0,0.002683279,0.002215751,739,0.6190476190476191
99825,1.2484132,0.42857142857142855,10.668847211925412,381.0148148536682,0.07542857142857144,0.0022149323,18.857142857142858,0.0,0.00498315,0.0022149323,809,0.5714285714285714
109767,1.22699,0.36065573770491804,12.971041038166998,419.74705362319946,0.12165909376838338,0.001816803,22.39344262295082,0.0,0.0018458734,0.001816803,870,0.639344262295082
119752,1.2075363,0.3709677419354839,13.194940139797767,458.6947350502014,0.13214066932199572,0.0022026633,22.725806451612904,0.0,0.0022190658,0.0022026633,932,0.6290322580645161
129830,1.1636952,0.3939393939393939,11.851622905816994,495.24955320358276,0.09232323232323236,0.0017912613,20.40909090909091,0.0,0.0028734326,0.0017912613,998,0.6060606060606061
139854,1.168513,0.25925925925925924,13.355304588555418,531.8371653556824,0.11442798353909465,0.0024634262,23.5,0.0,0.002587491,0.0024634262,1052,0.7407407407407407
149918,1.1704104,0.2857142857142857,13.294238625109646,575.4070761203766,0.11729986353515764,0.0019518367,23.107142857142858,0.0,0.001208987,0.0019518367,1108,0.7142857142857143
159769,1.1645467,0.4090909090909091,11.978566146328584,614.2344450950623,0.11216827814688775,0.002399147,21.045454545454547,0.0,0.0018209333,0.002399147,1174,0.5909090909090909
169825,1.134989,0.3939393939393939,11.141847267490627,654.7194690704346,0.08255953474135291,0.0023378232,19.575757575757574,0.0,0.0049317162,0.0023378232,1240,0.6060606060606061
179876,1.1480092,0.36507936507936506,12.124229203207536,693.3815703392029,0.09955555555555556,0.002402057,20.936507936507937,0.0,0.0035778892,0.002402057,1303,0.6349206349206349
189826,1.139217,0.417910447761194,11.484905192600324,733.628425359726,0.09276971064233402,0.0020417296,19.91044776119403,0.0,0.0028163758,0.0020417296,1370,0.582089552238806
199865,1.1051621,0.2982456140350877,13.704352049416235,770.846442937851,0.10100584795321639,0.0021619126,23.842105263157894,0.0,0.002761919,0.0021619126,1427,0.7017543859649122
